Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
do the dish,3,1,"[0, 1]",SWWZ.tsv
do the,2,845,"[0, 1, 528, 530, 845, 846, 1404, 2015, 2063, 2106, 2117]",SWWZ.tsv
she say,2,25,"[7, 18, 20, 25, 763, 770, 773, 1103, 1257, 1850, 1851, 1855]",SWWZ.tsv
say,1,25,"[7, 18, 20, 25, 27, 34, 57, 104, 107, 183, 271, 272, 434, 453, 473, 513, 514, 518, 534, 641, 646, 700, 702, 708, 715, 716, 747, 763, 764, 767, 770, 773, 891, 985, 1054, 1103, 1201, 1257, 1383, 1392, 1459, 1537, 1539, 1543, 1544, 1589, 1615, 1631, 1660, 1669, 1778, 1802, 1809, 1825, 1844, 1850, 1851, 1854, 1855, 1904, 1909, 1919, 1929, 1955, 2017, 2127]",SWWZ.tsv
what do,2,66,"[7, 18, 20, 34, 38, 66, 104, 119, 199, 363, 365, 430, 495, 684, 716, 770, 842, 874, 1070, 1103, 1122, 1288, 1345, 1435, 1493, 1495, 1543, 1670, 1743, 1802, 2059]",SWWZ.tsv
do she say,3,773,"[7, 18, 20, 770, 773]",SWWZ.tsv
she didn't,2,9,"[8, 9, 18, 667, 1256]",SWWZ.tsv
like,1,9,"[8, 9, 10, 27, 28, 30, 35, 40, 51, 52, 60, 62, 66, 67, 69, 74, 76, 81, 86, 97, 107, 109, 119, 126, 127, 129, 131, 136, 137, 140, 141, 143, 144, 145, 147, 160, 165, 166, 167, 169, 170, 171, 180, 183, 193, 207, 213, 221, 225, 227, 228, 232, 233, 234, 241, 249, 254, 259, 269, 271, 277, 298, 300, 304, 320, 321, 324, 332, 337, 345, 348, 349, 350, 357, 359, 361, 362, 391, 392, 395, 400, 415, 417, 421, 422, 423, 429, 431, 433, 440, 450, 452, 454, 459, 467, 487, 491, 498, 500, 502, 506, 510, 514, 516, 523, 524, 526, 528, 530, 534, 536, 539, 541, 545, 548, 553, 555, 557, 599, 633, 639, 643, 663, 669, 678, 694, 698, 702, 709, 711, 718, 720, 721, 722, 723, 727, 741, 771, 773, 774, 775, 777, 778, 779, 787, 788, 789, 791, 795, 798, 800, 809, 813, 814, 817, 819, 821, 842, 854, 855, 861, 865, 872, 880, 885, 886, 887, 891, 897, 927, 930, 937, 950, 951, 954, 956, 958, 960, 971, 975, 995, 1001, 1013, 1014, 1020, 1029, 1040, 1046, 1063, 1082, 1089, 1095, 1103, 1105, 1110, 1112, 1131, 1140, 1142, 1143, 1144, 1145, 1147, 1149, 1151, 1157, 1162, 1178, 1185, 1187, 1188, 1197, 1202, 1203, 1204, 1209, 1213, 1215, 1227, 1229, 1232, 1241, 1254, 1258, 1261, 1268, 1269, 1284, 1294, 1311, 1318, 1332, 1335, 1336, 1337, 1338, 1342, 1346, 1347, 1348, 1349, 1350, 1353, 1358, 1365, 1384, 1388, 1402, 1404, 1418, 1421, 1423, 1446, 1456, 1466, 1473, 1479, 1483, 1487, 1489, 1497, 1510, 1523, 1526, 1529, 1538, 1539, 1544, 1556, 1559, 1562, 1566, 1567, 1570, 1621, 1622, 1624, 1625, 1627, 1637, 1641, 1652, 1670, 1681, 1690, 1695, 1697, 1701, 1709, 1715, 1717, 1719, 1720, 1722, 1724, 1725, 1727, 1731, 1732, 1734, 1735, 1736, 1743, 1744, 1761, 1764, 1766, 1768, 1794, 1802, 1805, 1808, 1809, 1811, 1814, 1816, 1818, 1820, 1822, 1823, 1827, 1829, 1831, 1837, 1840, 1843, 1853, 1854, 1857, 1860, 1864, 1872, 1873, 1880, 1882, 1885, 1892, 1902, 1909, 1912, 1919, 1933, 1935, 1945, 1955, 1957, 1959, 1962, 1964, 1971, 1976, 1985, 1986, 1987, 2001, 2003, 2005, 2016, 2017, 2020, 2022, 2024, 2026, 2027, 2032, 2033, 2059, 2063, 2068, 2070, 2075, 2076, 2081, 2083, 2087, 2099, 2101, 2107, 2108, 2112, 2116, 2119, 2135, 2136, 2137, 2138]",SWWZ.tsv
like it,2,60,"[9, 30, 60, 225, 1040, 1142, 1227, 1446, 1864, 1955, 1986, 2016]",SWWZ.tsv
what have you,3,68,"[13, 68]",SWWZ.tsv
you do,2,83,"[13, 83, 154, 298, 331, 375, 738, 1070, 1207, 1356, 1581, 1592, 1743]",SWWZ.tsv
have you,2,148,"[13, 68, 148, 269, 578, 964, 1063, 1916]",SWWZ.tsv
hurt,1,327,"[15, 327, 1905]",SWWZ.tsv
anything,1,18,"[14, 18, 92, 134, 234, 639, 819, 826, 894, 904, 906, 969, 1269, 1383, 1392, 1423, 1462, 1553, 1566, 1588, 1955]",SWWZ.tsv
she say she,3,25,"[18, 25]",SWWZ.tsv
come,1,306,"[18, 24, 109, 137, 143, 165, 306, 377, 470, 473, 477, 482, 502, 507, 509, 526, 575, 583, 674, 878, 885, 889, 995, 1032, 1055, 1103, 1122, 1224, 1243, 1384, 1474, 1526, 1685, 1687, 1731, 1869, 1943, 1949, 1959, 1962, 1971, 2107, 2134]",SWWZ.tsv
didn't say,2,1919,"[18, 1919]",SWWZ.tsv
eye,1,1831,"[20, 164, 1831]",SWWZ.tsv
it on,2,27,"[22, 27, 150, 152, 309, 524, 1292]",SWWZ.tsv
