Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,1,"[0, 2, 46, 48, 50, 56, 60, 62, 68, 76, 80, 82, 93, 97, 101, 109, 111, 126, 152, 176, 190, 196, 226, 234, 242, 249, 275, 281, 283, 336, 344, 354, 371, 421, 451, 501, 513, 529, 546, 548, 554, 558, 606, 610, 641, 655]","[1, 3, 7, 12, 14, 18, 22, 59, 61, 63, 69, 73, 79, 81, 83, 89, 94, 96, 98, 102, 108, 112, 115, 119, 133, 139, 153, 164, 185, 197, 213, 217, 223, 225, 227, 237, 243, 256, 272, 280, 286, 293, 305, 309, 329, 335, 343, 345, 353, 364, 368, 387, 389, 394, 398, 400, 408, 412, 416, 418, 422, 424, 428, 436, 440, 442, 458, 465, 467, 469, 473, 477, 479, 483, 489, 493, 495, 497, 500, 502, 508, 510, 520, 530, 531, 543, 547, 549, 553, 555, 557, 567, 569, 571, 576, 577, 579, 583, 587, 589, 591, 593, 595, 601, 620, 622, 624, 626, 628, 636, 648, 650]",S4S5.tsv,S0443,S0320
week,1,1,[0],"[1, 61]",S4S5.tsv,S0443,S0320
christmas,1,3,"[0, 17, 86, 105, 350]","[3, 96]",S4S5.tsv,S0443,S0320
go,1,3,"[0, 6, 44, 64, 86, 114, 122, 192, 212, 261, 283, 287, 292, 308, 310, 324, 344, 348, 363, 429, 431, 435, 441, 445, 490, 496, 501, 507, 513, 532, 544, 550, 613, 615, 623, 627, 633, 639, 649, 651]","[3, 29, 87, 89, 117, 125, 446, 465, 467, 500, 502, 526, 541, 589, 596, 611, 614, 652]",S4S5.tsv,S0443,S0320
for a,2,31,"[0, 159, 312]","[31, 524]",S4S5.tsv,S0443,S0320
right,1,35,"[0, 26, 86, 478, 588, 590]","[35, 135, 412]",S4S5.tsv,S0443,S0320
i think,2,57,"[0, 68, 82, 88, 140, 232, 259, 261, 263, 273, 299, 308, 334, 366, 457, 466, 501, 503, 554, 649]","[57, 108, 149, 225, 268, 452, 461, 522, 531, 543, 567, 587, 589, 612, 614]",S4S5.tsv,S0443,S0320
think,1,79,"[0, 68, 82, 86, 88, 140, 165, 198, 232, 238, 259, 261, 263, 273, 299, 308, 330, 334, 366, 382, 457, 466, 501, 503, 554, 572, 613, 649]","[79, 460, 461, 609, 614, 650, 108, 149, 225, 268, 452, 522, 531, 543, 567, 587, 589, 612]",S4S5.tsv,S0443,S0320
do it,2,81,"[0, 165, 546, 580]","[81, 526, 530]",S4S5.tsv,S0443,S0320
i'm,1,87,"[0, 224, 352, 359, 366, 625]","[87, 187, 223, 270, 367, 539, 541, 543, 545, 589, 611]",S4S5.tsv,S0443,S0320
day,1,175,[0],[175],S4S5.tsv,S0443,S0320
have a,2,270,"[0, 34, 216, 407, 453, 466]",[270],S4S5.tsv,S0443,S0320
then i,2,278,[0],[278],S4S5.tsv,S0443,S0320
and then,2,526,"[0, 44, 86, 155, 188, 218, 283, 294, 308, 378, 407, 409, 488]",[526],S4S5.tsv,S0443,S0320
i'll,1,526,"[0, 655]",[526],S4S5.tsv,S0443,S0320
a week,2,600,[0],[600],S4S5.tsv,S0443,S0320
go in,2,611,[0],[611],S4S5.tsv,S0443,S0320
i haven't,2,31,"[2, 15]",[31],S4S5.tsv,S0443,S0320
