Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
facebook,1,1,[0],[1],SKJQ.tsv,S0198,S0229
though,1,81,"[0, 4, 10, 14, 40, 52, 142, 170, 174]","[81, 279]",SKJQ.tsv,S0198,S0229
be you,2,291,"[0, 170, 342]",[291],SKJQ.tsv,S0198,S0229
good,1,5,"[2, 58, 150, 166, 210, 276]","[5, 41, 123, 283, 287, 307]",SKJQ.tsv,S0198,S0229
phone,1,13,"[2, 262, 424]",[13],SKJQ.tsv,S0198,S0229
use,1,103,"[2, 132]","[103, 381, 105]",SKJQ.tsv,S0198,S0229
you use,2,105,[2],[105],SKJQ.tsv,S0198,S0229
need,1,115,"[2, 4, 136, 140, 146, 232, 268, 452]","[115, 279, 415, 141, 347]",SKJQ.tsv,S0198,S0229
you need,2,141,"[2, 232, 268]","[141, 347]",SKJQ.tsv,S0198,S0229
camera,1,4,[4],"[3, 9]",SKJQ.tsv,S0198,S0229
you don't,2,13,"[4, 144, 180, 190, 262]",[13],SKJQ.tsv,S0198,S0229
no you,2,467,[4],[467],SKJQ.tsv,S0198,S0229
lose it,2,6,[6],[5],SKJQ.tsv,S0198,S0229
lose,1,81,[6],[81],SKJQ.tsv,S0198,S0229
yeah,1,11,"[8, 36, 58, 68, 70, 82, 86, 88, 92, 98, 112, 116, 118, 124, 132, 134, 140, 150, 156, 160, 162, 180, 182, 198, 206, 222, 240, 260, 274, 280, 298, 302, 310, 314, 326, 344, 352, 382, 388, 410, 418, 426, 434, 440, 450, 454]","[11, 17, 19, 27, 33, 41, 43, 45, 53, 61, 63, 67, 73, 75, 77, 83, 85, 95, 99, 101, 105, 109, 127, 129, 145, 149, 151, 153, 167, 171, 175, 197, 209, 211, 219, 229, 233, 235, 237, 243, 245, 257, 261, 263, 267, 271, 275, 277, 281, 289, 293, 299, 301, 305, 311, 313, 319, 331, 333, 335, 359, 361, 363, 367, 393, 397, 401, 403, 405, 407, 413, 421, 423, 425, 427, 431, 443, 445, 457, 459, 461, 471, 273]",SKJQ.tsv,S0198,S0229
oh yeah,2,151,"[8, 92, 298, 314, 326]","[151, 273, 335]",SKJQ.tsv,S0198,S0229
alright,1,13,"[10, 158, 178, 208, 264, 298]","[13, 21, 235]",SKJQ.tsv,S0198,S0229
thing,1,31,"[10, 100, 186, 276, 330, 422]","[31, 123, 145, 169, 353]",SKJQ.tsv,S0198,S0229
sort,1,87,"[10, 90]","[87, 97, 299]",SKJQ.tsv,S0198,S0229
just a cheap phone,4,13,[12],[13],SKJQ.tsv,S0198,S0229
that's,1,14,"[14, 100, 122, 158, 166, 174, 208, 264, 324, 442]","[13, 91, 145, 207, 305, 309, 327, 409]",SKJQ.tsv,S0198,S0229
house,1,451,"[14, 18]",[451],SKJQ.tsv,S0198,S0229
do it,2,53,"[16, 146]","[53, 389]",SKJQ.tsv,S0198,S0229
get,1,18,"[18, 28, 36, 46, 86, 146, 158, 250, 254, 256, 272, 276, 310, 330, 332, 396, 408, 436, 462, 466]","[3, 9, 33, 41, 53, 59, 65, 69, 71, 81, 87, 91, 125, 141, 143, 145, 153, 169, 187, 191, 197, 199, 207, 231, 239, 245, 253, 255, 279, 301, 305, 343, 347, 351, 385, 393, 425, 451, 459, 473, 475, 13]",SKJQ.tsv,S0198,S0229
get reception,2,18,[18],[13],SKJQ.tsv,S0198,S0229
it's just,2,437,"[18, 62]",[437],SKJQ.tsv,S0198,S0229
something,1,43,"[20, 62, 126, 396, 404, 452, 458]","[43, 299]",SKJQ.tsv,S0198,S0229
think,1,101,"[20, 54, 62, 120, 122, 188, 194, 372, 380, 412, 432, 442, 446]","[101, 115, 117, 157, 183, 187, 301, 351]",SKJQ.tsv,S0198,S0229
on the,2,185,"[20, 196, 224, 226, 228, 442]",[185],SKJQ.tsv,S0198,S0229
i dunno,2,229,"[20, 238]",[229],SKJQ.tsv,S0198,S0229
it'd be,2,349,[20],[349],SKJQ.tsv,S0198,S0229
fish,1,24,"[24, 26, 48, 60]","[15, 41, 49]",SKJQ.tsv,S0198,S0229
