Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
might be,2,17,"[2, 17, 47, 113, 173]",S4KE.tsv
go,1,49,"[2, 16, 24, 36, 49, 51, 59, 63, 65, 70, 77, 107, 109, 117, 124, 125, 126, 127, 129, 135, 139, 141, 143, 150, 173, 180, 196, 215, 220, 221]",S4KE.tsv
go on and,3,51,"[2, 51]",S4KE.tsv
on and,2,51,"[2, 51]",S4KE.tsv
one of,2,65,"[2, 65, 66]",S4KE.tsv
can go,2,65,"[2, 65]",S4KE.tsv
one,1,65,"[2, 8, 24, 65, 66, 74, 113, 124, 139, 181, 189]",S4KE.tsv
i've,1,70,"[2, 70, 82, 144, 187]",S4KE.tsv
nothing,1,149,"[2, 149, 154]",S4KE.tsv
i mean,2,225,"[2, 36, 62, 208, 225]",S4KE.tsv
it be,2,86,"[4, 7, 59, 60, 62, 80, 86, 178, 204, 208]",S4KE.tsv
look,1,54,"[7, 28, 54, 55, 66, 81, 179]",S4KE.tsv
i'd,1,114,"[7, 77, 114]",S4KE.tsv
say,1,116,"[7, 8, 22, 46, 58, 116, 120, 133, 151, 208]",S4KE.tsv
and they,2,118,"[7, 22, 24, 118, 196]",S4KE.tsv
come back,2,90,"[7, 90, 118, 168]",S4KE.tsv
time,1,127,"[7, 127, 135, 142, 177, 212, 223]",S4KE.tsv
but i,2,144,"[7, 36, 144, 208, 217, 225]",S4KE.tsv
get,1,168,"[7, 30, 60, 62, 69, 77, 140, 142, 154, 156, 165, 168, 172, 173, 183, 188, 209, 212, 217, 219, 222, 224, 226]",S4KE.tsv
mean,1,225,"[7, 10, 14, 225]",S4KE.tsv
yeah,1,8,"[1, 3, 8, 10, 11, 13, 15, 20, 26, 29, 32, 40, 41, 42, 51, 55, 61, 64, 66, 69, 70, 77, 81, 83, 86, 87, 88, 91, 93, 100, 102, 105, 111, 117, 125, 128, 131, 134, 135, 136, 137, 138, 144, 146, 147, 148, 156, 158, 181, 182, 185, 198, 208, 216, 219, 225, 227, 229]",S4KE.tsv
that's,1,74,"[8, 74, 95, 97, 108, 127, 128, 134, 135, 154, 168, 169, 197, 220]",S4KE.tsv
know,1,174,"[8, 10, 14, 80, 174, 176, 212, 215, 225]",S4KE.tsv
with them,2,10,"[9, 10]",S4KE.tsv
i think,2,17,"[10, 17, 20, 28, 47, 62, 64, 109]",S4KE.tsv
i think i think,4,47,"[10, 47]",S4KE.tsv
i think i,3,47,"[10, 47, 62]",S4KE.tsv
really,1,86,"[10, 77, 80, 86, 113]",S4KE.tsv
and i,2,116,"[10, 58, 77, 116, 131]",S4KE.tsv
still,1,144,"[10, 22, 109, 144, 205]",S4KE.tsv
yeah i,2,225,"[10, 77, 146, 208, 225]",S4KE.tsv
no i,2,114,"[14, 109, 114]",S4KE.tsv
speak to,2,116,"[14, 116]",S4KE.tsv
well,1,47,"[16, 20, 47, 70, 124, 133, 166, 175, 181, 187, 215, 220]",S4KE.tsv
