Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
bite,1,525,"[0, 97, 137, 323, 458, 768]","[525, 567, 625, 988]",S32W.tsv,S0007,S0018
bite of,2,567,"[0, 137, 323, 768]","[567, 625, 988]",S32W.tsv,S0007,S0018
to be a sport journalist,5,4,[4],[3],S32W.tsv,S0007,S0018
to be a,3,4,"[4, 247, 583]","[3, 910]",S32W.tsv,S0007,S0018
a sport,2,4,"[4, 1096]","[3, 852, 1071, 1189]",S32W.tsv,S0007,S0018
well,1,4,"[4, 10, 12, 13, 36, 51, 77, 81, 105, 107, 121, 129, 141, 163, 213, 227, 237, 251, 267, 293, 297, 301, 306, 311, 329, 331, 345, 353, 363, 392, 430, 440, 443, 450, 460, 468, 528, 538, 566, 576, 649, 666, 672, 674, 680, 701, 718, 750, 758, 802, 820, 824, 841, 865, 874, 928, 962, 966, 970, 978, 984, 1031, 1037, 1054, 1056, 1066, 1074, 1075, 1081, 1096, 1110, 1170, 1176]","[3, 70, 120, 154, 442, 716, 751, 850, 896, 904, 933, 939, 947, 957, 1167]",S32W.tsv,S0007,S0018
yeah,1,4,"[4, 15, 16, 20, 34, 36, 51, 57, 69, 95, 99, 109, 111, 113, 115, 127, 143, 149, 153, 155, 159, 161, 168, 202, 209, 222, 231, 271, 279, 283, 287, 289, 291, 299, 323, 327, 339, 341, 345, 353, 355, 357, 359, 379, 382, 390, 398, 402, 405, 413, 423, 428, 430, 434, 454, 456, 458, 464, 474, 478, 498, 500, 504, 518, 530, 534, 538, 540, 542, 546, 552, 556, 560, 576, 578, 587, 588, 605, 611, 615, 626, 635, 637, 642, 643, 657, 666, 684, 687, 691, 693, 695, 699, 705, 711, 725, 733, 735, 737, 739, 750, 760, 770, 771, 772, 774, 781, 784, 786, 788, 790, 792, 794, 799, 810, 840, 851, 874, 876, 883, 885, 903, 907, 909, 911, 926, 946, 952, 958, 976, 978, 1007, 1045, 1054, 1056, 1070, 1072, 1074, 1075, 1077, 1079, 1103, 1110, 1140, 1151, 1153, 1164, 1166, 1170, 1174, 1176, 1184, 1186, 1188, 1192, 1195]","[3, 5, 21, 33, 37, 60, 84, 88, 96, 98, 108, 110, 114, 118, 122, 138, 140, 197, 210, 212, 250, 270, 274, 276, 284, 330, 334, 348, 350, 362, 410, 420, 422, 437, 467, 471, 477, 485, 491, 497, 503, 509, 519, 523, 527, 547, 555, 567, 573, 575, 608, 627, 629, 650, 654, 660, 696, 716, 722, 742, 777, 830, 856, 882, 890, 898, 925, 943, 967, 969, 971, 973, 983, 988, 1008, 1028, 1036, 1038, 1044, 1088, 1101, 1169, 1173, 1175, 1177, 1179, 1181]",S32W.tsv,S0007,S0018
sport,1,4,"[4, 24, 26, 75, 99, 101, 163, 178, 190, 194, 247, 267, 392, 405, 434, 443, 445, 665, 676, 1094, 1096, 1108, 1140]","[3, 5, 19, 416, 679, 690, 712, 793, 852, 1071, 1095, 1104, 1189, 1194]",S32W.tsv,S0007,S0018
sport journalist,2,19,[4],[19],S32W.tsv,S0007,S0018
a a,2,19,"[4, 48, 205, 247, 407, 480, 578, 668, 731, 758, 784, 794]","[19, 567]",S32W.tsv,S0007,S0018
