Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
know,1,5,"[0, 4, 5, 6, 12, 16, 38, 46, 55, 57, 69, 79, 85, 96, 105, 107, 111, 128, 136, 145, 150, 154, 156, 194, 198, 206, 211, 224, 226, 228, 230, 239, 243, 248, 249, 280, 284]",S99Z.tsv
i've,1,33,"[0, 33, 50, 51, 53, 55, 57, 128, 138, 179, 182, 256]",S99Z.tsv
be in,2,49,"[0, 49, 50, 109, 239]",S99Z.tsv
get,1,49,"[0, 6, 14, 38, 46, 49, 51, 55, 57, 66, 69, 85, 87, 96, 109, 128, 138, 141, 166, 167, 172, 173, 182, 185, 206, 208, 222, 224, 226, 228, 230, 235, 243, 256, 265, 276, 306, 313]",S99Z.tsv
good,1,101,"[0, 55, 96, 101, 141, 148, 202, 235, 243]",S99Z.tsv
you know,2,105,"[0, 6, 12, 16, 38, 46, 57, 79, 85, 96, 105, 107, 111, 128, 136, 150, 154, 156, 206, 211, 224, 226, 239, 243, 249]",S99Z.tsv
part of,2,112,"[0, 87, 112, 121, 198]",S99Z.tsv
involve in it,3,145,"[0, 145]",S99Z.tsv
think,1,145,"[0, 48, 79, 87, 96, 106, 134, 139, 141, 145, 147, 148, 159, 164, 173, 180, 216, 249, 279, 313]",S99Z.tsv
i think,2,147,"[0, 79, 106, 134, 139, 141, 147, 148, 159, 173, 180, 216]",S99Z.tsv
career,1,161,"[0, 50, 109, 161]",S99Z.tsv
part,1,279,"[0, 87, 198, 279]",S99Z.tsv
time,1,206,"[0, 38, 59, 67, 73, 128, 175, 206, 241, 279]",S99Z.tsv
yeah,1,2,"[1, 2, 5, 7, 9, 13, 15, 17, 19, 25, 26, 45, 52, 55, 56, 60, 62, 65, 72, 78, 80, 90, 96, 97, 98, 100, 102, 113, 120, 124, 126, 129, 131, 145, 151, 155, 157, 160, 174, 178, 214, 223, 232, 233, 238, 246, 249, 250, 256, 257, 258, 267, 272, 278, 279, 288, 290, 292, 302, 312]",S99Z.tsv
money,1,33,"[2, 4, 30, 33, 38, 40, 41, 48]",S99Z.tsv
in the in,3,64,"[2, 64]",S99Z.tsv
in the,2,64,"[2, 40, 55, 64, 87, 141, 150, 152, 173, 180, 204, 208, 210, 212, 213, 217, 218, 232, 235, 239, 241, 247, 273, 315]",S99Z.tsv
at the moment,3,112,"[2, 12, 38, 112, 136]",S99Z.tsv
things,1,116,"[2, 38, 59, 67, 69, 116, 121, 130, 156, 161, 206, 241, 245, 303]",S99Z.tsv
things be,2,121,"[2, 67, 121]",S99Z.tsv
in the city,3,180,"[2, 180]",S99Z.tsv
the money,2,41,"[4, 41]",S99Z.tsv
come,1,204,"[4, 6, 50, 73, 99, 134, 148, 150, 156, 168, 204, 208, 279, 283, 286, 289, 291]",S99Z.tsv
bank be,2,33,"[6, 33]",S99Z.tsv
bank,1,33,"[6, 30, 33, 34, 42, 44, 46, 48, 128, 180]",S99Z.tsv
fin,1,21,"[6, 21, 22, 33]",S99Z.tsv
make,1,54,"[6, 38, 54, 61, 181, 241]",S99Z.tsv
and the,2,114,"[6, 34, 44, 114, 152, 156]",S99Z.tsv
put,1,121,"[6, 40, 48, 59, 89, 121, 168, 208, 211, 212, 222, 231, 232, 247, 255, 298, 300]",S99Z.tsv
and you,2,161,"[6, 57, 128, 136, 161, 204, 206, 228]",S99Z.tsv
they're,1,179,"[6, 18, 38, 40, 46, 83, 130, 179, 181, 210, 217, 218, 230]",S99Z.tsv
it's huge,2,181,"[6, 181]",S99Z.tsv
where the,2,277,"[6, 67, 277]",S99Z.tsv
french,1,291,"[6, 291, 293]",S99Z.tsv
whole,1,47,"[8, 44, 47, 48]",S99Z.tsv
there's,1,64,"[8, 16, 27, 30, 40, 64, 73, 96, 128, 134, 206, 208, 222]",S99Z.tsv
career in,2,161,"[8, 161]",S99Z.tsv
huge,1,181,"[8, 32, 181]",S99Z.tsv
know i,2,12,"[5, 12, 228]",S99Z.tsv
to be,2,49,"[12, 38, 49, 210, 212, 236, 293]",S99Z.tsv
place,1,74,"[12, 74, 158, 206, 208]",S99Z.tsv
i mean,2,105,"[12, 67, 96, 102, 105, 152, 228, 230, 249]",S99Z.tsv
mean,1,180,"[12, 67, 96, 102, 105, 152, 180, 206, 228, 230, 249]",S99Z.tsv
he's,1,105,"[14, 67, 69, 96, 99, 105, 107, 109, 286, 291, 311]",S99Z.tsv
and i,2,114,"[14, 50, 79, 87, 114, 134, 147, 148]",S99Z.tsv
i i,2,119,"[14, 119, 262]",S99Z.tsv
a career,2,161,"[14, 161]",S99Z.tsv
get a,2,167,"[14, 109, 138, 167, 173, 243, 265, 306]",S99Z.tsv
there's a lot,3,64,"[16, 64, 96]",S99Z.tsv
a lot,2,64,"[16, 55, 64, 96, 127, 129, 138, 145, 148, 161, 206]",S99Z.tsv
try to,2,26,"[18, 26, 42, 79]",S99Z.tsv
people,1,58,"[18, 57, 58, 59, 118, 119, 128, 138, 141, 145, 156, 204, 208, 222, 228]",S99Z.tsv
so and,2,64,"[18, 64, 66]",S99Z.tsv
keep,1,101,"[18, 101, 142, 169, 224, 235]",S99Z.tsv
break,1,147,"[18, 147]",S99Z.tsv
that be,2,161,"[18, 38, 150, 161, 181, 235, 239, 280]",S99Z.tsv
like,1,30,"[1, 30, 33, 38, 48, 49, 59, 64, 69, 103, 105, 114, 118, 123, 125, 128, 130, 145, 147, 161, 179, 180, 181, 199, 243, 247, 282, 308, 311, 313]",S99Z.tsv
money go,2,33,"[30, 33]",S99Z.tsv
go,1,33,"[30, 33, 34, 36, 38, 42, 59, 64, 96, 107, 128, 130, 158, 161, 167, 173, 202, 204, 206, 219, 232, 269, 273, 279, 285]",S99Z.tsv
work,1,112,"[30, 50, 57, 59, 81, 87, 107, 112, 119, 128]",S99Z.tsv
fraud,1,112,"[30, 55, 73, 85, 87, 112]",S99Z.tsv
like a,2,145,"[30, 145, 161, 180, 199]",S99Z.tsv
year,1,145,"[30, 46, 145, 161]",S99Z.tsv
absolutely,1,179,"[32, 77, 179, 181, 236]",S99Z.tsv
it go,2,34,"[33, 34]",S99Z.tsv
use,1,116,"[34, 53, 55, 59, 87, 116, 123, 130, 133, 152, 156, 293]",S99Z.tsv
use it,2,133,"[34, 53, 55, 133]",S99Z.tsv
fine,1,272,"[34, 48, 272]",S99Z.tsv
back,1,208,"[36, 42, 61, 172, 175, 208, 283]",S99Z.tsv
sort of,2,38,"[1, 38, 73, 96, 104, 125, 134, 204, 206, 224]",S99Z.tsv
gonna,1,66,"[38, 66, 99, 102, 164, 177, 204, 273]",S99Z.tsv
that they,2,118,"[38, 118]",S99Z.tsv
like that,2,118,"[38, 48, 59, 69, 118, 125, 130, 147, 161, 243]",S99Z.tsv
of a,2,118,"[38, 91, 118, 125, 166]",S99Z.tsv
project,1,119,"[38, 55, 59, 81, 119, 147]",S99Z.tsv
software,1,121,"[38, 121]",S99Z.tsv
like that so,3,125,"[38, 48, 125, 130]",S99Z.tsv
find,1,127,"[38, 59, 73, 127, 202, 231, 233]",S99Z.tsv
involve,1,145,"[38, 145]",S99Z.tsv
things like that,3,161,"[38, 59, 69, 130, 161]",S99Z.tsv
to go,2,161,"[38, 107, 161, 232]",S99Z.tsv
and do,2,161,"[38, 161, 185]",S99Z.tsv
it's it's,2,163,"[38, 141, 163]",S99Z.tsv
go and,2,167,"[38, 59, 107, 167, 173, 273]",S99Z.tsv
actual,1,181,"[38, 181]",S99Z.tsv
bite,1,189,"[38, 73, 91, 96, 166, 173, 189, 199, 271, 306]",S99Z.tsv
trade,1,40,"[1, 40, 42]",S99Z.tsv
it and,2,54,"[40, 53, 54, 147, 228]",S99Z.tsv
lot of,2,64,"[40, 64, 127, 128, 129, 145, 161, 206]",S99Z.tsv
and then,2,127,"[40, 42, 87, 127, 147, 204, 208, 235, 241, 247]",S99Z.tsv
in it,2,145,"[40, 59, 145]",S99Z.tsv
anything,1,179,"[40, 179, 208, 210, 226, 247, 285]",S99Z.tsv
if a,2,42,"[33, 42]",S99Z.tsv
but if,2,47,"[42, 47, 107]",S99Z.tsv
we're,1,66,"[42, 66, 79, 87, 142, 174, 177, 186, 204, 239]",S99Z.tsv
do be,2,112,"[42, 79, 112, 121, 145]",S99Z.tsv
and what,2,121,"[42, 79, 121, 123]",S99Z.tsv
look at,2,47,"[44, 47, 48, 71, 76]",S99Z.tsv
but not,2,112,"[44, 112]",S99Z.tsv
at the,2,112,"[44, 48, 71, 112, 141]",S99Z.tsv
them and,2,119,"[44, 119]",S99Z.tsv
next,1,279,"[44, 46, 279]",S99Z.tsv
look,1,47,"[44, 46, 47, 48, 50, 55, 71, 73, 76, 83, 141, 232, 260, 262]",S99Z.tsv
country and,2,121,"[46, 48, 121]",S99Z.tsv
country,1,121,"[46, 48, 87, 121, 313]",S99Z.tsv
