Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
salt,1,2,"[0, 2, 3, 97, 110, 344]",STKW.tsv
a,1,4,"[0, 3, 4, 7, 12, 13, 18, 21, 22, 44, 53, 56, 59, 61, 65, 67, 69, 80, 100, 115, 118, 137, 138, 139, 161, 180, 189, 192, 195, 202, 203, 216, 226, 236, 250, 252, 257, 258, 260, 286, 288, 309, 317, 320, 323, 329, 352, 353, 357, 370, 385, 387, 394, 400, 406, 414, 422, 438, 452, 463, 471, 475, 479, 518, 520, 525, 526, 531, 541, 555, 558, 559, 560, 561, 562, 563, 564, 565, 584, 585, 592, 594, 600, 604, 608, 624, 640, 641, 645, 646, 648, 651, 654, 670, 671, 672, 677, 689, 692, 707, 709, 711, 713, 714, 716, 720, 722, 724, 730, 731, 732, 744, 745, 754, 759, 762, 764, 765, 766, 774, 776, 786, 792, 798, 801, 803, 816, 817, 824, 835, 863, 872, 877, 879, 899, 910, 911, 920, 921, 922, 923, 925, 941]",STKW.tsv
the,1,4,"[0, 4, 11, 17, 21, 30, 39, 48, 50, 51, 52, 56, 60, 62, 65, 66, 67, 77, 90, 101, 121, 140, 146, 147, 155, 157, 173, 175, 177, 178, 181, 183, 184, 193, 195, 209, 212, 213, 216, 239, 241, 255, 263, 264, 295, 298, 304, 321, 339, 346, 360, 366, 372, 385, 388, 391, 394, 408, 410, 414, 417, 419, 420, 422, 423, 427, 428, 432, 433, 435, 444, 450, 453, 454, 459, 466, 471, 482, 485, 491, 502, 504, 506, 507, 511, 512, 516, 517, 521, 527, 529, 534, 536, 538, 558, 561, 592, 597, 599, 622, 629, 636, 638, 639, 641, 642, 647, 648, 650, 661, 668, 669, 675, 687, 703, 713, 728, 734, 751, 769, 771, 787, 794, 796, 798, 801, 811, 813, 817, 824, 825, 826, 830, 833, 834, 836, 839, 841, 846, 847, 848, 850, 852, 853, 860, 866, 872, 875, 882, 884, 885, 888, 890, 891, 895, 908, 913, 921, 930, 933]",STKW.tsv
i,1,11,"[0, 3, 11, 32, 46, 53, 56, 58, 65, 75, 80, 84, 90, 97, 127, 128, 140, 147, 173, 193, 194, 209, 219, 240, 244, 246, 250, 258, 260, 266, 290, 296, 297, 328, 333, 337, 340, 344, 352, 353, 354, 357, 358, 376, 385, 387, 391, 397, 400, 410, 428, 440, 442, 443, 444, 468, 471, 478, 514, 515, 516, 517, 521, 524, 531, 534, 590, 604, 605, 609, 611, 618, 629, 635, 639, 663, 666, 667, 682, 687, 695, 701, 706, 708, 713, 714, 740, 744, 747, 758, 766, 769, 816, 820, 824, 825, 835, 836, 838, 847, 861, 865, 866, 872, 879, 880, 888, 891, 893, 929, 942, 944]",STKW.tsv
think,1,11,"[0, 3, 11, 58, 65, 127, 140, 173, 188, 213, 244, 265, 275, 337, 344, 376, 385, 440, 442, 444, 478, 516, 517, 609, 629, 687, 695, 701, 708, 713, 714, 742, 747, 760, 824, 825, 847, 865, 888, 891, 892]",STKW.tsv
in,1,30,"[0, 30, 37, 48, 50, 52, 56, 60, 61, 62, 65, 101, 102, 116, 119, 153, 154, 173, 177, 181, 191, 192, 202, 203, 209, 213, 216, 241, 290, 293, 321, 326, 402, 405, 406, 410, 417, 420, 423, 440, 446, 459, 463, 471, 475, 479, 482, 529, 561, 565, 590, 604, 641, 642, 670, 673, 677, 703, 704, 724, 744, 751, 759, 765, 766, 767, 769, 801, 817, 824, 826, 828, 839, 846, 855, 856, 857, 866, 872, 878, 910, 941, 942]",STKW.tsv
in the,2,48,"[0, 48, 50, 52, 56, 60, 62, 65, 101, 173, 177, 209, 213, 216, 241, 321, 410, 417, 420, 423, 529, 561, 641, 642, 703, 801, 824, 826, 839, 846]",STKW.tsv
can,1,84,"[0, 84, 97, 192, 229, 352, 412, 502, 529, 552, 555, 557, 584, 714, 766, 789]",STKW.tsv
i've,1,122,"[0, 3, 122, 221, 328, 330, 556, 641, 703, 913, 916]",STKW.tsv
don't,1,43,"[0, 3, 32, 43, 49, 58, 140, 164, 178, 193, 294, 340, 358, 440, 443, 534, 611, 618, 624, 658, 667, 701, 708, 714, 716, 758, 842, 844, 891, 929, 931]",STKW.tsv
i don't,2,32,"[0, 3, 32, 58, 140, 193, 340, 358, 440, 443, 534, 611, 618, 667, 701, 708, 714, 758, 891, 929]",STKW.tsv
never,1,217,"[0, 217, 289, 328, 330, 604, 785, 813, 916]",STKW.tsv
see,1,394,"[0, 3, 198, 330, 394, 492, 493, 496, 532, 641, 703, 816, 908, 909, 910, 916, 917]",STKW.tsv
i don't think,3,708,"[0, 3, 58, 440, 701, 708, 714, 891]",STKW.tsv
river,1,4,"[3, 4, 7, 8, 11, 12, 13]",STKW.tsv
ever,1,50,"[3, 50, 218, 785]",STKW.tsv
you,1,20,"[6, 20, 43, 48, 49, 50, 55, 56, 60, 62, 63, 65, 83, 84, 88, 97, 101, 102, 103, 104, 119, 123, 137, 138, 140, 143, 180, 189, 192, 198, 213, 216, 218, 222, 224, 226, 228, 230, 245, 248, 255, 257, 262, 265, 268, 277, 280, 297, 299, 332, 334, 343, 347, 351, 359, 360, 366, 367, 394, 405, 412, 419, 423, 427, 428, 432, 440, 443, 446, 461, 478, 482, 502, 512, 517, 521, 529, 550, 552, 555, 556, 557, 568, 569, 570, 571, 586, 592, 610, 612, 658, 659, 669, 700, 704, 707, 710, 714, 716, 741, 751, 762, 764, 766, 767, 769, 786, 787, 788, 789, 794, 797, 810, 811, 817, 818, 820, 821, 823, 827, 828, 839, 841, 842, 844, 847, 874, 881, 891, 895, 905, 908, 909, 910, 922, 926, 934, 936, 940, 943]",STKW.tsv
do,1,19,"[6, 19, 57, 59, 60, 63, 72, 73, 75, 101, 119, 123, 128, 140, 189, 192, 218, 228, 241, 257, 266, 268, 299, 321, 347, 353, 402, 414, 423, 428, 446, 451, 456, 459, 481, 502, 515, 529, 534, 539, 550, 571, 611, 707, 710, 733, 745, 754, 757, 762, 769, 788, 797, 836, 839, 842, 844, 845, 847, 852, 853, 874, 891, 930, 934, 943]",STKW.tsv
do you,2,60,"[6, 60, 101, 119, 123, 140, 218, 228, 257, 268, 299, 347, 423, 446, 550, 571, 707, 710, 762, 797, 839, 891, 934, 943]",STKW.tsv
yeah,1,9,"[5, 9, 31, 35, 40, 41, 45, 64, 68, 69, 74, 78, 81, 85, 105, 109, 134, 141, 146, 159, 169, 171, 182, 190, 224, 228, 238, 251, 265, 269, 272, 305, 338, 345, 353, 358, 367, 371, 378, 382, 386, 389, 393, 395, 396, 398, 401, 413, 416, 424, 431, 432, 434, 436, 441, 445, 461, 467, 472, 474, 476, 477, 497, 498, 499, 505, 507, 509, 510, 513, 514, 522, 523, 527, 528, 530, 533, 534, 535, 542, 544, 546, 548, 554, 558, 562, 576, 591, 609, 611, 614, 617, 626, 630, 631, 632, 633, 634, 636, 637, 641, 649, 655, 664, 670, 675, 681, 683, 685, 688, 690, 705, 717, 721, 723, 729, 739, 752, 770, 775, 795, 802, 805, 807, 809, 817, 818, 822, 825, 827, 829, 833, 836, 842, 847, 850, 851, 876, 883, 886, 896, 897, 900, 906, 912, 919, 928, 931]",STKW.tsv
really,1,49,"[15, 49, 64, 66, 76, 94, 125, 148, 168, 177, 187, 209, 296, 306, 340, 367, 375, 377, 411, 423, 480, 483, 517, 521, 524, 525, 532, 533, 540, 594, 647, 687, 689, 727, 740, 744, 766, 783, 786, 835, 842, 849, 852, 853, 861]",STKW.tsv
that's,1,31,"[1, 31, 57, 79, 83, 84, 90, 131, 146, 158, 200, 214, 227, 280, 317, 367, 407, 419, 423, 483, 500, 515, 563, 585, 640, 645, 646, 706, 722, 728, 740, 766, 769, 770, 775, 794, 825, 894, 899, 924, 925, 941]",STKW.tsv
good,1,31,"[18, 27, 28, 31, 33, 84, 113, 122, 157, 172, 216, 270, 276, 296, 309, 311, 329, 370, 505, 532, 585, 636, 786, 878, 899, 911, 936]",STKW.tsv
to,1,52,"[22, 33, 43, 52, 55, 56, 59, 65, 168, 175, 178, 214, 217, 221, 222, 240, 359, 374, 385, 388, 406, 408, 412, 421, 423, 427, 428, 430, 440, 448, 452, 456, 459, 461, 475, 481, 482, 485, 489, 491, 492, 493, 496, 508, 509, 515, 553, 609, 611, 635, 663, 675, 704, 707, 714, 716, 718, 720, 724, 736, 737, 738, 740, 746, 751, 765, 767, 776, 788, 794, 805, 810, 821, 824, 827, 847, 850, 866, 872, 933]",STKW.tsv
microwave,1,52,"[42, 47, 48, 50, 51, 52, 56, 168, 173, 181, 187, 192, 193, 195, 196, 198, 202, 206, 207, 209, 216, 241, 321]",STKW.tsv
cook scramble egg in the microwave,6,52,"[48, 50, 52]",STKW.tsv
scramble egg,2,60,"[48, 50, 52, 56, 60, 65, 66, 77, 78, 136, 170]",STKW.tsv
scramble,1,60,"[52, 56, 60, 62, 65, 66, 73, 77, 78, 136, 170]",STKW.tsv
cook scramble egg,3,65,"[52, 65]",STKW.tsv
cook scramble,2,73,"[52, 73]",STKW.tsv
cook,1,48,"[43, 48, 50, 52, 59, 65, 73, 140, 152, 175, 181, 183, 370, 412, 437]",STKW.tsv
the microwave,2,51,"[48, 50, 51, 52, 56, 173, 193, 209, 216, 241, 321]",STKW.tsv
in the microwave,3,173,"[48, 50, 52, 56, 173, 209, 216, 241, 321]",STKW.tsv
egg,1,84,"[48, 50, 52, 60, 65, 66, 77, 78, 84, 136, 170, 438]",STKW.tsv
always,1,52,"[51, 52, 448, 687, 724, 730, 748, 750, 767, 784, 798, 818]",STKW.tsv
always use to,3,724,"[52, 724, 767]",STKW.tsv
use,1,168,"[52, 55, 56, 168, 178, 333, 724, 767, 787]",STKW.tsv
how,1,59,"[55, 59, 65, 168, 178, 211, 243, 248, 295, 339, 374, 437, 515, 762, 852, 891, 943]",STKW.tsv
