Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
i'm,1,13,"[0, 13, 19, 21, 22, 46, 69, 71, 85, 127, 167, 200, 256, 261, 263, 272, 297, 357, 366, 380, 381, 382]",SQU6.tsv
he's,1,28,"[0, 28, 124, 151, 152, 153, 297, 349]",SQU6.tsv
anything,1,32,"[0, 32]",SQU6.tsv
like,1,17,"[0, 17, 31, 66, 73, 80, 140, 147, 160, 170, 196, 229, 230, 272, 273, 282, 287, 288, 320, 322, 328, 358, 366]",SQU6.tsv
and he's,2,152,"[0, 152, 153]",SQU6.tsv
as a,2,179,"[0, 179]",SQU6.tsv
a lovely,2,338,"[0, 338]",SQU6.tsv
yeah,1,6,"[3, 6, 23, 51, 62, 67, 73, 84, 86, 107, 111, 112, 113, 114, 120, 125, 132, 150, 156, 158, 165, 167, 171, 176, 178, 180, 181, 197, 199, 203, 206, 231, 234, 245, 246, 258, 294, 329, 355, 364, 373, 385, 387]",SQU6.tsv
you can,2,68,"[33, 68, 146, 200, 272]",SQU6.tsv
preferably brownies,2,37,"[36, 37]",SQU6.tsv
preferably,1,37,"[36, 37, 39, 41]",SQU6.tsv
what do,2,39,"[24, 39, 91]",SQU6.tsv
say,1,46,"[16, 31, 46, 91, 211, 215, 229, 379, 380, 381]",SQU6.tsv
in the,2,46,"[20, 46, 55, 83, 186, 256, 258, 303, 353, 385]",SQU6.tsv
film,1,46,"[28, 46, 297, 298, 299]",SQU6.tsv
cake,1,46,"[32, 46]",SQU6.tsv
be in,2,72,"[46, 72, 288]",SQU6.tsv
cool,1,192,"[46, 192]",SQU6.tsv
show,1,200,"[46, 200, 209, 210]",SQU6.tsv
say that,2,211,"[46, 211, 379]",SQU6.tsv
be in the,3,256,"[46, 256, 353]",SQU6.tsv
to be,2,295,"[46, 295, 297]",SQU6.tsv
back,1,295,"[46, 295, 323, 332]",SQU6.tsv
i have,2,50,"[5, 7, 50, 271, 306, 384]",SQU6.tsv
read,1,50,"[47, 48, 50, 55, 60, 64, 68, 74, 82, 83, 102, 103, 104, 106, 108, 110, 113, 114, 128, 130, 131, 133, 159, 160, 179, 181, 182, 184, 191, 194]",SQU6.tsv
book,1,52,"[5, 7, 48, 52, 72, 73, 102, 106, 114, 115, 124, 128, 130, 131, 133, 149, 166, 170, 190, 194, 202, 210, 229, 230, 237, 239, 243, 246]",SQU6.tsv
of the,2,52,"[15, 52, 72, 99, 106, 154, 237, 272, 273]",SQU6.tsv
the book,2,72,"[52, 72, 73]",SQU6.tsv
a lot,2,54,"[7, 54, 353]",SQU6.tsv
the night,2,55,"[54, 55]",SQU6.tsv
night,1,55,"[54, 55, 304, 305]",SQU6.tsv
quite,1,82,"[54, 82, 180, 298]",SQU6.tsv
on the,2,188,"[54, 188, 275, 341, 343, 347, 353]",SQU6.tsv
icefire,1,60,"[56, 58, 60]",SQU6.tsv
already,1,82,"[62, 64, 82, 103, 367]",SQU6.tsv
and then,2,106,"[69, 106, 220, 224, 295, 332]",SQU6.tsv
i'm not,2,71,"[13, 71, 256, 297]",SQU6.tsv
the person controller,3,78,"[77, 78]",SQU6.tsv
well,1,81,"[13, 15, 67, 68, 74, 81, 82, 86, 102, 106, 111, 114, 140, 145, 146, 161, 166, 172, 179, 180, 185, 211, 229, 256, 258, 273, 299, 323, 332, 336, 341, 343, 347, 367, 369]",SQU6.tsv
i do,2,163,"[81, 163, 164, 375]",SQU6.tsv
as well,2,81,"[15, 81, 258, 273, 323, 341, 343, 347]",SQU6.tsv
i don't,2,83,"[9, 26, 83, 88, 92, 301, 332, 338, 353]",SQU6.tsv
but i,2,83,"[32, 83, 239, 299, 353]",SQU6.tsv
much,1,83,"[47, 48, 83, 272, 338]",SQU6.tsv
can read,2,83,"[68, 83, 102, 106, 179]",SQU6.tsv
to read,2,128,"[83, 113, 128, 130, 133, 181]",SQU6.tsv
time,1,160,"[83, 160, 315, 332]",SQU6.tsv
prefer,1,89,"[42, 89]",SQU6.tsv
age,1,89,"[68, 72, 89, 100, 101, 299, 332]",SQU6.tsv
age group,2,89,"[72, 89, 101, 244]",SQU6.tsv
and it's,2,225,"[89, 225, 353]",SQU6.tsv
all of,2,273,"[89, 273]",SQU6.tsv
have the,2,283,"[89, 101, 283]",SQU6.tsv
they're,1,97,"[96, 97, 287, 288]",SQU6.tsv
burn,1,97,"[96, 97, 99]",SQU6.tsv
nine,1,101,"[68, 70, 101, 106, 366, 367]",SQU6.tsv
nine to twelve,3,106,"[101, 106]",SQU6.tsv
helen moss,2,103,"[102, 103, 106]",SQU6.tsv
i've,1,103,"[45, 48, 103, 122, 160, 272, 315]",SQU6.tsv
yeah well,2,111,"[67, 111, 114, 180]",SQU6.tsv
have to,2,113,"[5, 7, 112, 113, 323]",SQU6.tsv
yeah but,2,113,"[112, 113, 181, 197, 199, 206]",SQU6.tsv
but you,2,200,"[113, 200, 295]",SQU6.tsv
you have,2,248,"[113, 248, 272, 277, 279, 323, 352, 365]",SQU6.tsv
you have to,3,323,"[113, 323]",SQU6.tsv
artemis fowl,2,115,"[114, 115]",SQU6.tsv
now how many,3,272,"[115, 272]",SQU6.tsv
chris d'lacey,2,117,"[106, 117, 172, 210, 246]",SQU6.tsv
chris,1,146,"[117, 146, 172]",SQU6.tsv
how many,2,272,"[117, 272]",SQU6.tsv
actually,1,123,"[68, 123, 332]",SQU6.tsv
one,1,123,"[74, 120, 122, 123, 124, 177, 220, 232, 237, 329, 360]",SQU6.tsv
i think,2,123,"[114, 116, 118, 123, 169, 258, 279, 366]",SQU6.tsv
think,1,123,"[120, 122, 123, 169, 232, 332, 338, 353, 366]",SQU6.tsv
a new one,3,124,"[123, 124]",SQU6.tsv
i think it's,3,258,"[123, 258]",SQU6.tsv
dragons,1,128,"[125, 128, 130, 131, 133, 142, 229]",SQU6.tsv
go to,2,127,"[13, 20, 72, 127, 262, 295, 297]",SQU6.tsv
to learn how to,4,127,"[67, 127]",SQU6.tsv
go,1,127,"[112, 127, 262, 270, 279, 295, 297, 331, 353, 382, 385]",SQU6.tsv
i'm go to,3,382,"[127, 382]",SQU6.tsv
to home,2,137,"[136, 137]",SQU6.tsv
do you,2,170,"[24, 91, 120, 122, 170, 230, 252, 272]",SQU6.tsv
book and,2,170,"[114, 170, 243]",SQU6.tsv
dragon,1,170,"[149, 151, 170, 196, 198, 202, 237, 275]",SQU6.tsv
dragon book,2,202,"[170, 202]",SQU6.tsv
of those,2,239,"[172, 239]",SQU6.tsv
put,1,315,"[172, 315, 385]",SQU6.tsv
things,1,363,"[172, 363]",SQU6.tsv
lovely,1,338,"[174, 338]",SQU6.tsv
to have,2,180,"[34, 122, 180, 323]",SQU6.tsv
best,1,180,"[37, 180]",SQU6.tsv
story,1,180,"[72, 149, 161, 165, 179, 180]",SQU6.tsv
well it's,2,180,"[102, 180, 299, 336]",SQU6.tsv
long,1,180,"[114, 180]",SQU6.tsv
we're,1,187,"[13, 15, 17, 24, 31, 187, 189, 191, 315]",SQU6.tsv
be read,2,191,"[131, 191]",SQU6.tsv
yeah the,2,246,"[203, 246]",SQU6.tsv
bed,1,214,"[213, 214]",SQU6.tsv
yes,1,217,"[72, 105, 215, 217, 229, 241, 244, 272, 310, 348, 357, 368, 369]",SQU6.tsv
know,1,229,"[9, 26, 124, 215, 229, 246, 299, 301, 351, 353, 359, 380, 388]",SQU6.tsv
yes you,2,229,"[72, 229, 272]",SQU6.tsv
you say,2,229,"[91, 215, 229]",SQU6.tsv
you know,2,246,"[229, 246]",SQU6.tsv
know you,2,359,"[229, 359, 380]",SQU6.tsv
cheeky,1,235,"[230, 235, 236]",SQU6.tsv
little,1,246,"[230, 246, 314, 320, 365]",SQU6.tsv
from the,2,233,"[112, 233]",SQU6.tsv
book that,2,243,"[72, 243]",SQU6.tsv
there be,2,243,"[104, 116, 237, 243, 291]",SQU6.tsv
be four,2,243,"[220, 243]",SQU6.tsv
up to,2,387,"[243, 387]",SQU6.tsv
chicken,1,247,"[86, 247]",SQU6.tsv
would,1,253,"[42, 47, 114, 122, 181, 244, 253, 335, 352, 353, 358, 359]",SQU6.tsv
it be,2,253,"[220, 253]",SQU6.tsv
roll,1,253,"[252, 253, 255, 256, 257, 271]",SQU6.tsv
have a,2,257,"[185, 188, 257, 271, 279, 311, 315, 357, 361, 365, 384]",SQU6.tsv
poppy seed roll,3,257,"[256, 257, 271]",SQU6.tsv
i'll,1,257,"[94, 257, 273]",SQU6.tsv
that's,1,274,"[1, 7, 22, 68, 82, 94, 106, 161, 177, 196, 206, 208, 274, 288, 291, 293, 303, 320, 332, 339]",SQU6.tsv
but that's,2,274,"[68, 106, 206, 274]",SQU6.tsv
that be,2,276,"[72, 276]",SQU6.tsv
way,1,276,"[258, 276, 286, 288, 353]",SQU6.tsv
many vegetables,2,276,"[272, 276]",SQU6.tsv
vegetables,1,276,"[272, 273, 276, 277, 288]",SQU6.tsv
do it,2,285,"[82, 205, 207, 209, 210, 285]",SQU6.tsv
nice,1,285,"[102, 281, 284, 285, 332]",SQU6.tsv
feel nice,2,286,"[285, 286]",SQU6.tsv
like they're,2,288,"[287, 288]",SQU6.tsv
brownie,1,304,"[31, 34, 304, 305]",SQU6.tsv
tuesday,1,304,"[15, 221, 224, 304, 305]",SQU6.tsv
tuesday be brownie night,4,305,"[304, 305]",SQU6.tsv
thursday,1,308,"[15, 221, 224, 301, 308, 346, 349, 350, 353]",SQU6.tsv
on thursday,2,308,"[301, 308, 346]",SQU6.tsv
a haircut,2,311,"[308, 311]",SQU6.tsv
okay,1,314,"[183, 201, 258, 314, 378]",SQU6.tsv
trim,1,323,"[314, 323, 334]",SQU6.tsv
a little,2,365,"[314, 320, 365]",SQU6.tsv
bite,1,320,"[72, 99, 320, 322]",SQU6.tsv
we like,2,320,"[160, 320]",SQU6.tsv
a bite,2,322,"[72, 322]",SQU6.tsv
what's,1,193,"[72, 74, 193, 278, 325]",SQU6.tsv
what's the,2,325,"[74, 325]",SQU6.tsv
point,1,325,"[273, 325, 361, 385]",SQU6.tsv
get,1,327,"[1, 32, 34, 67, 68, 74, 85, 95, 114, 120, 166, 198, 199, 239, 309, 327, 335, 349, 363, 382, 384]",SQU6.tsv
