Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
how be,2,3,"[0, 139]","[3, 190]",S6A7.tsv,S0439,S0441
weekend,1,172,"[0, 71, 145, 175, 313, 579, 638]","[172, 330]",S6A7.tsv,S0439,S0441
be it,2,382,"[0, 75, 81, 139, 478, 521, 732]","[382, 500, 554, 697, 731]",S6A7.tsv,S0439,S0441
get,1,51,"[2, 8, 16, 18, 30, 73, 77, 111, 131, 137, 147, 149, 151, 169, 175, 193, 201, 225, 231, 235, 245, 249, 263, 275, 295, 305, 345, 357, 363, 369, 383, 385, 399, 433, 466, 468, 499, 559, 630, 638, 660, 716, 724, 726, 742, 744, 774, 780, 792]","[51, 262, 264, 298, 302, 330, 358, 360, 370, 392, 400, 402, 530, 707, 715, 783, 797, 346, 348, 354]",S6A7.tsv,S0439,S0441
what do,2,68,"[2, 333, 397, 565, 686, 694, 714, 738]","[68, 394, 564, 601]",S6A7.tsv,S0439,S0441
do you,2,106,"[2, 22, 137, 161, 201, 261, 285, 287, 325, 403, 405, 519, 627, 724]","[106, 162, 172, 436, 649, 691, 601]",S6A7.tsv,S0439,S0441
get up,2,346,"[2, 263]",[346],S6A7.tsv,S0439,S0441
you get,2,348,"[2, 30, 111, 131, 724]","[348, 354]",S6A7.tsv,S0439,S0441
what do you,3,601,[2],[601],S6A7.tsv,S0439,S0441
to go,2,51,"[6, 12, 18, 65, 67, 433, 487, 712, 756]","[51, 741]",S6A7.tsv,S0439,S0441
three,1,51,"[6, 299, 363, 476, 758]",[51],S6A7.tsv,S0439,S0441
go,1,66,"[6, 10, 12, 14, 16, 18, 22, 32, 54, 65, 67, 71, 79, 81, 89, 117, 121, 137, 143, 145, 175, 231, 237, 247, 257, 283, 315, 355, 381, 385, 431, 433, 435, 441, 462, 487, 489, 523, 547, 567, 597, 602, 644, 660, 662, 680, 688, 706, 712, 716, 754, 756, 760, 784, 798]","[66, 88, 238, 264, 320, 328, 330, 436, 528, 709, 801, 112, 314, 316, 332, 346, 408, 498, 647, 691, 693, 719, 727, 739, 741, 795, 809]",S6A7.tsv,S0439,S0441
go to,2,112,"[6, 12, 14, 89, 137, 257, 283, 355, 381, 431, 433, 441, 487, 602, 712, 716, 754, 756, 784, 798]","[112, 314, 316, 330, 332, 346, 408, 498, 647, 691, 693, 719, 727, 739, 741, 795, 809]",S6A7.tsv,S0439,S0441
leave,1,124,"[6, 48, 119, 121, 345, 371, 375, 604, 625, 734]","[124, 126, 358, 370, 416]",S6A7.tsv,S0439,S0441
ridiculous,1,364,"[6, 20, 355, 371, 600, 722]","[364, 378, 580, 723, 745, 747, 751]",S6A7.tsv,S0439,S0441
to go to,3,741,"[6, 12, 433]",[741],S6A7.tsv,S0439,S0441
spend,1,316,"[8, 179, 317, 754, 756]",[316],S6A7.tsv,S0439,S0441
get to,2,360,"[8, 131, 137, 175, 275, 363, 433, 630, 660, 716]",[360],S6A7.tsv,S0439,S0441
even,1,498,"[8, 12, 52, 207, 299, 583, 680, 728]","[498, 564]",S6A7.tsv,S0439,S0441
go out for,3,238,"[10, 435]",[238],S6A7.tsv,S0439,S0441
on saturday,2,691,"[10, 89, 201, 427]",[691],S6A7.tsv,S0439,S0441
it be,2,12,"[12, 20, 22, 71, 101, 173, 175, 203, 207, 221, 263, 355, 519, 585, 600, 602, 656, 658, 666, 786, 806]","[1, 35, 168, 302, 318, 518, 618, 641, 659, 665, 667, 681, 685, 705, 741, 747]",S6A7.tsv,S0439,S0441
good,1,12,"[12, 32, 123, 197, 343, 357, 363, 391, 571, 636, 666, 690, 790]","[1, 13, 29, 100, 198, 200, 234, 312, 316, 358, 518, 572, 611, 635, 639, 663, 773, 789, 791, 793, 386, 659]",S6A7.tsv,S0439,S0441
actually,1,33,"[12, 165, 175, 263, 640, 658, 744, 754]","[33, 37, 322, 346, 348, 618]",S6A7.tsv,S0439,S0441
back,1,41,"[12, 16, 18, 145, 201, 373, 441, 589, 640, 724, 760]","[41, 741]",S6A7.tsv,S0439,S0441
really,1,90,"[12, 16, 75, 89, 99, 127, 139, 145, 149, 167, 171, 173, 175, 197, 201, 207, 217, 221, 231, 233, 235, 259, 261, 287, 295, 337, 387, 501, 587, 591, 632, 668, 682, 700, 712, 734, 804]","[90, 102, 126, 132, 150, 182, 196, 202, 204, 232, 240, 316, 326, 352, 366, 370, 386, 469, 538, 554, 598, 626, 633, 659, 667, 689, 711, 729, 767, 564]",S6A7.tsv,S0439,S0441
really really,2,352,"[12, 295]","[352, 538, 564]",S6A7.tsv,S0439,S0441
really good,2,386,"[12, 197]","[386, 659]",S6A7.tsv,S0439,S0441
in the,2,426,"[12, 22, 119, 121, 367, 385, 606, 619, 625, 658, 696, 774]","[426, 467, 643, 717]",S6A7.tsv,S0439,S0441
food,1,528,"[12, 478]",[528],S6A7.tsv,S0439,S0441
town,1,741,[12],[741],S6A7.tsv,S0439,S0441
round,1,204,"[14, 89]",[204],S6A7.tsv,S0439,S0441
's,1,691,"[14, 89, 137, 197, 427, 640, 772]",[691],S6A7.tsv,S0439,S0441
like,1,37,"[16, 20, 26, 30, 38, 48, 69, 71, 73, 75, 77, 79, 81, 83, 85, 91, 93, 95, 99, 105, 111, 115, 119, 121, 123, 137, 139, 141, 143, 145, 147, 149, 151, 155, 159, 163, 165, 169, 175, 177, 185, 189, 193, 201, 203, 205, 207, 213, 215, 219, 221, 227, 229, 231, 233, 235, 241, 245, 253, 257, 261, 263, 265, 269, 273, 275, 285, 287, 289, 291, 295, 299, 305, 307, 317, 345, 353, 355, 363, 365, 369, 371, 373, 379, 381, 385, 387, 403, 405, 431, 456, 503, 505, 517, 523, 525, 527, 531, 539, 541, 557, 563, 565, 575, 577, 593, 597, 600, 602, 606, 612, 627, 636, 638, 640, 658, 664, 666, 686, 688, 706, 710, 712, 716, 724, 734, 736, 744, 748, 754, 758, 760, 764, 766, 782, 790, 804]","[37, 51, 164, 202, 204, 250, 262, 278, 290, 302, 304, 322, 326, 346, 358, 362, 370, 453, 488, 490, 516, 538, 556, 564, 568, 667, 671, 685, 729, 749]",S6A7.tsv,S0439,S0441
sunday,1,37,"[16, 375, 429, 433, 640]","[37, 378, 741]",S6A7.tsv,S0439,S0441
life,1,43,"[16, 129, 139, 305, 375, 379, 515, 527, 537, 762, 782, 802]","[43, 130, 278, 380, 538, 763]",S6A7.tsv,S0439,S0441
the the,2,96,"[16, 593, 619]",[96],S6A7.tsv,S0439,S0441
and then,2,112,"[16, 65, 73, 75, 121, 137, 145, 175, 217, 247, 249, 363, 385, 399, 435, 531, 606, 640, 658, 660, 688, 724, 734]","[112, 126, 414, 703]",S6A7.tsv,S0439,S0441
ten,1,126,"[16, 48, 375, 387]","[126, 328]",S6A7.tsv,S0439,S0441
change,1,150,"[16, 18]",[150],S6A7.tsv,S0439,S0441
have to,2,326,"[16, 83, 139, 231, 279, 325, 345, 381, 385, 710, 712, 726]","[326, 699, 703, 741]",S6A7.tsv,S0439,S0441
to do,2,328,"[16, 123, 185, 231, 271, 273, 363, 466, 612, 630, 686]","[328, 469, 687]",S6A7.tsv,S0439,S0441
to get,2,330,"[16, 77, 275, 345, 383, 399, 726, 742, 744]","[330, 358, 360, 400, 402]",S6A7.tsv,S0439,S0441
race,1,384,"[16, 375, 379]",[384],S6A7.tsv,S0439,S0441
do the,2,394,[16],[394],S6A7.tsv,S0439,S0441
into town,2,741,"[16, 742]",[741],S6A7.tsv,S0439,S0441
see er,2,64,[18],[64],S6A7.tsv,S0439,S0441
at the,2,172,"[18, 191, 373, 515, 734]","[172, 348, 400, 467, 811]",S6A7.tsv,S0439,S0441
see,1,172,"[18, 83, 191, 257, 313, 489, 696, 704, 716, 718, 770, 808, 816]","[172, 316, 320, 330, 344, 418, 442, 538, 817]",S6A7.tsv,S0439,S0441
come,1,524,"[18, 65, 67, 75, 77, 127, 145, 175, 189, 201, 207, 213, 217, 227, 431, 575, 640, 658]",[524],S6A7.tsv,S0439,S0441
be like,2,204,"[20, 69, 71, 81, 115, 137, 141, 149, 159, 175, 177, 201, 207, 215, 221, 233, 235, 261, 287, 305, 379, 385, 431, 525, 527, 541, 577, 597, 602, 658, 686, 688, 710, 736, 748, 760]","[204, 346, 362, 667, 749, 671]",S6A7.tsv,S0439,S0441
i be,2,314,"[20, 69, 71, 75, 77, 79, 81, 95, 149, 175, 177, 201, 207, 215, 221, 227, 235, 261, 287, 305, 379, 381, 385, 387, 431, 541, 577, 658, 664, 666, 680, 736, 760, 798]","[314, 512, 675, 677, 679, 685, 795, 671]",S6A7.tsv,S0439,S0441
i be like,3,671,"[20, 69, 71, 81, 175, 177, 201, 215, 221, 235, 261, 287, 379, 385, 431, 541, 577, 658, 736, 760]",[671],S6A7.tsv,S0439,S0441
it be ridiculous,3,747,"[20, 600]",[747],S6A7.tsv,S0439,S0441
what's,1,64,"[22, 458, 644]",[64],S6A7.tsv,S0439,S0441
know,1,110,"[22, 26, 30, 54, 71, 77, 79, 137, 139, 143, 145, 149, 151, 153, 159, 171, 173, 175, 179, 185, 201, 207, 221, 229, 233, 267, 277, 281, 285, 289, 295, 299, 339, 341, 369, 387, 389, 460, 472, 474, 476, 503, 519, 533, 537, 539, 602, 630, 634, 638, 660, 680, 686, 734, 752, 770, 772, 782, 798, 802]","[110, 112, 116, 140, 162, 202, 204, 262, 350, 352, 358, 368, 370, 396, 457, 518, 538, 594, 622, 643, 697, 707, 723, 745, 747]",S6A7.tsv,S0439,S0441
i know,2,116,"[22, 77, 139, 145, 149, 171, 173, 175, 229, 267, 277, 285, 299, 369, 387, 389, 539, 630, 638, 660, 752, 772, 782]","[116, 204, 350, 352, 368, 370, 594, 622, 643, 707, 723, 745, 518, 747]",S6A7.tsv,S0439,S0441
know it,2,140,"[22, 173]",[140],S6A7.tsv,S0439,S0441
i don't,2,182,"[22, 26, 83, 85, 117, 143, 151, 153, 201, 233, 237, 271, 285, 299, 466, 474, 557, 577, 634, 758, 798]","[182, 278, 488, 633, 396, 697]",S6A7.tsv,S0439,S0441
go on,2,264,"[22, 231, 644, 680, 760]",[264],S6A7.tsv,S0439,S0441
i don't know,3,396,"[22, 26, 143, 151, 153, 201, 233, 299, 474, 634, 798]","[396, 697]",S6A7.tsv,S0439,S0441
i know it be,4,518,"[22, 173]","[518, 747]",S6A7.tsv,S0439,S0441
in the world,3,643,[22],[643],S6A7.tsv,S0439,S0441
make,1,25,"[24, 381, 401, 423, 487, 489, 547, 597, 602, 604, 606, 619, 621]","[25, 47, 414, 422, 426, 467, 488, 558, 598, 769]",S6A7.tsv,S0439,S0441
be you,2,190,"[24, 32, 143, 177, 223, 233, 279, 427, 478, 533, 537, 652, 656, 658]","[190, 384, 430]",S6A7.tsv,S0439,S0441
bad,1,270,"[24, 221, 261, 279, 339, 640, 744]","[270, 641]",S6A7.tsv,S0439,S0441
what be you,3,430,"[24, 478]",[430],S6A7.tsv,S0439,S0441
not bad,2,641,"[24, 744]",[641],S6A7.tsv,S0439,S0441
what be,2,643,"[24, 478, 680]",[643],S6A7.tsv,S0439,S0441
