Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
time,1,52,"[0, 82, 160, 219, 223, 236, 275, 298, 308, 367, 371, 675, 836, 846, 910]","[52, 72, 91, 118, 183, 443, 461, 643, 677, 774, 815, 894, 904, 359, 913]",SYEF.tsv,S0615,S0525
tomorrow,1,79,"[0, 87, 223, 230, 238, 256, 282, 284, 343]","[79, 351, 415, 823]",SYEF.tsv,S0615,S0525
come,1,83,"[0, 145, 147, 284, 314, 375, 383, 472, 656, 723, 802, 863, 887]","[83, 100, 121, 123, 142, 148, 376, 399, 509, 543, 587, 823, 876, 602]",SYEF.tsv,S0615,S0525
what time,2,359,"[0, 219, 836, 846]","[359, 904, 913]",SYEF.tsv,S0615,S0525
the bed come,3,602,[0],[602],SYEF.tsv,S0615,S0525
the bed,2,609,[0],[609],SYEF.tsv,S0615,S0525
bed,1,650,"[0, 608, 614]",[650],SYEF.tsv,S0615,S0525
okay,1,4,"[2, 6, 49, 103, 120, 143, 151, 158, 184, 201, 207, 208, 221, 222, 224, 225, 287, 377, 442, 448, 486, 555, 562, 567, 659, 680, 826, 830, 834, 838, 848, 901, 907, 912]","[4, 59, 83, 95, 187, 194, 351, 363, 504, 835, 911, 925]",SYEF.tsv,S0615,S0525
well,1,4,"[3, 9, 160, 209, 234, 240, 244, 252, 293, 323, 347, 470, 488, 530, 584, 608, 758, 782, 790, 802, 910]","[4, 74, 84, 97, 100, 102, 239, 290, 321, 328, 351, 376, 409, 411, 415, 443, 461, 478, 480, 543, 602, 609, 626, 703, 712, 735, 823, 878, 906]",SYEF.tsv,S0615,S0525
i'm,1,4,"[3, 87, 169, 195, 244, 256, 308]","[4, 7, 325, 445, 720, 735, 831, 872]",SYEF.tsv,S0615,S0525
go and,2,15,"[3, 77, 82, 306, 790, 850, 852]","[15, 23, 110, 113, 791]",SYEF.tsv,S0615,S0525
go,1,15,"[3, 10, 77, 82, 236, 306, 349, 495, 616, 640, 705, 742, 790, 844, 850, 852, 862, 863, 893, 922]","[15, 20, 23, 31, 34, 63, 79, 99, 102, 110, 113, 118, 119, 129, 183, 239, 278, 413, 415, 496, 565, 578, 681, 731, 770, 791, 795, 801, 823, 827, 886]",SYEF.tsv,S0615,S0525
look,1,15,"[3, 12, 29, 77, 82, 238, 583, 588, 603, 728, 863]","[15, 136, 334, 399, 441, 478, 519, 522, 699, 724, 770, 827, 884]",SYEF.tsv,S0615,S0525
nursery,1,23,"[3, 45]","[23, 239, 351]",SYEF.tsv,S0615,S0525
go to,2,34,"[3, 236, 616, 742, 922]","[34, 63, 118, 119, 239, 415, 827]",SYEF.tsv,S0615,S0525
round,1,376,"[3, 324]","[376, 543, 565, 772, 789]",SYEF.tsv,S0615,S0525
to go,2,681,"[3, 236, 852, 863, 922]",[681],SYEF.tsv,S0615,S0525
i'll go,2,99,"[10, 77]",[99],SYEF.tsv,S0615,S0525
i'll,1,121,"[10, 77, 82, 223, 236, 284, 302, 323, 354, 462, 668]","[121, 123, 127, 131, 286, 351, 376, 735, 906]",SYEF.tsv,S0615,S0525
four,1,283,"[10, 224, 238, 242, 300, 302, 304, 784]","[283, 411, 900, 913]",SYEF.tsv,S0615,S0525
four so,2,913,"[10, 238]",[913],SYEF.tsv,S0615,S0525
might,1,185,"[12, 29, 77, 193, 246, 396, 790, 887]","[185, 643, 683, 791, 813, 845, 878, 919]",SYEF.tsv,S0615,S0525
sure,1,325,"[12, 51, 87, 228, 633, 682, 767]","[325, 831, 872]",SYEF.tsv,S0615,S0525
no i,2,372,"[12, 77, 418, 425]","[372, 882, 906]",SYEF.tsv,S0615,S0525
whenever,1,496,[12],[496],SYEF.tsv,S0615,S0525
not sure,2,831,"[12, 682, 767]","[831, 872]",SYEF.tsv,S0615,S0525
no i haven't,3,906,[12],[906],SYEF.tsv,S0615,S0525
think,1,15,"[14, 64, 73, 186, 347, 381, 425, 450, 455, 459, 479, 495, 584, 637, 707, 713, 727, 734, 751, 796, 798, 802, 810, 840, 854, 887]","[15, 16, 23, 63, 70, 104, 110, 142, 174, 185, 467, 624, 632, 801, 849, 851, 155, 170, 172, 177, 411, 445, 491, 527, 681, 683, 704, 817, 827, 837, 847, 864, 880, 900]",SYEF.tsv,S0615,S0525
i think,2,155,"[14, 64, 186, 381, 450, 455, 479, 495, 584, 637, 707, 734, 751, 840, 854, 887]","[155, 170, 172, 177, 411, 445, 491, 527, 681, 683, 704, 817, 827, 837, 847, 864, 880, 900]",SYEF.tsv,S0615,S0525
yes,1,19,"[19, 32, 128, 175, 240, 289, 331, 338, 349, 375, 388, 404, 446, 457, 464, 466, 499, 506, 510, 516, 569, 577, 622, 698, 705, 730, 734, 743, 745, 749, 751, 787, 794, 796, 798, 800, 842, 854, 863]","[8, 15, 22, 86, 115, 116, 119, 129, 130, 133, 139, 146, 148, 239, 273, 286, 305, 309, 325, 330, 395, 399, 403, 535, 576, 578, 601, 609, 818, 868, 93, 359, 864]",SYEF.tsv,S0615,S0525
it be,2,19,"[19, 87, 169, 180, 196, 236, 375, 481, 584, 606, 836, 840, 885]","[15, 168, 274, 570, 578, 626, 683, 726, 750, 818, 819, 884]",SYEF.tsv,S0615,S0525
oh yes,2,93,"[19, 510]","[93, 359, 864]",SYEF.tsv,S0615,S0525
know,1,21,"[21, 51, 80, 137, 167, 236, 238, 262, 284, 544, 618, 728, 742, 748, 766, 790, 802]","[1, 11, 31, 36, 52, 76, 127, 131, 132, 142, 165, 283, 309, 319, 478, 484, 527, 613, 676, 703, 768, 801, 803, 811, 904, 22, 500, 501, 531, 570, 779, 783]",SYEF.tsv,S0615,S0525
i know,2,22,"[21, 80, 137, 238, 544, 618, 748]","[22, 500, 501, 531, 570, 779, 783]",SYEF.tsv,S0615,S0525
get,1,127,"[26, 87, 160, 164, 182, 234, 236, 244, 302, 310, 358, 362, 639, 640, 804, 810, 867, 914]","[127, 132, 148, 265, 267, 269, 273, 286, 294, 313, 322, 325, 405, 431, 441, 445, 451, 480, 491, 496, 527, 643, 662, 679, 683, 724, 733, 735, 744, 775, 777, 786, 793, 803, 864, 866, 870, 906, 602]",SYEF.tsv,S0615,S0525
it's get,2,602,[26],[602],SYEF.tsv,S0615,S0525
yeah,1,34,"[28, 64, 73, 77, 109, 124, 137, 160, 196, 199, 203, 208, 209, 213, 214, 215, 216, 219, 223, 238, 242, 246, 248, 250, 256, 268, 295, 297, 310, 312, 320, 356, 364, 373, 383, 400, 420, 453, 468, 481, 530, 546, 603, 625, 658, 707, 711, 816, 822, 871, 873, 885, 918, 924]","[34, 44, 59, 79, 102, 157, 172, 179, 194, 233, 243, 299, 303, 307, 309, 311, 321, 348, 401, 454, 461, 526, 541, 547, 615, 643, 703, 716, 772, 833, 841, 864, 884, 913]",SYEF.tsv,S0615,S0525
so yeah,2,172,"[28, 246]","[172, 913]",SYEF.tsv,S0615,S0525
hours,1,50,"[29, 600, 914]","[50, 643, 689]",SYEF.tsv,S0615,S0525
apparently,1,150,"[29, 364, 367, 375]","[150, 679]",SYEF.tsv,S0615,S0525
quite,1,407,"[29, 258, 432, 633]","[407, 697, 699, 783, 878]",SYEF.tsv,S0615,S0525
might have,2,643,[29],[643],SYEF.tsv,S0615,S0525
it's quite,2,878,[29],[878],SYEF.tsv,S0615,S0525
fit in,2,30,"[30, 778]","[4, 415, 290]",SYEF.tsv,S0615,S0525
us,1,131,"[30, 749, 862, 905]","[131, 801, 835, 861]",SYEF.tsv,S0615,S0525
seven,1,231,[30],[231],SYEF.tsv,S0615,S0525
thirty,1,283,"[30, 45]","[283, 399, 837, 900]",SYEF.tsv,S0615,S0525
fit in with,3,290,[30],[290],SYEF.tsv,S0615,S0525
fit,1,296,"[30, 300, 778]","[296, 348, 831, 415]",SYEF.tsv,S0615,S0525
till,1,319,"[30, 302, 304, 306, 349]","[319, 861]",SYEF.tsv,S0615,S0525
six,1,712,"[30, 306, 410, 778, 780, 784]","[712, 801, 911]",SYEF.tsv,S0615,S0525
book,1,131,"[33, 37, 46, 57]","[131, 547, 724, 829, 841]",SYEF.tsv,S0615,S0525
no no,2,294,"[37, 210, 213, 418]",[294],SYEF.tsv,S0615,S0525
free settle in,3,39,[38],[39],SYEF.tsv,S0615,S0525
and your,2,40,[40],[5],SYEF.tsv,S0615,S0525
expect,1,142,[40],[142],SYEF.tsv,S0615,S0525
with you,2,278,"[40, 62]",[278],SYEF.tsv,S0615,S0525
this be,2,706,[40],"[706, 710]",SYEF.tsv,S0615,S0525
we be,2,93,[43],[93],SYEF.tsv,S0615,S0525
first,1,100,"[45, 630]","[100, 712]",SYEF.tsv,S0615,S0525
one,1,138,"[45, 55, 58, 62, 98, 149, 156, 300, 302, 306, 318, 349, 362, 367, 371, 375, 450, 540, 612, 822, 887]","[138, 153, 211, 290, 368, 441, 445, 463, 465, 467, 527, 626, 643, 657, 672, 681, 706, 710, 712, 731, 733, 837, 886]",SYEF.tsv,S0615,S0525
christmas,1,148,"[45, 869]",[148],SYEF.tsv,S0615,S0525
and for,2,351,[45],[351],SYEF.tsv,S0615,S0525
week,1,392,"[45, 58, 236, 792]","[392, 395, 731, 843]",SYEF.tsv,S0615,S0525
holiday,1,770,[45],[770],SYEF.tsv,S0615,S0525
on the,2,136,"[46, 236, 394, 396, 470, 497, 608, 887]","[136, 204, 309, 724, 770, 823, 835]",SYEF.tsv,S0615,S0525
actual,1,376,[46],[376],SYEF.tsv,S0615,S0525
there's,1,498,"[48, 87, 499, 727]","[498, 533, 535, 617]",SYEF.tsv,S0615,S0525
i don't know,3,51,"[51, 284, 790, 802]","[1, 131, 132, 165, 484, 613, 676, 768, 801, 904]",SYEF.tsv,S0615,S0525
don't know,2,51,"[51, 167, 284, 742, 766, 790, 802]","[36, 811, 131, 132, 165, 484, 613, 676, 768, 801, 904]",SYEF.tsv,S0615,S0525
i don't,2,104,"[51, 193, 284, 347, 425, 459, 790, 796, 798, 802]","[104, 110, 376, 624, 131, 132, 165, 484, 613, 676, 768, 801, 904]",SYEF.tsv,S0615,S0525
