Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
a lot in common,4,1,"[0, 1]",S7DR.tsv
get a,2,70,"[0, 23, 70, 209, 213, 227, 243, 269, 275, 420, 421, 451, 501, 584, 678, 802, 825, 833, 857, 1024, 1032]",S7DR.tsv
get,1,67,"[0, 18, 23, 28, 59, 67, 70, 81, 97, 114, 149, 151, 152, 166, 168, 169, 174, 178, 179, 183, 189, 195, 196, 200, 201, 209, 213, 215, 220, 222, 227, 232, 237, 243, 245, 246, 255, 261, 264, 269, 275, 285, 303, 307, 313, 326, 347, 353, 363, 364, 392, 394, 399, 409, 420, 421, 423, 427, 428, 430, 432, 440, 442, 445, 450, 451, 452, 458, 473, 488, 495, 501, 502, 541, 549, 552, 559, 560, 564, 577, 581, 582, 584, 590, 600, 603, 678, 718, 725, 740, 754, 767, 786, 802, 803, 812, 825, 828, 833, 835, 836, 845, 849, 857, 874, 901, 903, 905, 983, 985, 986, 1020, 1022, 1024, 1032, 1034]",S7DR.tsv
well,1,9,"[0, 9, 23, 28, 39, 48, 50, 51, 95, 96, 97, 104, 120, 122, 131, 136, 141, 142, 146, 155, 161, 186, 202, 209, 218, 224, 230, 246, 268, 274, 275, 285, 290, 306, 309, 369, 378, 385, 386, 399, 402, 404, 405, 409, 424, 425, 455, 465, 471, 473, 495, 508, 512, 513, 525, 532, 543, 556, 566, 601, 635, 638, 645, 669, 674, 676, 686, 746, 750, 786, 803, 804, 812, 824, 832, 834, 835, 836, 848, 865, 885, 923, 946, 981]",S7DR.tsv
nice,1,95,"[0, 95, 115, 117, 183, 257, 317, 480, 488, 637, 664, 666, 790, 792, 794, 937, 962, 1026, 1032]",S7DR.tsv
know,1,7,"[0, 7, 18, 45, 55, 59, 77, 132, 189, 191, 215, 224, 297, 313, 340, 343, 348, 351, 362, 374, 380, 382, 388, 397, 432, 439, 471, 481, 513, 547, 553, 593, 606, 609, 625, 629, 630, 635, 642, 643, 663, 702, 744, 748, 750, 752, 754, 769, 780, 782, 795, 797, 824, 829, 832, 833, 849, 855, 857, 923, 935, 937, 977, 985, 1002, 1005, 1017, 1028, 1043]",S7DR.tsv
well it's,2,104,"[0, 104, 120, 209, 556, 566]",S7DR.tsv
get a lot,3,857,"[0, 857]",S7DR.tsv
a lot,2,92,"[0, 1, 92, 218, 252, 351, 655, 774, 857]",S7DR.tsv
yes,1,34,"[3, 30, 34, 57, 114, 160, 182, 192, 199, 209, 251, 254, 261, 493, 582, 608, 628, 764, 791, 793, 798, 851, 872, 877, 915, 1008]",S7DR.tsv
that's,1,46,"[18, 30, 45, 46, 48, 85, 109, 136, 137, 166, 167, 188, 207, 208, 224, 225, 227, 228, 242, 246, 248, 259, 274, 309, 316, 321, 329, 330, 415, 422, 433, 462, 521, 535, 542, 581, 584, 586, 589, 601, 616, 656, 657, 713, 714, 776, 779, 792, 795, 816, 867, 940, 1002, 1034]",S7DR.tsv
