Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
like,1,21,"[0, 2, 8, 10, 12, 14, 18, 20, 24, 26, 30, 32, 43, 47, 48, 51, 59, 61, 67, 69, 71, 75, 77, 81, 83, 87, 89, 91, 93, 95, 110, 122, 126, 128, 130, 132, 134, 144, 146, 148, 150, 172, 180, 213, 217, 238, 242, 244, 248, 252, 254, 277, 296, 298, 300, 302, 308, 314, 318, 320, 334, 336, 338, 342, 344, 346, 350, 360, 364, 366, 370, 378, 380, 382, 384, 398, 406, 410, 417, 424, 426, 430, 437, 439, 450, 452, 464, 466, 469, 481, 485, 507, 511, 522, 530, 536, 539, 543, 551, 559, 567, 569, 571, 577, 579, 581, 586, 588, 598, 605, 611, 635, 656, 660, 666, 668, 670, 672, 674, 678, 680, 686, 688, 690, 694, 700, 706, 716, 718, 724, 726, 786, 794, 805, 809, 818, 828, 832, 833, 835, 836, 844]","[21, 27, 42, 100, 111, 125, 131, 139, 216, 228, 280, 305, 311, 353, 361, 418, 480, 492, 504, 513, 515, 517, 544, 552, 585, 622, 649, 703, 721, 731, 752, 765, 772, 778, 779, 783, 806, 845]",S2LC.tsv,S0421,S0423
english,1,38,"[0, 14, 16, 18, 67, 69, 71, 87, 248, 277, 384, 392, 396]","[38, 264, 282, 317, 367, 397, 645]",S2LC.tsv,S0421,S0423
be able to,3,44,"[0, 65]","[44, 502, 587]",S2LC.tsv,S0421,S0423
cos,1,58,"[0, 14, 22, 34, 36, 71, 75, 89, 95, 126, 146, 279, 296, 344, 370, 378, 402, 489, 538, 698, 833, 836, 838]","[58, 153, 155, 157, 171, 173, 193, 224, 282, 447, 474, 476, 480, 537, 542, 550, 562, 632, 637, 649, 731, 759, 761, 762, 766, 778, 845, 135, 179]",S2LC.tsv,S0421,S0423
to do,2,66,"[0, 8, 18, 32, 69]",[66],S2LC.tsv,S0421,S0423
like i,2,111,"[0, 18, 20, 59, 67, 75, 77, 87, 128, 346, 366, 450, 452, 530, 536, 571]",[111],S2LC.tsv,S0421,S0423
might be,2,131,"[0, 8]","[131, 179]",S2LC.tsv,S0421,S0423
cos i,2,135,"[0, 34, 71, 95, 344, 698]","[135, 179, 778]",S2LC.tsv,S0421,S0423
language,1,305,"[0, 14, 318]",[305],S2LC.tsv,S0421,S0423
but i,2,397,"[0, 18, 32, 67, 89, 346, 402, 410, 828]","[397, 537, 603, 748, 768]",S2LC.tsv,S0421,S0423
might,1,766,"[0, 8, 61, 67, 398, 402, 406, 730]",[766],S2LC.tsv,S0421,S0423
i feel like,3,779,"[0, 2, 14, 89, 150, 536]",[779],S2LC.tsv,S0421,S0423
could,1,35,"[2, 6, 8, 32, 34, 47, 67, 140, 180, 346, 370, 412, 441, 464, 495, 499, 547, 559, 644, 676]","[35, 139, 343, 550, 649, 651, 653, 440]",S2LC.tsv,S0421,S0423
probably,1,60,"[2, 6, 12, 55, 59, 61, 67, 194, 242, 304, 336, 338, 483, 718]","[60, 125, 155, 171, 181, 183, 185, 245, 449, 463, 482, 500, 504, 517, 546, 583, 612, 622, 649, 689, 719, 766]",S2LC.tsv,S0421,S0423
i don't,2,80,"[2, 18, 20, 32, 55, 65, 75, 77, 83, 87, 89, 238, 338, 366, 388, 402, 410, 415, 452, 477, 479, 530, 536, 571, 586, 594, 615, 656, 816]","[80, 109, 157, 193, 317, 341, 375, 429, 550, 580, 595, 622, 649, 731, 793, 831]",S2LC.tsv,S0421,S0423
i don't i,3,109,[2],"[109, 193]",S2LC.tsv,S0421,S0423
need,1,397,"[2, 128, 150, 402, 410]","[397, 403, 540, 562, 564]",S2LC.tsv,S0421,S0423
for it,2,416,"[2, 75, 302]","[416, 537, 687]",S2LC.tsv,S0421,S0423
i could,2,440,"[2, 6, 8, 32, 34, 346, 412]",[440],S2LC.tsv,S0421,S0423
it i,2,447,"[2, 384]","[447, 731]",S2LC.tsv,S0421,S0423
maybe,1,542,"[2, 22, 30, 32, 154, 242, 244, 344, 489, 684, 724, 726]","[542, 593, 685, 727, 815]",S2LC.tsv,S0421,S0423
good,1,15,"[6, 8, 10, 69, 120, 316, 318, 320, 322, 326, 344, 346, 350, 386, 402, 408, 410, 417, 460, 507, 539, 664, 668]","[15, 49, 62, 542, 618, 624, 663, 729, 750]",S2LC.tsv,S0421,S0423
book,1,49,"[6, 14, 34, 59, 63, 65, 75, 77, 87, 95, 122, 128, 150]","[49, 141, 94]",S2LC.tsv,S0421,S0423
a good,2,62,"[6, 10, 69, 346, 386, 410, 460]",[62],S2LC.tsv,S0421,S0423
the book,2,94,"[6, 95, 150]",[94],S2LC.tsv,S0421,S0423
read,1,96,"[6, 14, 34, 75, 77, 85, 87, 89, 95, 110, 122, 128, 130, 144, 146, 148, 320]","[96, 111, 135, 141, 143]",S2LC.tsv,S0421,S0423
get,1,125,"[6, 8, 43, 77, 83, 130, 350, 370, 386, 388, 396, 398, 426, 466, 481, 485, 493, 543, 656, 692, 694, 809, 828, 832, 840]","[125, 181, 183, 191, 208, 311, 327, 482, 490, 502, 542, 597, 685, 778, 745, 753, 774, 797]",S2LC.tsv,S0421,S0423
probably just,2,500,[6],"[500, 504]",S2LC.tsv,S0421,S0423
and get,2,745,[6],"[745, 774]",S2LC.tsv,S0421,S0423
get a,2,753,"[6, 386, 426, 656]","[753, 797]",S2LC.tsv,S0421,S0423
kind of,2,15,"[8, 16, 26, 67, 75, 91, 95, 146, 150, 246, 296, 302, 553]","[15, 125, 141, 239, 305, 562, 578, 705, 731, 743, 841, 111, 515]",S2LC.tsv,S0421,S0423
i mean,2,50,"[8, 61, 65, 95, 134, 146, 304, 308, 505, 511, 520, 551, 577, 700, 724]","[50, 111, 157, 419, 431, 542, 597]",S2LC.tsv,S0421,S0423
mean,1,58,"[8, 61, 65, 95, 126, 134, 146, 304, 308, 430, 505, 511, 514, 520, 551, 577, 700, 724]","[58, 235, 315, 661, 729, 731, 845, 823, 111, 157, 419, 431, 542, 597]",S2LC.tsv,S0421,S0423
know,1,58,"[8, 18, 20, 32, 61, 69, 77, 83, 89, 93, 95, 130, 134, 146, 148, 150, 238, 254, 298, 300, 324, 338, 366, 382, 388, 402, 410, 412, 415, 452, 456, 471, 497, 530, 536, 571, 615, 666, 674, 724, 728, 836, 844]","[58, 80, 109, 113, 157, 193, 280, 293, 319, 401, 429, 562, 637, 649, 793, 125, 230, 237, 305, 369, 403, 533, 542, 544, 558, 651, 723, 757, 759]",S2LC.tsv,S0421,S0423
quite,1,84,"[8, 18, 22, 26, 32, 75, 83, 93, 95, 120, 124, 132, 144, 146, 148, 215, 217, 350, 402, 408, 417]","[84, 447, 480, 843, 139, 431]",S2LC.tsv,S0421,S0423
i've,1,96,"[8, 75, 122, 128, 144, 146, 328, 426, 700]","[96, 171, 228, 537, 542, 544, 657, 721, 731, 761, 764]",S2LC.tsv,S0421,S0423
like a,2,100,"[8, 69, 75, 132, 144, 146, 172, 350, 378, 380, 382, 398, 410, 481]","[100, 552, 772]",S2LC.tsv,S0421,S0423
you know,2,109,"[8, 61, 93, 130, 134, 146, 150, 254, 298, 300, 382, 666, 674, 724, 836]","[109, 125, 230, 237, 305, 369, 403, 533, 542, 544, 558, 649, 651, 723, 757, 759]",S2LC.tsv,S0421,S0423
but like i i,4,111,[8],[111],S2LC.tsv,S0421,S0423
that's kind of,3,111,[8],[111],S2LC.tsv,S0421,S0423
write,1,119,"[8, 81, 91, 146, 292, 700]",[119],S2LC.tsv,S0421,S0423
that's,1,125,"[8, 32, 43, 150, 172, 217, 296, 388, 426, 441, 670, 678, 680, 700, 702, 786]","[125, 163, 171, 173, 236, 280, 305, 419, 431, 558, 750, 753, 761, 787, 813, 825, 189]",S2LC.tsv,S0421,S0423
like that,2,131,"[8, 24, 302, 338, 507, 511, 700]","[131, 216, 228, 280, 361, 544, 731]",S2LC.tsv,S0421,S0423
something,1,131,"[8, 12, 16, 32, 136, 242, 290, 344, 358, 380, 437, 450, 656, 726, 730]","[131, 137, 153, 185, 189, 280, 411, 502, 587, 599, 649, 683]",S2LC.tsv,S0421,S0423
be quite,2,139,"[8, 146]","[139, 431]",S2LC.tsv,S0421,S0423
erm be,2,141,[8],[141],S2LC.tsv,S0421,S0423
the first,2,159,"[8, 294, 569]",[159],S2LC.tsv,S0421,S0423
but erm,2,179,"[8, 380]",[179],S2LC.tsv,S0421,S0423
that that's,2,189,"[8, 150, 700]",[189],S2LC.tsv,S0421,S0423
alright,1,189,"[8, 14]","[189, 766]",S2LC.tsv,S0421,S0423
do that,2,197,"[8, 18, 547, 571, 581, 769]","[197, 315, 486, 515, 533, 542]",S2LC.tsv,S0421,S0423
for the,2,230,"[8, 69, 406, 408]","[230, 768]",S2LC.tsv,S0421,S0423
do like,2,305,"[8, 18, 20, 59, 511]",[305],S2LC.tsv,S0421,S0423
fun,1,317,"[8, 318, 344]",[317],S2LC.tsv,S0421,S0423
home,1,461,"[8, 462]",[461],S2LC.tsv,S0421,S0423
