Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
my,1,7,"[0, 7, 12, 53, 135, 160, 185, 252, 320, 371, 400, 423, 496, 507, 595, 621, 680, 730, 731, 775]",SAAB.tsv
of,1,7,"[0, 7, 31, 47, 48, 54, 60, 63, 101, 102, 104, 112, 115, 119, 125, 129, 140, 155, 157, 160, 162, 179, 187, 221, 246, 263, 301, 312, 317, 320, 322, 324, 361, 364, 371, 384, 403, 407, 409, 412, 418, 433, 451, 455, 457, 462, 472, 479, 490, 496, 499, 505, 506, 509, 520, 533, 542, 555, 558, 559, 569, 571, 572, 583, 595, 672, 678, 682, 686, 689, 691, 694, 703, 705, 711, 733, 740, 751, 755, 756, 759, 765, 766, 768, 771, 773, 775, 779, 781]",SAAB.tsv
out,1,510,"[0, 43, 112, 510, 565, 571, 664, 665, 668]",SAAB.tsv
dad,1,87,"[2, 14, 32, 87, 88, 89, 91, 114, 127, 128, 129, 130, 160, 185, 252, 359, 426, 685]",SAAB.tsv
thank,1,310,"[2, 6, 310, 375, 395]",SAAB.tsv
you,1,36,"[6, 32, 36, 51, 59, 60, 71, 81, 90, 112, 115, 149, 166, 183, 189, 195, 196, 219, 221, 228, 232, 233, 247, 258, 260, 263, 290, 293, 296, 303, 309, 317, 320, 322, 324, 326, 334, 341, 345, 358, 373, 375, 393, 394, 395, 400, 402, 407, 409, 418, 420, 423, 446, 447, 462, 470, 480, 482, 483, 491, 501, 505, 510, 511, 520, 531, 532, 536, 553, 554, 555, 557, 559, 562, 565, 571, 579, 615, 620, 623, 632, 634, 643, 657, 673, 678, 680, 691, 695, 698, 699, 700, 728, 729, 731, 732, 740, 745, 755, 759, 779]",SAAB.tsv
mm,1,15,"[8, 10, 15, 17, 19, 30, 32, 37, 39, 48, 52, 57, 65, 69, 84, 86, 98, 105, 107, 116, 118, 127, 128, 131, 133, 134, 136, 144, 146, 155, 156, 158, 165, 169, 191, 199, 202, 210, 216, 234, 235, 241, 242, 253, 259, 284, 289, 294, 297, 304, 318, 321, 323, 325, 327, 339, 343, 362, 385, 388, 397, 404, 406, 408, 410, 415, 421, 422, 424, 428, 429, 431, 434, 436, 439, 445, 448, 452, 454, 474, 476, 480, 481, 489, 504, 506, 525, 534, 545, 553, 561, 566, 568, 580, 581, 589, 592, 633, 635, 643, 648, 656, 659, 663, 667, 679, 687, 696]",SAAB.tsv
the,1,18,"[7, 18, 21, 22, 23, 24, 25, 26, 27, 28, 48, 51, 54, 58, 60, 63, 83, 84, 94, 101, 102, 112, 132, 143, 167, 179, 183, 186, 189, 192, 200, 228, 233, 237, 239, 246, 263, 268, 287, 296, 310, 312, 317, 324, 334, 337, 341, 360, 361, 365, 367, 370, 373, 379, 382, 386, 387, 390, 392, 393, 399, 402, 407, 409, 432, 433, 437, 440, 444, 446, 455, 457, 460, 470, 472, 480, 487, 488, 490, 491, 492, 496, 501, 503, 505, 507, 510, 530, 536, 540, 542, 543, 544, 545, 546, 552, 554, 556, 557, 558, 564, 565, 567, 569, 571, 573, 582, 592, 593, 596, 602, 604, 605, 609, 611, 618, 629, 632, 636, 638, 640, 645, 647, 657, 670, 676, 678, 680, 682, 686, 689, 691, 703, 705, 713, 717, 719, 721, 722, 724, 725, 726, 731, 733, 740, 742, 751, 756, 762, 770]",SAAB.tsv
i,1,18,"[12, 18, 26, 28, 47, 66, 75, 82, 92, 96, 109, 110, 114, 124, 129, 139, 154, 155, 160, 173, 175, 178, 179, 183, 184, 186, 188, 193, 211, 212, 215, 216, 218, 219, 222, 232, 238, 246, 250, 252, 263, 265, 266, 267, 273, 287, 290, 293, 296, 303, 304, 317, 320, 324, 326, 328, 329, 333, 334, 338, 340, 358, 369, 371, 379, 384, 400, 405, 420, 425, 427, 430, 432, 433, 437, 451, 463, 471, 473, 484, 507, 526, 530, 540, 543, 544, 554, 558, 559, 568, 569, 570, 571, 576, 577, 579, 614, 618, 626, 630, 632, 656, 658, 661, 670, 672, 680, 683, 685, 686, 691, 693, 701, 708, 713, 714, 715, 716, 721, 728, 730, 732, 733, 737, 746, 750, 768, 775]",SAAB.tsv
be,1,18,"[11, 16, 18, 31, 40, 47, 48, 51, 54, 55, 58, 59, 63, 66, 68, 74, 81, 82, 87, 89, 91, 94, 112, 120, 126, 130, 137, 146, 153, 157, 168, 173, 175, 179, 183, 186, 190, 191, 193, 196, 208, 213, 215, 219, 222, 225, 226, 233, 238, 245, 246, 249, 251, 252, 260, 265, 266, 267, 268, 270, 273, 283, 287, 293, 296, 298, 306, 312, 313, 314, 317, 320, 324, 330, 344, 356, 368, 371, 373, 376, 379, 382, 384, 393, 399, 407, 409, 412, 416, 418, 420, 432, 433, 437, 438, 440, 441, 442, 444, 446, 447, 451, 455, 460, 468, 469, 470, 471, 472, 473, 479, 480, 482, 483, 484, 486, 487, 488, 491, 494, 495, 497, 501, 502, 505, 507, 508, 509, 510, 511, 512, 518, 520, 521, 526, 527, 530, 533, 536, 539, 540, 544, 545, 546, 547, 548, 558, 559, 565, 568, 569, 571, 572, 579, 598, 600, 602, 604, 609, 617, 621, 624, 625, 626, 632, 646, 649, 652, 661, 666, 670, 672, 673, 676, 678, 680, 682, 684, 685, 686, 690, 691, 694, 699, 700, 701, 703, 705, 706, 721, 724, 733, 745, 749, 751, 757, 759, 765, 772, 775, 776, 779, 780]",SAAB.tsv
