Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
and do,2,9,"[0, 65, 148, 578]","[9, 137, 175, 383, 577, 489]",SJTT.tsv,S0018,S0033
last,1,9,"[0, 312, 542, 590]","[9, 303, 409, 419, 498, 547]",SJTT.tsv,S0018,S0033
i come,2,11,[0],[11],SJTT.tsv,S0018,S0033
it be,2,11,"[0, 152, 306, 312, 344, 348, 456, 590]","[11, 88, 90, 110, 153, 166, 179, 255, 257, 329, 331, 359, 367, 438, 440, 441, 447, 464, 470, 508, 587, 137]",SJTT.tsv,S0018,S0033
cos,1,13,"[0, 140, 242, 260, 586]","[13, 21, 27, 135, 139, 143, 173, 211, 313, 315, 361, 371, 375, 415, 419, 432, 472, 508, 595, 162, 522]",SJTT.tsv,S0018,S0033
here and,2,21,[0],"[21, 51, 59, 222, 326, 449]",SJTT.tsv,S0018,S0033
come,1,21,"[0, 204, 306, 328, 344, 456]","[21, 231, 331, 361]",SJTT.tsv,S0018,S0033
of people,2,43,[0],[43],SJTT.tsv,S0018,S0033
it's a,2,59,"[0, 4, 571]","[59, 233, 282, 294, 323, 324, 415, 432]",SJTT.tsv,S0018,S0033
do a,2,94,[0],"[94, 379, 417, 453]",SJTT.tsv,S0018,S0033
week,1,106,"[0, 312, 539, 590]","[106, 114, 137, 171, 296, 309, 369, 371, 445, 447, 538, 543]",SJTT.tsv,S0018,S0033
beautiful,1,135,[0],"[135, 251]",SJTT.tsv,S0018,S0033
and we be,3,137,[0],"[137, 222]",SJTT.tsv,S0018,S0033
it be beautiful,3,137,[0],[137],SJTT.tsv,S0018,S0033
week i,2,137,[0],[137],SJTT.tsv,S0018,S0033
we be,2,143,[0],"[143, 526]",SJTT.tsv,S0018,S0033
cos it,2,162,[0],"[162, 522]",SJTT.tsv,S0018,S0033
be beautiful,2,162,[0],"[162, 263]",SJTT.tsv,S0018,S0033
a couple of,3,171,[0],"[171, 245, 395, 449, 534, 570]",SJTT.tsv,S0018,S0033
and we,2,222,"[0, 214]","[222, 357, 464]",SJTT.tsv,S0018,S0033
people,1,237,"[0, 287, 316, 344]","[237, 290, 341, 349, 379, 455, 482]",SJTT.tsv,S0018,S0033
in erm,2,247,[0],[247],SJTT.tsv,S0018,S0033
couple,1,247,"[0, 308]",[247],SJTT.tsv,S0018,S0033
couple of,2,401,"[0, 308]","[401, 440, 449, 534, 570]",SJTT.tsv,S0018,S0033
outside,1,447,[0],"[447, 587]",SJTT.tsv,S0018,S0033
and do a,3,489,[0],[489],SJTT.tsv,S0018,S0033
be outside,2,587,[0],[587],SJTT.tsv,S0018,S0033
weather,1,589,"[0, 6]",[589],SJTT.tsv,S0018,S0033
a bite,2,21,[4],"[21, 90, 94, 135, 203, 331, 397, 466, 497, 543]",SJTT.tsv,S0018,S0033
bite,1,21,[4],"[21, 541, 551]",SJTT.tsv,S0018,S0033
get,1,6,"[6, 32, 71, 85, 95, 122, 159, 258, 281, 287, 308, 328, 332, 338, 346, 437, 452, 492, 509, 537, 544, 552, 561, 571, 580, 586, 590, 592, 598]","[1, 41, 45, 47, 96, 98, 112, 115, 119, 121, 135, 145, 149, 156, 158, 168, 171, 175, 195, 197, 222, 226, 229, 231, 276, 288, 305, 311, 319, 324, 327, 355, 375, 379, 385, 387, 393, 401, 423, 425, 427, 434, 436, 441, 449, 453, 474, 482, 534, 540, 541, 551, 554, 560, 566, 595, 603]",SJTT.tsv,S0018,S0033
