Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
really busy,2,1,[0],[1],SMF3.tsv,S0013,S0012
busy,1,1,[0],[1],SMF3.tsv,S0013,S0012
have you,2,27,"[0, 764]","[27, 463]",SMF3.tsv,S0013,S0012
you be,2,373,"[0, 2, 171, 270, 535, 655, 659]","[373, 857]",SMF3.tsv,S0013,S0012
really,1,455,"[0, 12, 32, 38, 46, 130, 161, 205, 211, 213, 303, 305, 450, 507, 615, 633, 659, 661, 829]","[455, 467, 498, 614, 648]",SMF3.tsv,S0013,S0012
up to,2,125,[2],"[125, 638]",SMF3.tsv,S0013,S0012
what've,1,226,[2],[226],SMF3.tsv,S0013,S0012
be up to,3,546,[2],[546],SMF3.tsv,S0013,S0012
be up,2,841,[2],[841],SMF3.tsv,S0013,S0012
yeah,1,7,"[4, 16, 24, 26, 28, 40, 48, 54, 63, 71, 76, 78, 92, 96, 112, 161, 167, 181, 185, 203, 217, 237, 245, 247, 257, 261, 263, 276, 280, 288, 290, 300, 322, 343, 351, 353, 358, 366, 370, 374, 378, 394, 400, 410, 417, 429, 452, 460, 462, 474, 487, 501, 505, 509, 511, 557, 562, 588, 611, 615, 619, 631, 633, 639, 647, 653, 661, 665, 673, 682, 704, 706, 710, 712, 714, 784, 792, 816, 822, 832, 844, 854, 856, 858, 860, 872, 882, 884, 888, 893, 895, 897, 909, 913, 917, 921]","[7, 9, 21, 29, 33, 39, 55, 60, 85, 93, 101, 107, 115, 125, 135, 139, 164, 192, 200, 202, 230, 232, 236, 238, 252, 275, 302, 304, 346, 361, 365, 380, 382, 401, 403, 411, 424, 432, 436, 457, 461, 473, 479, 481, 484, 488, 493, 495, 498, 502, 587, 598, 612, 614, 620, 622, 626, 630, 634, 640, 642, 650, 656, 660, 670, 672, 687, 701, 717, 738, 740, 747, 751, 755, 757, 761, 775, 777, 805, 855, 863, 865, 871, 912, 914, 924, 176, 277, 773]",SMF3.tsv,S0013,S0012
oh yeah,2,176,"[4, 417]","[176, 230, 277, 495, 773]",SMF3.tsv,S0013,S0012
have to,2,6,"[6, 92, 140, 417, 421, 456, 485, 494, 515, 559, 641, 655, 659, 671, 718, 752, 756, 772, 803, 804, 858, 876, 880]","[3, 27, 72, 97, 131, 208, 214, 246, 357, 371, 399, 420, 486, 536, 610, 614, 630, 632, 638, 644, 674, 723, 799, 823, 831, 843, 859, 877, 883, 885, 9, 461]",SMF3.tsv,S0013,S0012
have to clean them,4,9,[6],[9],SMF3.tsv,S0013,S0012
to clean them,3,13,[6],[13],SMF3.tsv,S0013,S0012
