Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
know,1,4,"[0, 6, 14]","[4, 13, 15, 40]",S6TR.tsv,S0202,S0218
do you,2,51,"[0, 14, 66]",[51],S6TR.tsv,S0202,S0218
nice,1,60,"[0, 2, 52, 55]",[60],S6TR.tsv,S0202,S0218
though,1,63,"[0, 28]",[63],S6TR.tsv,S0202,S0218
live,1,38,[2],[38],S6TR.tsv,S0202,S0218
iphone,1,9,[3],"[9, 29]",S6TR.tsv,S0202,S0218
like,1,47,"[3, 6, 61, 76, 82]","[47, 51, 60, 77, 81]",S6TR.tsv,S0202,S0218
get,1,49,"[3, 26]","[49, 51, 60]",S6TR.tsv,S0202,S0218
go,1,51,"[3, 34, 57]","[51, 60, 81]",S6TR.tsv,S0202,S0218
go to,2,60,[3],[60],S6TR.tsv,S0202,S0218
yeah,1,5,"[5, 6, 12, 26, 28, 30, 32, 50]","[1, 31, 47, 58, 69, 73]",S6TR.tsv,S0202,S0218
i don't know,3,13,[6],"[13, 15, 40]",S6TR.tsv,S0202,S0218
gonna,1,71,[6],[71],S6TR.tsv,S0202,S0218
as long as,3,8,[8],[7],S6TR.tsv,S0202,S0218
long,1,71,[8],[71],S6TR.tsv,S0202,S0218
sim,1,10,"[10, 22, 34]","[9, 19]",S6TR.tsv,S0202,S0218
a micro,2,21,[10],[21],S6TR.tsv,S0202,S0218
phone,1,12,"[12, 18]","[9, 51]",S6TR.tsv,S0202,S0218
i think,2,16,"[16, 62]","[11, 71]",S6TR.tsv,S0202,S0218
dad,1,51,[16],[51],S6TR.tsv,S0202,S0218
cos it's,2,29,[18],[29],S6TR.tsv,S0202,S0218
out of,2,51,[18],[51],S6TR.tsv,S0202,S0218
it for,2,51,[18],[51],S6TR.tsv,S0202,S0218
cos,1,60,"[18, 74]",[60],S6TR.tsv,S0202,S0218
if you,2,81,[18],[81],S6TR.tsv,S0202,S0218
mini,1,22,[22],[21],S6TR.tsv,S0202,S0218
three,1,27,"[22, 26]",[27],S6TR.tsv,S0202,S0218
no it's,2,38,[22],[38],S6TR.tsv,S0202,S0218
well,1,47,"[22, 46]","[47, 60]",S6TR.tsv,S0202,S0218
micro,1,24,[24],[21],S6TR.tsv,S0202,S0218
one,1,29,"[24, 34]",[29],S6TR.tsv,S0202,S0218
that be,2,47,[24],[47],S6TR.tsv,S0202,S0218
and then,2,60,[24],[60],S6TR.tsv,S0202,S0218
five,1,29,[26],[29],S6TR.tsv,S0202,S0218
i've get a,3,51,[26],[51],S6TR.tsv,S0202,S0218
fuck,1,77,"[26, 52, 62, 74, 76, 78]",[77],S6TR.tsv,S0202,S0218
size,1,28,"[28, 36]","[19, 27, 29]",S6TR.tsv,S0202,S0218
right,1,28,"[28, 39, 62, 68, 84]","[23, 25]",S6TR.tsv,S0202,S0218
four,1,60,[28],[60],S6TR.tsv,S0202,S0218
fine,1,32,[32],[7],S6TR.tsv,S0202,S0218
be fine,2,60,[32],[60],S6TR.tsv,S0202,S0218
a new,2,34,[34],[29],S6TR.tsv,S0202,S0218
have to,2,60,[34],[60],S6TR.tsv,S0202,S0218
not all,2,69,[34],[69],S6TR.tsv,S0202,S0218
different size,2,36,[36],"[27, 29]",S6TR.tsv,S0202,S0218
way,1,60,[39],[60],S6TR.tsv,S0202,S0218
itv,1,42,[41],[42],S6TR.tsv,S0202,S0218
day,1,47,[43],[47],S6TR.tsv,S0202,S0218
your day,2,79,[43],[79],S6TR.tsv,S0202,S0218
they play well,3,47,[46],[47],S6TR.tsv,S0202,S0218
have a,2,48,[48],"[29, 49]",S6TR.tsv,S0202,S0218
come,1,58,[48],[58],S6TR.tsv,S0202,S0218
okay,1,54,"[54, 85]","[17, 19, 29, 35, 83]",S6TR.tsv,S0202,S0218
piss,1,61,[61],[60],S6TR.tsv,S0202,S0218
not like,2,77,[61],[77],S6TR.tsv,S0202,S0218
someone,1,62,[62],[51],S6TR.tsv,S0202,S0218
the way,2,62,[62],[60],S6TR.tsv,S0202,S0218
everyone,1,64,[64],[60],S6TR.tsv,S0202,S0218
everyone be,2,64,[64],[63],S6TR.tsv,S0202,S0218
lose,1,66,[66],"[63, 65, 67]",S6TR.tsv,S0202,S0218
all of,2,69,[68],[69],S6TR.tsv,S0202,S0218
of leeds,2,69,[68],[69],S6TR.tsv,S0202,S0218
in the,2,70,[70],"[51, 60]",S6TR.tsv,S0202,S0218
hour,1,72,[72],"[47, 60]",S6TR.tsv,S0202,S0218
a lot of,3,72,[72],[69],S6TR.tsv,S0202,S0218
a lot,2,72,[72],[71],S6TR.tsv,S0202,S0218
stop,1,76,"[76, 80]",[60],S6TR.tsv,S0202,S0218
like this,2,82,[82],[77],S6TR.tsv,S0202,S0218
probably,1,86,[86],[4],S6TR.tsv,S0202,S0218
