Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
hello,1,631,[0],"[631, 823]",S9GP.tsv,S0326,S0327
walk,1,4,[3],"[4, 581, 691]",S9GP.tsv,S0326,S0327
i get,2,24,"[3, 580, 670, 853]","[24, 216, 264, 573, 923]",S9GP.tsv,S0326,S0327
get,1,26,"[3, 55, 104, 125, 179, 203, 223, 225, 254, 256, 319, 389, 512, 531, 580, 642, 657, 670, 698, 753, 793, 853, 943, 944, 952]","[26, 69, 81, 85, 89, 107, 116, 150, 162, 168, 220, 242, 253, 255, 260, 265, 279, 281, 301, 307, 326, 336, 361, 370, 392, 416, 432, 448, 469, 485, 489, 491, 554, 567, 612, 634, 641, 651, 658, 662, 664, 665, 667, 679, 689, 703, 750, 800, 813, 817, 825, 834, 837, 839, 841, 872, 901, 914, 925, 945, 953, 216, 264, 267, 404, 414, 573, 923]",S9GP.tsv,S0326,S0327
yeah,1,52,"[3, 5, 16, 18, 20, 37, 53, 60, 66, 68, 70, 74, 78, 80, 82, 86, 90, 96, 100, 102, 106, 109, 123, 131, 133, 135, 137, 141, 143, 161, 169, 181, 183, 195, 197, 199, 215, 217, 223, 225, 231, 235, 237, 252, 261, 263, 268, 270, 273, 276, 278, 286, 298, 300, 306, 321, 325, 331, 346, 360, 373, 377, 385, 393, 397, 399, 403, 407, 417, 421, 433, 435, 437, 451, 459, 468, 470, 482, 486, 488, 494, 514, 524, 547, 562, 570, 574, 578, 584, 588, 592, 595, 597, 603, 609, 621, 623, 646, 648, 650, 652, 654, 668, 682, 688, 696, 702, 717, 741, 747, 751, 759, 761, 765, 767, 769, 771, 785, 787, 789, 791, 793, 799, 801, 808, 812, 814, 818, 824, 840, 849, 856, 858, 860, 862, 864, 867, 871, 873, 881, 883, 886, 888, 890, 892, 898, 903, 905, 908, 910, 922, 924, 927, 931, 936, 941, 943, 954, 958]","[52, 91, 178, 501, 546, 552, 565, 796, 845, 945, 406, 493, 766, 897]",S9GP.tsv,S0326,S0327
cos i,2,69,"[3, 383, 385, 464, 894]","[69, 382, 839, 923, 953]",S9GP.tsv,S0326,S0327
cos,1,81,"[3, 88, 90, 94, 270, 310, 342, 383, 385, 430, 464, 551, 597, 599, 605, 678, 732, 773, 793, 816, 877, 894, 916, 918]","[81, 220, 249, 320, 409, 414, 477, 536, 632, 689, 786, 807, 839, 845, 913, 382, 923, 953]",S9GP.tsv,S0326,S0327
i just,2,200,"[3, 58, 125, 358, 383, 732, 793]","[200, 318, 370, 392, 591, 823, 942]",S9GP.tsv,S0326,S0327
get to,2,267,[3],"[267, 404, 414, 914]",S9GP.tsv,S0326,S0327
alright,1,295,"[3, 13, 39, 151, 369, 419, 441, 948]","[295, 345, 368, 632, 716]",S9GP.tsv,S0326,S0327
then i,2,378,[3],"[378, 618, 934]",S9GP.tsv,S0326,S0327
yeah i,2,406,"[3, 74, 106, 161, 270, 331, 393, 421, 459, 578, 584, 623, 646, 668, 696, 747, 771, 793, 801, 858, 927, 936, 943]","[406, 493, 766, 897]",S9GP.tsv,S0326,S0327
cos i get,3,923,[3],[923],S9GP.tsv,S0326,S0327
half,1,15,"[7, 611, 871]","[15, 422, 612, 906, 632]",S9GP.tsv,S0326,S0327
hour,1,218,"[7, 875]","[218, 826]",S9GP.tsv,S0326,S0327
about half,2,632,[7],[632],S9GP.tsv,S0326,S0327
an hour,2,878,"[7, 875]",[878],S9GP.tsv,S0326,S0327
water,1,10,"[9, 642, 644, 944]","[10, 12, 949]",S9GP.tsv,S0326,S0327
i'll,1,26,"[9, 11, 30, 66, 111, 644, 648]","[26, 57, 274, 281, 301, 324, 359, 368, 392, 422, 841, 438]",S9GP.tsv,S0326,S0327
erm i'll,2,438,"[9, 30, 111]",[438],S9GP.tsv,S0326,S0327
just have,2,631,"[9, 58]",[631],S9GP.tsv,S0326,S0327
