Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
think,1,1,"[0, 1, 5, 7, 11, 13, 23, 26, 28, 37, 40, 47, 49, 53, 57, 59, 65, 76, 81, 83, 84, 85, 102, 103, 125, 151, 160, 166]",S8Q3.tsv
religion,1,92,"[0, 2, 92, 98, 121, 123, 182]",S8Q3.tsv
you think,2,160,"[0, 125, 151, 160]",S8Q3.tsv
kind of,2,11,"[4, 11, 23, 107, 112, 114, 150, 154, 160, 166, 177, 183]",S8Q3.tsv
even,1,11,"[4, 11, 13, 57]",S8Q3.tsv
like,1,11,"[4, 11, 13, 16, 23, 30, 53, 61, 63, 65, 79, 81, 84, 85, 106, 143, 163]",S8Q3.tsv
go,1,11,"[4, 11, 45, 47, 73, 85, 114, 132]",S8Q3.tsv
there's,1,37,"[4, 6, 37, 58, 78, 79, 81]",S8Q3.tsv
go to,2,45,"[4, 45, 47, 85]",S8Q3.tsv
thing,1,61,"[4, 61, 78, 79, 81, 106, 121, 122, 135, 183]",S8Q3.tsv
even though there's,3,81,"[4, 81]",S8Q3.tsv
though,1,111,"[4, 111, 123]",S8Q3.tsv
a good,2,12,"[5, 7, 12, 13, 23]",S8Q3.tsv
that's,1,12,"[7, 12, 53, 66, 78, 79, 112, 119, 166, 183]",S8Q3.tsv
good,1,12,"[7, 12, 13, 23, 116, 182]",S8Q3.tsv
say,1,23,"[12, 20, 22, 23, 40, 56, 57, 61, 69, 78, 79, 80, 100, 117, 119, 121, 124, 136, 138, 139]",S8Q3.tsv
say that,2,61,"[12, 22, 56, 61, 80, 117, 124]",S8Q3.tsv
to and,2,81,"[12, 81]",S8Q3.tsv
know,1,21,"[14, 20, 21, 24, 26, 32, 53, 56, 57, 63, 81, 85, 89, 100, 102, 106, 118, 125, 126, 136, 139, 152, 154, 163, 169, 173, 183]",S8Q3.tsv
be a,2,40,"[14, 32, 40, 41, 53, 57, 65, 76, 79, 81, 85]",S8Q3.tsv
know what,2,53,"[14, 53, 63, 89]",S8Q3.tsv
you know,2,106,"[14, 20, 106, 125, 139, 169, 173, 183]",S8Q3.tsv
great,1,160,"[14, 160]",S8Q3.tsv
nuns,1,16,"[11, 13, 16, 22, 23]",S8Q3.tsv
well,1,20,"[5, 19, 20, 79, 112, 123, 126, 133, 165, 166, 177]",S8Q3.tsv
people,1,20,"[11, 20, 21, 27, 40, 42, 45, 57, 58, 65, 78, 79, 81, 85, 163, 166, 167, 183]",S8Q3.tsv
know what's best for other people,6,21,"[20, 21]",S8Q3.tsv
other people,2,21,"[20, 21, 166, 167, 183]",S8Q3.tsv
cos,1,27,"[20, 27, 53, 61, 104, 113, 162]",S8Q3.tsv
say the same,3,79,"[20, 79]",S8Q3.tsv
the same,2,79,"[20, 64, 78, 79, 81, 121, 122, 135]",S8Q3.tsv
be say,2,79,"[20, 79, 119]",S8Q3.tsv
in a way,3,95,"[20, 95, 98]",S8Q3.tsv
you should,2,109,"[20, 109]",S8Q3.tsv
yeah,1,22,"[3, 19, 22, 64, 65, 78, 108, 112, 116, 118, 133, 136, 137, 139, 144, 146, 147, 148, 155, 156, 159, 160, 163, 165, 179, 184]",S8Q3.tsv
have a,2,22,"[5, 7, 13, 22, 23, 106, 118]",S8Q3.tsv
yeah but,2,65,"[22, 64, 65, 118, 147]",S8Q3.tsv
time,1,81,"[22, 81]",S8Q3.tsv
us,1,57,"[24, 57, 58, 63, 84]",S8Q3.tsv
life,1,29,"[11, 23, 29, 98]",S8Q3.tsv
back to life,3,29,"[27, 29, 53, 85]",S8Q3.tsv
back to,2,146,"[29, 146]",S8Q3.tsv
would,1,55,"[31, 55, 61, 63, 76, 83, 84, 85, 118]",S8Q3.tsv
heaven or,2,32,"[13, 32, 78]",S8Q3.tsv
heaven,1,32,"[23, 32, 40, 41, 42, 45, 58, 78]",S8Q3.tsv
or not,2,32,"[26, 32, 139]",S8Q3.tsv
be a heaven,3,40,"[32, 40, 41]",S8Q3.tsv
there be,2,57,"[32, 56, 57, 65, 76, 85, 98, 106, 167]",S8Q3.tsv
we'd,1,61,"[32, 61]",S8Q3.tsv
there be a,3,65,"[32, 65, 76, 85]",S8Q3.tsv
look,1,61,"[36, 61, 94, 109]",S8Q3.tsv
six,1,39,"[38, 39, 63]",S8Q3.tsv
god,1,54,"[11, 23, 53, 54, 55, 56, 57, 64, 65, 76, 78, 79, 81, 82, 85, 127, 129, 132]",S8Q3.tsv
maybe,1,54,"[23, 27, 54, 78, 103, 114]",S8Q3.tsv
he be,2,54,"[53, 54, 81]",S8Q3.tsv
of god,2,54,"[53, 54, 55]",S8Q3.tsv
on the,2,81,"[54, 81]",S8Q3.tsv
anything,1,56,"[9, 11, 45, 56, 85, 125, 171, 173]",S8Q3.tsv
i don't,2,56,"[13, 21, 23, 26, 37, 45, 47, 49, 51, 53, 56, 57, 63, 78, 81, 83, 84, 85, 89, 90, 92, 100, 102, 104, 119, 121, 152, 154]",S8Q3.tsv
don't believe,2,56,"[19, 56, 90, 92, 104, 119, 121]",S8Q3.tsv
i don't know,3,56,"[21, 26, 53, 56, 57, 63, 81, 89, 100, 102, 152, 154]",S8Q3.tsv
believe,1,56,"[42, 45, 56, 58, 78, 86, 87, 88, 89, 90, 92, 95, 98, 104, 106, 111, 112, 119, 121, 139]",S8Q3.tsv
sure,1,56,"[53, 56, 102]",S8Q3.tsv
there be or isn't a god,6,57,"[56, 57]",S8Q3.tsv
