Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
zumba,1,1,"[0, 8, 20]","[1, 23]",SWU3.tsv,S0024,S0144
go to,2,62,"[0, 20, 22]",[62],SWU3.tsv,S0024,S0144
go,1,79,"[0, 2, 8, 20, 22, 31, 123, 147, 181, 205, 250, 272, 294, 302, 308, 328, 356, 380, 418, 458, 468, 476]","[79, 126, 176, 194, 281, 283, 351, 355, 395, 471]",SWU3.tsv,S0024,S0144
if you,2,108,[0],[108],SWU3.tsv,S0024,S0144
want,1,112,"[0, 113, 205, 213, 244, 328, 384]","[112, 118, 397, 403]",SWU3.tsv,S0024,S0144
tomorrow,1,122,"[0, 181, 398]","[122, 184, 190, 421]",SWU3.tsv,S0024,S0144
do i,2,178,"[0, 221, 238]","[178, 427]",SWU3.tsv,S0024,S0144
that i,2,257,[0],[257],SWU3.tsv,S0024,S0144
so if,2,445,[0],[445],SWU3.tsv,S0024,S0144
go to the,3,62,[2],[62],SWU3.tsv,S0024,S0144
to the,2,295,"[2, 161]","[295, 359]",SWU3.tsv,S0024,S0144
need,1,7,"[6, 260]","[7, 9, 15, 421]",SWU3.tsv,S0024,S0144
you need,2,419,[6],[419],SWU3.tsv,S0024,S0144
leave,1,469,"[6, 18, 412, 452, 506]",[469],SWU3.tsv,S0024,S0144
nine,1,479,"[6, 18, 22, 378, 494]","[479, 491]",SWU3.tsv,S0024,S0144
mum,1,122,"[8, 86, 181, 506]",[122],SWU3.tsv,S0024,S0144
think,1,122,"[8, 16, 55, 123, 125, 129, 169, 181, 238, 288, 290, 312, 414]","[122, 144, 172, 174, 186, 391, 461, 148]",SWU3.tsv,S0024,S0144
be think,2,148,[8],[148],SWU3.tsv,S0024,S0144
and then,2,473,"[8, 38, 47, 268, 272]",[473],SWU3.tsv,S0024,S0144
cheque in,2,10,"[10, 12]","[9, 15]",SWU3.tsv,S0024,S0144
pay,1,10,"[10, 12]","[9, 15, 371, 373]",SWU3.tsv,S0024,S0144
can you,2,64,"[10, 12, 346]",[64],SWU3.tsv,S0024,S0144
get,1,16,"[16, 45, 93, 131, 147, 211, 244, 262, 264, 316, 328, 344, 352, 356, 364, 366, 384, 412, 444, 458, 468, 470, 492]","[11, 108, 188, 210, 241, 243, 287, 309, 317, 343, 397, 425, 435, 443, 457, 465, 469, 471, 479, 489, 421, 461, 190]",SWU3.tsv,S0024,S0144
early,1,17,"[16, 18]",[17],SWU3.tsv,S0024,S0144
have to,2,162,"[16, 18, 31, 70, 80]","[162, 230]",SWU3.tsv,S0024,S0144
think but,2,172,[16],[172],SWU3.tsv,S0024,S0144
to get,2,190,"[16, 211, 244, 328, 384]","[190, 421]",SWU3.tsv,S0024,S0144
gonna,1,325,"[16, 20, 78, 135, 183, 185, 298, 422, 478]","[325, 373, 465]",SWU3.tsv,S0024,S0144
we're,1,339,"[16, 22]",[339],SWU3.tsv,S0024,S0144
i can't,2,449,"[16, 211]","[449, 459]",SWU3.tsv,S0024,S0144
get up,2,461,[16],[461],SWU3.tsv,S0024,S0144
well,1,18,"[18, 65, 97, 175, 227, 252, 260, 272, 286, 298, 324, 332, 362, 366, 384, 392, 398, 414, 432, 456, 462]","[7, 9, 25, 29, 102, 104, 106, 108, 112, 174, 176, 194, 218, 220, 255, 275, 279, 283, 295, 299, 317, 331, 343, 347, 349, 359, 365, 369, 375, 381, 433, 439, 465, 512]",SWU3.tsv,S0024,S0144
well i,2,18,"[18, 384]","[9, 25, 317]",SWU3.tsv,S0024,S0144
so i,2,194,[18],[194],SWU3.tsv,S0024,S0144
we have,2,200,"[18, 386]","[200, 202]",SWU3.tsv,S0024,S0144
and i,2,257,[18],"[257, 357]",SWU3.tsv,S0024,S0144
i can,2,445,"[18, 264, 517]",[445],SWU3.tsv,S0024,S0144
town,1,20,"[20, 22]","[7, 15, 419]",SWU3.tsv,S0024,S0144
i'm,1,112,"[20, 185, 262, 462, 478, 507, 522]","[112, 144, 331, 397, 413]",SWU3.tsv,S0024,S0144
come,1,174,"[20, 221, 316, 438]",[174],SWU3.tsv,S0024,S0144
but i'm,2,331,[20],[331],SWU3.tsv,S0024,S0144
like,1,33,"[24, 30, 31, 36, 38, 39, 41, 47, 65, 84, 86, 92, 95, 105, 141, 151, 167, 181, 183, 187, 215, 221, 250, 268, 272, 274, 336, 342, 506, 511, 513, 517, 518]","[33, 142, 150, 170, 176, 178, 188, 222, 228, 241, 243, 255, 259, 261, 265, 275, 287, 313, 331, 371, 519, 202]",SWU3.tsv,S0024,S0144
it's just,2,35,"[24, 28, 34, 155, 211, 215, 233, 244]","[35, 166, 285]",SWU3.tsv,S0024,S0144
you remember,2,64,[24],[64],SWU3.tsv,S0024,S0144
remember,1,158,[24],"[158, 166, 369]",SWU3.tsv,S0024,S0144
use to,2,170,"[24, 268, 356, 517]","[170, 519, 508]",SWU3.tsv,S0024,S0144
have like,2,202,"[24, 272]",[202],SWU3.tsv,S0024,S0144
that you,2,281,"[24, 153]",[281],SWU3.tsv,S0024,S0144
you use to,3,508,[24],[508],SWU3.tsv,S0024,S0144
see,1,62,"[26, 197, 328, 414, 446]","[62, 475, 479]",SWU3.tsv,S0024,S0144
really,1,112,"[28, 34, 86, 123, 147, 195, 205, 221, 272, 294, 356, 374, 400, 412, 420, 430, 506]","[112, 118, 241, 283, 289]",SWU3.tsv,S0024,S0144
to like,2,33,"[31, 517]","[33, 170, 519]",SWU3.tsv,S0024,S0144
different,1,34,"[34, 36, 213, 386]","[29, 33, 170]",SWU3.tsv,S0024,S0144
a lot of,3,108,"[34, 36]",[108],SWU3.tsv,S0024,S0144
it's not really,3,118,[34],[118],SWU3.tsv,S0024,S0144
they do,2,275,"[34, 36]",[275],SWU3.tsv,S0024,S0144
it's not,2,337,"[34, 268, 440, 442]","[337, 395]",SWU3.tsv,S0024,S0144
yeah,1,36,"[36, 49, 53, 55, 63, 67, 105, 109, 117, 145, 157, 169, 175, 177, 189, 191, 193, 207, 211, 219, 242, 244, 248, 250, 258, 276, 280, 284, 296, 332, 350, 356, 370, 372, 374, 382, 414, 422, 426, 444, 466, 517, 518]","[5, 7, 9, 13, 25, 27, 56, 62, 69, 79, 81, 83, 89, 91, 98, 100, 104, 112, 136, 148, 154, 176, 178, 186, 196, 206, 210, 216, 218, 237, 245, 247, 255, 263, 265, 269, 273, 279, 301, 309, 329, 337, 345, 347, 357, 365, 369, 393, 395, 401, 403, 411, 417, 423, 431, 439, 445, 447, 457, 465, 512, 514, 523]",SWU3.tsv,S0024,S0144
um,1,36,"[36, 38, 82, 272, 308, 356, 398, 418, 470]","[7, 108, 128, 150, 158, 180, 184, 190, 309, 349, 369, 508]",SWU3.tsv,S0024,S0144
little,1,62,[36],"[62, 71, 331, 519]",SWU3.tsv,S0024,S0144
of the,2,108,"[36, 97, 155, 163, 270, 308]","[108, 170, 279]",SWU3.tsv,S0024,S0144
move,1,142,"[36, 39]","[142, 170, 319]",SWU3.tsv,S0024,S0144
we've,1,218,"[36, 38, 254]","[218, 381]",SWU3.tsv,S0024,S0144
even,1,73,"[38, 70, 272, 274, 314, 316, 368, 466]","[73, 357, 365]",SWU3.tsv,S0024,S0144
one,1,158,"[38, 195, 282, 344, 350, 392, 492, 504, 506, 507, 518]","[158, 204, 353, 445, 457, 469, 485, 491]",SWU3.tsv,S0024,S0144
do like,2,275,"[38, 221]",[275],SWU3.tsv,S0024,S0144
of them,2,401,[38],[401],SWU3.tsv,S0024,S0144
a few,2,41,[41],[7],SWU3.tsv,S0024,S0144
last,1,158,"[45, 221, 406]","[158, 335]",SWU3.tsv,S0024,S0144
get a,2,190,"[45, 356]","[190, 210, 425, 457, 471, 343]",SWU3.tsv,S0024,S0144
turn,1,204,[45],"[204, 299]",SWU3.tsv,S0024,S0144
we get a,3,343,[45],[343],SWU3.tsv,S0024,S0144
