Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
easter,1,7,"[0, 2, 7, 8, 10, 20, 43, 44, 48]",SP5V.tsv
it be,2,8,"[3, 8, 28, 39, 56, 68, 120, 123]",SP5V.tsv
what a,2,40,"[8, 40]",SP5V.tsv
say,1,40,"[7, 8, 40, 51, 53, 54, 55, 56, 73, 84, 135, 136, 158]",SP5V.tsv
well,1,85,"[8, 20, 39, 78, 85, 86, 98, 120, 123, 129, 136, 138, 139, 161, 162, 191]",SP5V.tsv
bad,1,12,"[10, 12]",SP5V.tsv
i'm,1,17,"[12, 17, 63, 72, 77, 135, 173]",SP5V.tsv
a lot,2,63,"[16, 63, 139, 153]",SP5V.tsv
that's,1,75,"[16, 18, 20, 68, 74, 75, 84, 85, 93, 136, 154, 170, 174, 175]",SP5V.tsv
a lot of,3,126,"[16, 126, 139]",SP5V.tsv
that's a,2,136,"[16, 74, 136, 154, 170, 175]",SP5V.tsv
go to,2,18,"[10, 18, 20, 40, 56, 107, 111, 135, 142]",SP5V.tsv
think,1,18,"[7, 10, 18, 20, 24, 40, 46, 80, 96, 123, 135, 154, 173, 175, 186, 190]",SP5V.tsv
mm i think,3,40,"[18, 40, 173]",SP5V.tsv
much,1,59,"[18, 59, 68, 72]",SP5V.tsv
go,1,122,"[18, 20, 28, 56, 74, 94, 107, 111, 122, 135, 142, 145, 151, 158, 173, 180]",SP5V.tsv
think that,2,20,"[10, 20, 135]",SP5V.tsv
good,1,20,"[10, 20, 49, 69, 154, 194]",SP5V.tsv
i know,2,20,"[14, 20, 29, 88, 90]",SP5V.tsv
yeah,1,20,"[5, 14, 20, 37, 41, 46, 61, 65, 75, 80, 108, 118, 123, 125, 135, 146, 148, 180]",SP5V.tsv
know,1,25,"[20, 25, 29, 84, 88, 90, 103]",SP5V.tsv
like,1,33,"[20, 33, 41, 47, 95, 96, 120, 128, 146, 153, 158, 193]",SP5V.tsv
be go to,3,40,"[20, 40]",SP5V.tsv
i think,2,18,"[7, 18, 20, 40, 46, 80, 96, 123, 135, 173, 186]",SP5V.tsv
a bite,2,85,"[20, 56, 85]",SP5V.tsv
probably,1,85,"[20, 85, 151, 184, 186]",SP5V.tsv
we like,2,153,"[20, 153]",SP5V.tsv
the the,2,180,"[20, 48, 173, 180, 189]",SP5V.tsv
get,1,20,"[13, 20, 24, 68, 76, 125, 139, 186, 193, 195]",SP5V.tsv
thing,1,193,"[20, 41, 107, 129, 135, 151, 173, 186, 193]",SP5V.tsv
do you think,3,24,"[10, 24, 154, 190]",SP5V.tsv
will have,2,65,"[24, 65]",SP5V.tsv
do you,2,67,"[24, 66, 67, 103, 135, 136, 151, 154, 175, 190]",SP5V.tsv
you just,2,73,"[24, 73, 76]",SP5V.tsv
absolutely,1,73,"[24, 73]",SP5V.tsv
they do,2,100,"[26, 100, 123, 173]",SP5V.tsv
last,1,140,"[26, 140, 173]",SP5V.tsv
we go,2,28,"[10, 28, 142, 145, 180]",SP5V.tsv
to find,2,33,"[28, 33]",SP5V.tsv
decide,1,39,"[17, 39, 153]",SP5V.tsv
what a horrible,3,40,"[39, 40]",SP5V.tsv
what the,2,81,"[39, 81, 84]",SP5V.tsv
in the,2,100,"[39, 82, 100, 126, 135, 150, 158]",SP5V.tsv
it in,2,104,"[39, 104]",SP5V.tsv
we have,2,140,"[39, 140]",SP5V.tsv
would,1,41,"[10, 41, 68, 72, 96, 107, 135, 149, 173, 186, 189, 190]",SP5V.tsv
tomorrow,1,41,"[10, 41]",SP5V.tsv
so you,2,180,"[41, 180]",SP5V.tsv
an easter egg hunt,4,44,"[10, 44]",SP5V.tsv
nest,1,48,"[47, 48]",SP5V.tsv
come back,2,189,"[48, 189]",SP5V.tsv
come,1,189,"[48, 147, 189]",SP5V.tsv
you say,2,54,"[7, 51, 53, 54, 55, 136]",SP5V.tsv
go to have,3,56,"[10, 56]",SP5V.tsv
to have,2,56,"[10, 56]",SP5V.tsv
be it,2,56,"[17, 56, 145]",SP5V.tsv
really,1,56,"[19, 49, 56, 68, 84]",SP5V.tsv
you need to,3,56,"[33, 56, 189]",SP5V.tsv
have a,2,167,"[56, 94, 167]",SP5V.tsv
to stop,2,193,"[56, 193]",SP5V.tsv
how much,2,59,"[58, 59, 62]",SP5V.tsv
of tiger bread,3,167,"[60, 167]",SP5V.tsv
time,1,64,"[63, 64, 65, 66, 68, 110, 180, 189, 193]",SP5V.tsv
i don't,2,66,"[25, 66, 123]",SP5V.tsv
you could,2,124,"[66, 124, 193]",SP5V.tsv
don't have,2,180,"[66, 180]",SP5V.tsv
you don't,2,180,"[66, 68, 180]",SP5V.tsv
have do,2,68,"[10, 68]",SP5V.tsv
would be,2,68,"[10, 68, 72, 135, 173, 186]",SP5V.tsv
be a,2,68,"[35, 36, 68, 90, 94, 96, 112, 130, 135]",SP5V.tsv
mm i,2,68,"[40, 68]",SP5V.tsv
you be,2,68,"[40, 68, 71]",SP5V.tsv
when i,2,68,"[63, 68]",SP5V.tsv
but i,2,68,"[65, 68, 72, 86]",SP5V.tsv
mean rudiments,2,68,"[67, 68]",SP5V.tsv
i have,2,73,"[68, 73, 166, 167, 169]",SP5V.tsv
though,1,73,"[68, 73, 178]",SP5V.tsv
things,1,126,"[68, 126, 193, 194]",SP5V.tsv
i do,2,140,"[68, 140]",SP5V.tsv
so you don't,3,180,"[68, 180]",SP5V.tsv
you don't have,3,180,"[68, 180]",SP5V.tsv
mean,1,193,"[68, 107, 123, 149, 175, 193]",SP5V.tsv
i'd,1,72,"[47, 72, 95]",SP5V.tsv
be great,2,72,"[71, 72]",SP5V.tsv
way,1,189,"[74, 78, 154, 175, 189]",SP5V.tsv
learn,1,77,"[76, 77, 163]",SP5V.tsv
use,1,102,"[76, 102]",SP5V.tsv
read,1,104,"[76, 104]",SP5V.tsv
able to,2,189,"[76, 189]",SP5V.tsv
