Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
go,1,5,"[0, 5, 8, 11, 20, 24, 44, 48, 55, 56, 77, 79, 80, 81, 82, 104, 110, 114, 118, 122, 131, 137, 224, 228, 246, 250, 258, 261, 291, 295, 310, 312, 322, 349, 354, 363, 365, 397, 407, 409, 424, 434, 443, 461, 481, 499, 506, 519, 546, 548, 566, 575, 604, 668, 676, 710, 734, 741, 754, 764, 770, 774, 788, 801, 805, 810, 811, 827, 828, 837, 860, 862, 911, 924]",SG5Q.tsv
that,1,7,"[0, 2, 4, 7, 8, 11, 19, 20, 22, 44, 48, 58, 64, 71, 91, 101, 106, 114, 116, 129, 137, 139, 143, 154, 164, 171, 173, 189, 221, 224, 229, 232, 244, 245, 246, 258, 261, 265, 271, 285, 296, 302, 328, 345, 356, 389, 403, 405, 436, 438, 441, 445, 449, 474, 481, 485, 494, 497, 499, 527, 529, 551, 556, 590, 591, 592, 615, 620, 632, 633, 642, 665, 668, 670, 671, 676, 677, 686, 702, 723, 728, 729, 732, 747, 776, 788, 808, 811, 817, 832, 840, 842, 858, 860, 867, 869, 883, 890, 893, 899, 919, 922, 936, 943]",SG5Q.tsv
that go,2,11,"[0, 11]",SG5Q.tsv
there,1,11,"[0, 2, 11, 22, 31, 35, 52, 55, 75, 110, 114, 129, 257, 258, 263, 315, 324, 326, 349, 385, 397, 424, 446, 481, 505, 521, 525, 604, 617, 638, 692, 742, 754, 764, 774, 799, 886, 940, 942, 970]",SG5Q.tsv
on,1,25,"[0, 8, 14, 20, 25, 30, 118, 124, 126, 129, 171, 184, 189, 229, 250, 259, 271, 277, 285, 293, 295, 299, 304, 324, 328, 340, 369, 426, 456, 458, 465, 485, 533, 551, 557, 561, 566, 627, 677, 695, 710, 712, 740, 751, 754, 761, 779, 783, 852, 854, 902, 934, 938, 955]",SG5Q.tsv
right,1,33,"[0, 8, 28, 33, 41, 76, 77, 79, 104, 108, 118, 124, 125, 129, 130, 154, 167, 249, 294, 308, 343, 351, 368, 401, 412, 417, 479, 525, 645, 684, 695, 738, 743, 762, 792, 808, 828, 899, 911, 941]",SG5Q.tsv
go on,2,295,"[0, 295]",SG5Q.tsv
mm,1,3,"[2, 3, 4, 63, 72, 86, 90, 107, 111, 113, 119, 121, 127, 128, 132, 134, 138, 143, 150, 155, 160, 162, 168, 172, 174, 178, 180, 185, 188, 190, 198, 200, 205, 207, 215, 225, 238, 243, 247, 255, 256, 260, 278, 292, 303, 307, 308, 311, 314, 317, 319, 323, 325, 335, 337, 350, 360, 366, 378, 380, 406, 414, 430, 431, 437, 444, 473, 480, 514, 517, 520, 541, 549, 567, 572, 587, 596, 611, 613, 628, 630, 635, 648, 656, 687, 693, 711, 725, 758, 768, 778, 780, 816, 818, 820, 822, 824, 879, 892, 921, 926, 950]",SG5Q.tsv
in there,2,31,"[2, 31, 35, 52, 385, 397]",SG5Q.tsv
yeah,1,15,"[2, 6, 10, 14, 15, 17, 26, 32, 51, 55, 62, 67, 72, 88, 93, 98, 105, 108, 109, 117, 136, 146, 158, 165, 174, 175, 178, 182, 187, 190, 193, 194, 197, 210, 213, 216, 229, 240, 242, 259, 262, 271, 272, 275, 281, 284, 286, 290, 306, 307, 331, 333, 347, 348, 354, 359, 364, 374, 376, 378, 382, 384, 386, 390, 398, 402, 404, 408, 410, 416, 419, 421, 423, 425, 428, 439, 440, 442, 446, 450, 452, 457, 459, 460, 462, 464, 467, 468, 469, 472, 476, 479, 490, 493, 500, 504, 508, 524, 530, 536, 540, 547, 548, 554, 562, 577, 585, 594, 600, 604, 606, 607, 609, 610, 616, 623, 624, 626, 627, 628, 641, 643, 655, 658, 662, 667, 671, 673, 674, 678, 679, 682, 686, 689, 696, 706, 708, 709, 710, 713, 717, 718, 720, 721, 723, 734, 749, 750, 754, 755, 761, 775, 776, 784, 789, 794, 796, 798, 804, 805, 828, 832, 834, 836, 847, 849, 852, 853, 856, 859, 862, 864, 866, 870, 888, 891, 897, 910, 914, 923, 928, 933, 936, 937, 953, 954, 956, 958, 959, 970]",SG5Q.tsv
