Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
subject,1,1,"[0, 1, 5, 18]",SQNA.tsv
your favourite subject,3,5,"[0, 5]",SQNA.tsv
do you,2,255,"[2, 46, 62, 124, 212, 255, 258, 321, 398, 399]",SQNA.tsv
yeah,1,5,"[4, 5, 6, 7, 9, 15, 61, 66, 76, 78, 81, 83, 89, 94, 105, 114, 120, 123, 127, 132, 140, 150, 151, 156, 158, 162, 164, 188, 200, 226, 259, 260, 262, 263, 264, 269, 271, 273, 292, 306, 323, 326, 331, 333, 334, 340, 342, 350, 357, 365, 366, 368, 369, 385, 388, 404]",SQNA.tsv
erm i,2,6,"[1, 6, 243]",SQNA.tsv
i like,2,6,"[1, 6, 7, 10, 12, 16, 47, 281]",SQNA.tsv
like,1,6,"[1, 3, 6, 7, 10, 12, 16, 22, 25, 27, 34, 35, 37, 45, 47, 53, 55, 56, 57, 60, 62, 66, 68, 73, 77, 83, 85, 90, 93, 96, 98, 100, 105, 113, 115, 144, 147, 151, 158, 162, 250, 253, 255, 257, 259, 265, 281, 306, 308, 327, 330, 339, 343, 345, 356, 358, 367, 385, 393]",SQNA.tsv
think,1,6,"[1, 6, 9, 16, 34, 44, 47, 48, 55, 57, 66, 70, 73, 90, 96, 112, 118, 179, 241, 248, 411]",SQNA.tsv
i like english,3,7,"[6, 7, 16]",SQNA.tsv
but i,2,9,"[6, 9, 16, 20, 47, 66, 70, 73, 113, 250]",SQNA.tsv
good,1,21,"[6, 20, 21, 60, 77, 103, 162, 265, 281]",SQNA.tsv
say,1,27,"[6, 27, 35, 37, 68, 70, 112, 212, 214, 227, 282]",SQNA.tsv
say i,2,35,"[6, 35, 214]",SQNA.tsv
i just,2,35,"[6, 35, 41, 43, 55, 66, 250]",SQNA.tsv
i be,2,47,"[6, 18, 20, 22, 47, 66, 250, 284, 320]",SQNA.tsv
i think,2,47,"[6, 16, 44, 47, 66, 70, 73, 96, 112, 241, 248, 411]",SQNA.tsv
think i,2,47,"[6, 16, 47, 118]",SQNA.tsv
probably,1,59,"[6, 16, 59, 291]",SQNA.tsv
but i think,3,73,"[6, 70, 73]",SQNA.tsv
be a,2,107,"[6, 18, 66, 106, 107, 119, 121]",SQNA.tsv
okay,1,119,"[6, 22, 64, 88, 90, 119, 162, 270, 277, 281, 292, 321, 395, 398, 399, 405, 406, 407, 409]",SQNA.tsv
really,1,8,"[3, 8, 9, 16, 18, 20, 22, 25, 31, 34, 41, 43, 45, 47, 55, 77, 92, 93, 109, 113, 116, 117, 144, 158, 251, 253, 255, 259, 261, 265, 281]",SQNA.tsv
i love,2,73,"[8, 73, 214, 215, 216, 218, 221]",SQNA.tsv
love,1,73,"[8, 73, 124, 187, 196, 214, 215, 216, 218, 221, 263]",SQNA.tsv
i really,2,93,"[8, 22, 93, 116, 253]",SQNA.tsv
actually,1,265,"[8, 16, 22, 94, 265, 281, 392]",SQNA.tsv
i mean,2,12,"[9, 12, 18, 30, 66, 70, 73, 83, 96, 97, 102, 105, 113, 224]",SQNA.tsv
mean,1,255,"[12, 18, 30, 66, 70, 86, 96, 102, 255, 257]",SQNA.tsv
at school,2,14,"[5, 14, 22, 282]",SQNA.tsv
like science and,3,16,"[1, 16]",SQNA.tsv
and i,2,16,"[1, 16, 20, 22, 53, 281]",SQNA.tsv
science,1,16,"[1, 16, 385]",SQNA.tsv
as well,2,16,"[7, 16, 34, 37, 70, 90, 325]",SQNA.tsv
you know,2,23,"[16, 23, 66, 70, 83, 90, 102, 103, 255, 259, 265, 271, 273, 299, 327, 329, 331, 335, 337, 343, 345, 384]",SQNA.tsv
go,1,25,"[16, 25, 66, 113, 134, 145, 158, 176, 178, 241, 284, 316, 322, 327, 399, 405]",SQNA.tsv
cos,1,27,"[16, 27, 35, 53, 66, 144, 162, 183, 193, 281, 291, 385, 406]",SQNA.tsv
know,1,29,"[16, 29, 41, 58, 60, 66, 70, 83, 86, 90, 97, 100, 102, 103, 116, 118, 152, 153, 188, 224, 227, 255, 259, 265, 271, 273, 282, 289, 291, 299, 300, 327, 329, 331, 335, 337, 343, 345, 359, 361, 384, 392]",SQNA.tsv
well,1,31,"[16, 31, 34, 37, 40, 44, 62, 70, 90, 97, 99, 208, 292, 318, 325, 349]",SQNA.tsv
i didn't,2,35,"[16, 35]",SQNA.tsv
could,1,41,"[16, 41, 66, 295, 296]",SQNA.tsv
and kind of,3,53,"[16, 53]",SQNA.tsv
kind of,2,53,"[16, 22, 34, 38, 53, 66, 92, 145, 156, 162, 296, 356]",SQNA.tsv
i do,2,67,"[16, 18, 20, 67, 128, 291]",SQNA.tsv
know i,2,97,"[16, 90, 97]",SQNA.tsv
oh i,2,259,"[16, 259]",SQNA.tsv
science and,2,385,"[16, 385]",SQNA.tsv
cos i,2,385,"[16, 385]",SQNA.tsv
be really,2,45,"[18, 45, 251]",SQNA.tsv
weird,1,73,"[18, 73, 282]",SQNA.tsv
which be,2,101,"[18, 101, 359]",SQNA.tsv
really i,2,253,"[18, 253]",SQNA.tsv
sport,1,23,"[20, 23, 34, 37, 40, 41, 43, 60, 66, 67, 73, 90, 99]",SQNA.tsv
do sport,2,73,"[20, 73]",SQNA.tsv
make,1,153,"[20, 70, 153, 156, 345, 348]",SQNA.tsv
them and,2,161,"[20, 161]",SQNA.tsv
be make,2,348,"[20, 348]",SQNA.tsv
like it,2,27,"[22, 27, 35, 45, 47, 358]",SQNA.tsv
things,1,47,"[22, 47, 66, 75, 90, 96, 345, 404]",SQNA.tsv
back,1,53,"[22, 53, 105, 107, 109, 121, 158, 162, 308, 405]",SQNA.tsv
to be,2,113,"[22, 34, 56, 66, 70, 90, 96, 113, 125, 147, 319, 322]",SQNA.tsv
to be honest,3,125,"[22, 56, 125, 147]",SQNA.tsv
i really like it,4,253,"[22, 253]",SQNA.tsv
look,1,290,"[22, 46, 284, 286, 290]",SQNA.tsv
do that,2,57,"[28, 57, 151, 258]",SQNA.tsv
be like,2,35,"[34, 35, 53, 66, 158, 250, 281, 306, 308, 327]",SQNA.tsv
mum,1,35,"[34, 35, 96, 136, 268, 274, 282, 283]",SQNA.tsv
and he's,2,57,"[34, 57, 265]",SQNA.tsv
he's,1,57,"[34, 57, 109, 162, 176, 179, 183, 197, 199, 265, 274, 275, 276, 302, 305, 321, 345]",SQNA.tsv
do load of sport,4,67,"[34, 67]",SQNA.tsv
like a,2,115,"[34, 100, 115, 330]",SQNA.tsv
that's,1,38,"[21, 38, 40, 57, 62, 77, 103, 128, 131, 149, 240, 265, 284, 307, 309, 349, 351]",SQNA.tsv
kid,1,196,"[38, 196]",SQNA.tsv
it be,2,40,"[31, 40, 47, 53, 55, 70, 96, 251, 268]",SQNA.tsv
sport as,2,40,"[37, 40]",SQNA.tsv
be i,2,47,"[40, 47]",SQNA.tsv
job,1,57,"[40, 57, 90, 211]",SQNA.tsv
think they,2,55,"[44, 55]",SQNA.tsv
want,1,113,"[46, 62, 96, 113, 124, 222, 255, 260, 276, 398, 399, 400, 405]",SQNA.tsv
you be,2,48,"[5, 48, 70, 317]",SQNA.tsv
mess,1,48,"[47, 48]",SQNA.tsv
teacher,1,56,"[49, 56, 151]",SQNA.tsv
the best,2,99,"[56, 99]",SQNA.tsv
like the,2,105,"[56, 62, 105, 330, 367, 385]",SQNA.tsv
i know,2,58,"[29, 58, 60, 86, 90, 97, 100, 152, 188, 224, 227, 300]",SQNA.tsv
they're not,2,60,"[31, 60, 105, 144, 327]",SQNA.tsv
people,1,113,"[60, 113, 134, 136, 138, 142]",SQNA.tsv
they're,1,113,"[60, 66, 94, 113, 144, 158, 315, 327, 351, 356, 367, 368, 370]",SQNA.tsv
come,1,62,"[47, 53, 62, 73, 201, 259, 325, 412, 413]",SQNA.tsv
come and,2,73,"[62, 73]",SQNA.tsv
not like the,3,105,"[62, 105]",SQNA.tsv
not like,2,105,"[62, 100, 105]",SQNA.tsv
want to,2,113,"[62, 96, 113, 124, 222, 255, 405]",SQNA.tsv
want a cookie,3,400,"[62, 399, 400]",SQNA.tsv
cookie,1,63,"[62, 63, 399, 400, 401]",SQNA.tsv
quite,1,64,"[3, 45, 64, 70, 96, 114, 162, 345]",SQNA.tsv
try to,2,66,"[1, 66, 250]",SQNA.tsv
school,1,66,"[5, 66]",SQNA.tsv
they they,2,66,"[23, 66]",SQNA.tsv
much,1,66,"[31, 66, 70]",SQNA.tsv
if you don't do,4,66,"[33, 66, 70]",SQNA.tsv
let you off,3,66,"[35, 66]",SQNA.tsv
let,1,66,"[35, 66, 151]",SQNA.tsv
you could,2,66,"[41, 66, 296]",SQNA.tsv
might be,2,66,"[45, 66, 393]",SQNA.tsv
thing,1,66,"[45, 66, 151, 158, 296, 393]",SQNA.tsv
put,1,66,"[53, 66, 107, 110, 112, 151, 162, 294, 308]",SQNA.tsv
and things,2,75,"[66, 75, 345]",SQNA.tsv
you know what i mean,5,83,"[66, 70, 83, 102]",SQNA.tsv
if you,2,83,"[66, 70, 83, 96, 112, 115, 272]",SQNA.tsv
there's,1,113,"[66, 113, 136, 138, 140, 144, 345, 353, 385, 386]",SQNA.tsv
one,1,113,"[66, 68, 113, 162, 244, 255, 327, 385, 398]",SQNA.tsv
there's a,2,144,"[66, 144]",SQNA.tsv
cos it's,2,193,"[66, 193]",SQNA.tsv
no i,2,227,"[66, 227]",SQNA.tsv
play,1,243,"[66, 243, 252, 254, 255, 257, 265, 397]",SQNA.tsv
i'm,1,253,"[66, 68, 70, 94, 96, 124, 253, 281, 406]",SQNA.tsv
do you know what,4,255,"[66, 70, 102, 255, 327, 329, 331, 345]",SQNA.tsv
though,1,281,"[66, 96, 122, 281, 397]",SQNA.tsv
i dunno,2,295,"[66, 250, 278, 295]",SQNA.tsv
they be,2,308,"[66, 308]",SQNA.tsv
time,1,322,"[66, 250, 322, 324]",SQNA.tsv
i'll,1,332,"[66, 332, 395]",SQNA.tsv
because it's,2,70,"[3, 70]",SQNA.tsv
hard,1,70,"[3, 47, 70, 94, 96, 158, 160]",SQNA.tsv
when you be,3,70,"[5, 70]",SQNA.tsv
girls,1,70,"[23, 70]",SQNA.tsv
just say,2,70,"[35, 70, 112]",SQNA.tsv
be the,2,70,"[47, 70, 96, 99, 387, 391, 393]",SQNA.tsv
