Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
it wasn't,2,5,[0],"[5, 33, 45]",SJLP.tsv,S0189,S0192
bad,1,5,"[0, 70, 108, 131, 183]","[5, 184, 198]",SJLP.tsv,S0189,S0192
good,1,15,"[0, 32, 60, 101, 239, 259, 273]","[15, 57, 59, 65, 115, 197, 238]",SJLP.tsv,S0189,S0192
like,1,19,"[0, 10, 22, 42, 52, 54, 74, 91, 95, 98, 99, 101, 105, 111, 113, 116, 130, 131, 137, 145, 147, 148, 158, 163, 169, 173, 175, 177, 181, 192, 208]","[19, 33, 45, 88, 144, 153, 157, 161, 186, 197, 204, 207, 234, 244, 264, 276, 278]",SJLP.tsv,S0189,S0192
it be,2,45,"[0, 6, 8, 32, 46, 72, 78, 84, 85, 89, 108, 113, 128, 145, 150, 169, 201, 271]","[45, 109, 125, 151, 246]",SJLP.tsv,S0189,S0192
so it,2,109,[0],"[109, 151]",SJLP.tsv,S0189,S0192
and it,2,157,"[0, 8, 128]",[157],SJLP.tsv,S0189,S0192
it wasn't too bad,4,184,[0],[184],SJLP.tsv,S0189,S0192
too bad,2,198,[0],[198],SJLP.tsv,S0189,S0192
kind of,2,244,"[0, 64, 78, 113, 229]",[244],SJLP.tsv,S0189,S0192
yeah,1,7,"[2, 8, 14, 20, 22, 24, 28, 32, 40, 44, 46, 50, 56, 58, 60, 62, 68, 70, 76, 80, 87, 93, 101, 103, 110, 117, 124, 126, 135, 141, 143, 145, 152, 163, 177, 187, 217, 254, 256, 261, 263, 279]","[7, 9, 15, 17, 23, 53, 63, 65, 71, 77, 96, 102, 121, 138, 149, 157, 159, 162, 164, 172, 186, 198, 216, 228, 250, 260, 272, 276, 286, 51, 264]",SJLP.tsv,S0189,S0192
i do,2,19,"[2, 32, 38, 42, 60, 271]","[19, 86, 168, 51, 264]",SJLP.tsv,S0189,S0192
yeah i do,3,51,"[2, 60]","[51, 264]",SJLP.tsv,S0189,S0192
cos,1,11,"[6, 8, 128, 271]","[11, 23, 25, 161, 197]",SJLP.tsv,S0189,S0192
be horrible,2,200,[6],[200],SJLP.tsv,S0189,S0192
have air con,3,8,[8],[1],SJLP.tsv,S0189,S0192
need,1,25,"[8, 227]",[25],SJLP.tsv,S0189,S0192
yeah i,2,51,"[8, 14]","[51, 264]",SJLP.tsv,S0189,S0192
quite,1,67,"[8, 78, 150]","[67, 125, 198]",SJLP.tsv,S0189,S0192
chiang mai,2,157,"[8, 156]",[157],SJLP.tsv,S0189,S0192
in the,2,260,"[8, 122]","[260, 282]",SJLP.tsv,S0189,S0192
after i,2,11,"[10, 173]",[11],SJLP.tsv,S0189,S0192
take,1,11,"[10, 76, 265]","[11, 13, 19, 23, 153, 264, 266]",SJLP.tsv,S0189,S0192
antibiotics,1,11,[10],"[11, 13, 19, 25]",SJLP.tsv,S0189,S0192
much,1,23,"[10, 22, 245]","[23, 61, 280]",SJLP.tsv,S0189,S0192
i be,2,25,"[10, 76, 91, 95, 130, 137, 139, 156, 158, 163]","[25, 45, 88, 127, 153]",SJLP.tsv,S0189,S0192
start,1,25,"[10, 175, 179, 256]",[25],SJLP.tsv,S0189,S0192
better,1,191,"[10, 22, 133, 148, 158, 235]","[191, 230, 251, 276]",SJLP.tsv,S0189,S0192
use,1,197,"[14, 111, 173, 275]","[197, 274]",SJLP.tsv,S0189,S0192
ciprofloxacin,1,17,[16],[17],SJLP.tsv,S0189,S0192
find,1,136,"[16, 173, 175, 208]",[136],SJLP.tsv,S0189,S0192
time,1,22,"[22, 60, 256]","[19, 23, 59]",SJLP.tsv,S0189,S0192
within,1,22,[22],[21],SJLP.tsv,S0189,S0192
need to,2,25,"[22, 160, 173, 221]",[25],SJLP.tsv,S0189,S0192
so much,2,61,"[22, 245]",[61],SJLP.tsv,S0189,S0192
up and,2,286,[22],[286],SJLP.tsv,S0189,S0192
and then,2,28,"[28, 101, 113]","[13, 157, 262, 280, 286]",SJLP.tsv,S0189,S0192
go,1,28,"[28, 64, 78, 95, 101, 107, 131, 147, 165, 169, 171, 173, 175, 188, 256, 285]","[25, 27, 39, 142, 162, 272, 276]",SJLP.tsv,S0189,S0192
me out,2,202,[28],[202],SJLP.tsv,S0189,S0192
course,1,32,"[32, 38]","[3, 25]",SJLP.tsv,S0189,S0192
yeah it,2,228,"[32, 46, 145]",[228],SJLP.tsv,S0189,S0192
two,1,42,[42],"[21, 213]",SJLP.tsv,S0189,S0192
and i,2,42,"[42, 97, 131, 139, 148, 165, 175]","[25, 153, 262]",SJLP.tsv,S0189,S0192
park,1,42,[42],[33],SJLP.tsv,S0189,S0192
like a,2,234,"[42, 52, 101, 105]",[234],SJLP.tsv,S0189,S0192
have you see,3,46,[46],[35],SJLP.tsv,S0189,S0192
see,1,51,"[46, 82, 122, 148, 160]","[51, 61, 86, 255]",SJLP.tsv,S0189,S0192
one,1,48,"[48, 101, 133, 145, 167, 169, 221, 243, 269]","[35, 47, 49, 102, 213, 238, 276, 282, 207]",SJLP.tsv,S0189,S0192
this one,2,207,"[48, 101, 221]",[207],SJLP.tsv,S0189,S0192
be like,2,52,"[52, 95, 101, 105, 130]","[45, 88, 144, 207]",SJLP.tsv,S0189,S0192
in chiang,2,157,[52],[157],SJLP.tsv,S0189,S0192
that be,2,200,[52],[200],SJLP.tsv,S0189,S0192
thing,1,54,"[54, 179]","[13, 204]",SJLP.tsv,S0189,S0192
be a,2,55,"[54, 85, 89, 107]","[55, 153, 232, 236, 238, 104]",SJLP.tsv,S0189,S0192
and there be a,4,104,[54],[104],SJLP.tsv,S0189,S0192
in front of,3,278,[54],[278],SJLP.tsv,S0189,S0192
good time,2,60,[60],[59],SJLP.tsv,S0189,S0192
a really,2,161,[60],[161],SJLP.tsv,S0189,S0192
really,1,197,"[60, 74, 160, 190, 225, 275]","[197, 202, 209]",SJLP.tsv,S0189,S0192
yeah it's,2,198,[62],[198],SJLP.tsv,S0189,S0192
to go,2,142,"[64, 147, 169]",[142],SJLP.tsv,S0189,S0192
go on,2,162,"[64, 147, 188, 285]",[162],SJLP.tsv,S0189,S0192
get,1,70,"[70, 82, 97, 99, 101, 103, 147, 158, 169, 229]","[23, 49, 69, 153, 157, 213, 214, 228, 244, 251, 276, 282]",SJLP.tsv,S0189,S0192
little,1,70,"[70, 171]",[37],SJLP.tsv,S0189,S0192
pai,1,92,"[70, 82, 95, 156, 163]","[92, 123]",SJLP.tsv,S0189,S0192
but it,2,72,[72],[45],SJLP.tsv,S0189,S0192
sick,1,74,[74],"[23, 161]",SJLP.tsv,S0189,S0192
from other people,3,74,[74],[73],SJLP.tsv,S0189,S0192
people,1,74,"[74, 76, 147, 173, 181]","[73, 75, 186, 198]",SJLP.tsv,S0189,S0192
people be,2,75,[74],[75],SJLP.tsv,S0189,S0192
be sick,2,157,[74],[157],SJLP.tsv,S0189,S0192
like oh my god,4,161,"[74, 95]",[161],SJLP.tsv,S0189,S0192
be really,2,197,[74],"[197, 209]",SJLP.tsv,S0189,S0192
to take,2,76,[76],"[11, 19]",SJLP.tsv,S0189,S0192
alright,1,161,"[76, 252]",[161],SJLP.tsv,S0189,S0192
have to,2,182,"[76, 95, 111, 131, 179, 256]","[182, 228]",SJLP.tsv,S0189,S0192
but i,2,276,"[76, 128, 137, 158, 247]","[276, 282]",SJLP.tsv,S0189,S0192
fun,1,78,[78],"[31, 37, 81]",SJLP.tsv,S0189,S0192
nice,1,123,"[78, 192, 199, 281, 283]","[123, 166, 282]",SJLP.tsv,S0189,S0192
be fine,2,213,[78],[213],SJLP.tsv,S0189,S0192
fine,1,218,[78],[218],SJLP.tsv,S0189,S0192
do you,2,82,"[82, 156, 273]","[1, 11, 118, 182, 191, 195, 197, 211, 224, 230, 251, 272, 280]",SJLP.tsv,S0189,S0192
you see,2,82,[82],[35],SJLP.tsv,S0189,S0192
in pai,2,92,"[82, 156]",[92],SJLP.tsv,S0189,S0192
hotel,1,94,"[82, 95, 147]","[94, 142]",SJLP.tsv,S0189,S0192
hello kitty hotel,3,94,"[85, 89]","[94, 142]",SJLP.tsv,S0189,S0192
stay,1,92,"[91, 95]","[92, 94]",SJLP.tsv,S0189,S0192
when i be,3,127,"[91, 95, 156]",[127],SJLP.tsv,S0189,S0192
in chiang mai,3,157,"[91, 95]",[157],SJLP.tsv,S0189,S0192
look,1,268,"[91, 95, 131, 192]",[268],SJLP.tsv,S0189,S0192
you have,2,95,"[95, 111, 167]","[1, 59, 118, 211, 182]",SJLP.tsv,S0189,S0192
know,1,95,"[95, 148, 167, 215, 217, 235]","[13, 23, 37, 161, 230, 244, 274]",SJLP.tsv,S0189,S0192
go to,2,95,"[95, 256]","[25, 27, 39, 142]",SJLP.tsv,S0189,S0192
i'm,1,95,"[95, 130, 131, 148, 173, 175, 190, 199, 229, 233, 252, 256]","[25, 39, 59, 161, 213, 216, 218, 251, 276]",SJLP.tsv,S0189,S0192
i be like,3,95,"[95, 130]",[88],SJLP.tsv,S0189,S0192
to stay,2,95,[95],[92],SJLP.tsv,S0189,S0192
at the,2,95,[95],"[94, 144, 211]",SJLP.tsv,S0189,S0192
well,1,142,"[95, 110, 130, 271, 275]","[142, 258, 166]",SJLP.tsv,S0189,S0192
like oh,2,161,[95],[161],SJLP.tsv,S0189,S0192
as well,2,166,"[95, 110]",[166],SJLP.tsv,S0189,S0192
you have to,3,182,"[95, 111]",[182],SJLP.tsv,S0189,S0192
be i,2,202,[95],[202],SJLP.tsv,S0189,S0192
so i,2,209,"[95, 97, 101, 130, 131, 160, 175, 179, 256]","[209, 213]",SJLP.tsv,S0189,S0192
show,1,238,[95],[238],SJLP.tsv,S0189,S0192
days,1,97,[97],"[19, 21]",SJLP.tsv,S0189,S0192
oh my god,3,161,[97],[161],SJLP.tsv,S0189,S0192
be it,2,99,[99],"[5, 45, 102, 161]",SJLP.tsv,S0189,S0192
hello kitty,2,99,[99],"[94, 142]",SJLP.tsv,S0189,S0192
room,1,104,"[99, 101, 128, 130, 148]",[104],SJLP.tsv,S0189,S0192
give,1,204,"[99, 113, 133, 167]","[204, 251, 255]",SJLP.tsv,S0189,S0192
try,1,101,"[101, 235]","[25, 206, 251]",SJLP.tsv,S0189,S0192
and there be,3,104,"[101, 110]",[104],SJLP.tsv,S0189,S0192
they stick,2,104,[101],[104],SJLP.tsv,S0189,S0192
a frog,2,104,"[101, 105]",[104],SJLP.tsv,S0189,S0192
complain,1,134,"[101, 131]","[134, 136]",SJLP.tsv,S0189,S0192
be you,2,144,[101],"[144, 264, 280]",SJLP.tsv,S0189,S0192
to do,2,197,"[101, 221, 225]","[197, 220, 280]",SJLP.tsv,S0189,S0192
with them,2,253,[101],[253],SJLP.tsv,S0189,S0192
yeah you,2,157,"[103, 217]","[157, 276]",SJLP.tsv,S0189,S0192
there be,2,105,"[105, 169]",[104],SJLP.tsv,S0189,S0192
there be a,3,107,[107],[104],SJLP.tsv,S0189,S0192
be pretty,2,108,[108],[81],SJLP.tsv,S0189,S0192
pretty,1,266,"[108, 173]","[266, 280]",SJLP.tsv,S0189,S0192
yeah and,2,286,"[110, 177]",[286],SJLP.tsv,S0189,S0192
and you,2,111,[111],"[79, 251]",SJLP.tsv,S0189,S0192
padlock,1,112,"[111, 113]",[112],SJLP.tsv,S0189,S0192
it it,2,113,[113],"[45, 202]",SJLP.tsv,S0189,S0192
be just,2,155,"[113, 147, 158, 169]",[155],SJLP.tsv,S0189,S0192
would,1,161,"[113, 116, 145]",[161],SJLP.tsv,S0189,S0192
i didn't,2,282,"[119, 160, 208]",[282],SJLP.tsv,S0189,S0192
south,1,122,"[122, 169]",[33],SJLP.tsv,S0189,S0192
part,1,122,[122],[69],SJLP.tsv,S0189,S0192
with the,2,264,[128],[264],SJLP.tsv,S0189,S0192
i'm gonna,2,131,"[131, 256]","[39, 213]",SJLP.tsv,S0189,S0192
