Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
on the,2,1,"[0, 56, 161, 643, 1161]","[1, 338, 463, 630, 1336]",SEM7.tsv,S0557,S0539
delay,1,1,"[0, 1349]","[1, 429, 1334]",SEM7.tsv,S0557,S0539
i'm glad,2,71,[0],[71],SEM7.tsv,S0557,S0539
i'm,1,248,"[0, 95, 141, 347, 361, 462, 505, 662, 666, 754, 815, 865, 998, 1114, 1149, 1187, 1193, 1195]","[248, 320, 413, 630, 681, 726, 753, 970, 1172, 1184, 1326]",SEM7.tsv,S0557,S0539
we're,1,264,"[0, 1205, 1211]",[264],SEM7.tsv,S0557,S0539
the train,2,352,[0],"[352, 421, 429, 1248, 1334]",SEM7.tsv,S0557,S0539
twenty,1,447,"[0, 219, 223, 713, 921]","[447, 714]",SEM7.tsv,S0557,S0539
train,1,580,"[0, 1242, 1244]","[580, 1320, 1322, 1334]",SEM7.tsv,S0557,S0539
the flooding's,2,2,[2],[1],SEM7.tsv,S0557,S0539
it be,2,2,"[2, 18, 23, 49, 51, 109, 149, 161, 165, 173, 209, 219, 242, 277, 295, 309, 311, 313, 381, 404, 406, 408, 472, 545, 694, 717, 830, 941, 1018, 1028, 1030, 1054, 1058, 1138, 1331]","[1, 32, 34, 40, 48, 50, 69, 73, 75, 91, 118, 146, 148, 150, 234, 280, 298, 300, 316, 320, 322, 372, 399, 409, 445, 449, 461, 475, 477, 490, 516, 518, 524, 534, 567, 586, 598, 604, 622, 624, 630, 632, 638, 648, 661, 667, 792, 849, 914, 938, 964, 1043, 1057, 1061, 1063, 1081, 1085, 1089, 1097, 1102, 1280]",SEM7.tsv,S0557,S0539
bad,1,2,"[2, 240, 244, 992, 1227]","[1, 11, 91, 156, 399, 759, 1352]",SEM7.tsv,S0557,S0539
like,1,7,"[2, 12, 33, 49, 53, 70, 78, 80, 84, 101, 103, 113, 141, 151, 161, 167, 169, 173, 192, 198, 202, 215, 217, 219, 223, 225, 242, 255, 271, 273, 291, 293, 301, 303, 309, 311, 339, 345, 361, 375, 398, 406, 408, 420, 422, 450, 452, 462, 474, 480, 486, 489, 537, 551, 559, 572, 574, 577, 583, 599, 607, 637, 643, 650, 652, 666, 692, 694, 702, 704, 735, 741, 754, 756, 776, 784, 785, 789, 795, 797, 799, 801, 807, 815, 818, 820, 830, 842, 850, 859, 861, 865, 885, 889, 895, 897, 903, 905, 907, 911, 921, 939, 940, 943, 947, 978, 980, 986, 998, 1000, 1004, 1006, 1020, 1022, 1024, 1028, 1036, 1048, 1050, 1058, 1060, 1066, 1099, 1107, 1109, 1120, 1121, 1123, 1125, 1134, 1136, 1138, 1143, 1157, 1169, 1175, 1177, 1205, 1207, 1209, 1211, 1215, 1251, 1291, 1301, 1333, 1341, 1359, 1367, 1369, 1371, 1381]","[7, 9, 22, 26, 30, 34, 42, 44, 48, 52, 65, 73, 91, 94, 98, 100, 118, 132, 138, 142, 146, 180, 181, 183, 187, 230, 239, 245, 246, 250, 252, 254, 256, 258, 267, 270, 284, 296, 298, 300, 308, 316, 320, 324, 328, 332, 356, 370, 372, 376, 386, 392, 394, 395, 399, 405, 411, 435, 441, 447, 449, 457, 459, 461, 465, 477, 481, 483, 485, 492, 509, 511, 518, 520, 522, 532, 558, 560, 565, 578, 580, 586, 588, 590, 592, 594, 596, 598, 610, 624, 626, 630, 636, 638, 642, 644, 648, 653, 655, 669, 671, 673, 726, 730, 736, 738, 747, 755, 761, 786, 792, 794, 798, 812, 823, 831, 839, 845, 847, 866, 878, 880, 882, 884, 910, 916, 928, 929, 931, 935, 946, 952, 954, 956, 960, 962, 964, 970, 973, 993, 1015, 1045, 1069, 1071, 1073, 1075, 1089, 1091, 1092, 1094, 1095, 1111, 1113, 1132, 1168, 1198, 1262, 1264, 1268, 1270, 1272, 1276, 1284, 1288, 1295, 1302, 1306, 1312, 1314, 1318, 1326, 1354, 1382]",SEM7.tsv,S0557,S0539
can't believe like,3,22,[2],[22],SEM7.tsv,S0557,S0539
