Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
i,1,17,"[0, 17, 26, 29, 30, 32, 40, 45, 83, 86, 88, 89, 90, 102, 103, 105, 122, 128, 129, 136, 147, 148, 150, 152, 167, 177, 180, 182, 190, 197, 205, 240, 243, 255, 289, 290, 292, 320, 323, 335, 337, 338, 340, 341, 344, 346, 349, 350, 352, 353, 363, 369, 375, 378, 379, 390, 393, 411, 433, 444, 448, 457, 458, 460, 465, 467, 469, 476, 496, 500, 533, 535, 537, 540, 543, 544, 545, 550, 553, 687, 689, 691, 693, 695, 697, 699, 710, 745, 750, 752, 790, 791, 793, 795, 805, 821]",S6KV.tsv
can,1,2,"[0, 2, 14, 102, 122, 146, 153, 169, 176, 180, 190, 194, 375, 384, 477, 535, 539, 540, 606, 636, 790, 809]",S6KV.tsv
read,1,161,"[0, 161, 182]",S6KV.tsv
i can,2,122,"[0, 122, 180, 375, 535, 540]",S6KV.tsv
pig,1,242,"[0, 126, 242, 246, 247, 248, 249, 252, 255, 272, 273, 278, 287, 299, 305, 308, 318, 322, 354, 583, 596, 600]",S6KV.tsv
mummy,1,55,"[37, 39, 41, 55, 57, 59, 193, 222, 230, 232, 235, 236, 237, 238, 241, 257, 259, 261, 297, 303, 314, 329, 345, 474, 577, 578, 580, 591, 652, 654, 655, 656, 657, 658, 659, 661, 713, 719, 721, 724]",S6KV.tsv
that,1,43,"[17, 36, 43, 45, 81, 102, 105, 123, 125, 129, 135, 136, 153, 163, 166, 172, 182, 190, 250, 252, 254, 256, 257, 258, 263, 264, 265, 271, 284, 285, 291, 293, 298, 302, 306, 307, 312, 334, 357, 360, 361, 375, 395, 396, 407, 409, 416, 473, 487, 491, 500, 527, 529, 548, 549, 579, 581, 582, 588, 592, 593, 601, 603, 605, 611, 645, 650, 695, 697, 710, 714, 743, 745, 810, 812]",S6KV.tsv
orange,1,51,"[50, 51, 52]",S6KV.tsv
carrots,1,53,"[52, 53, 56]",S6KV.tsv
on,1,60,"[1, 55, 57, 59, 60, 61, 102, 121, 136, 153, 155, 159, 169, 190, 228, 230, 235, 237, 238, 320, 335, 369, 373, 385, 400, 434, 485, 641, 685, 687, 698, 699, 700, 710, 715, 717, 718, 730, 731, 745, 752, 774, 786, 808]",S6KV.tsv
we,1,61,"[17, 34, 36, 60, 61, 62, 71, 73, 368, 376, 380, 442, 470]",S6KV.tsv
