Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
come,1,16,"[0, 16, 63, 64, 411, 505, 507, 557, 561, 637, 911, 1055, 1147, 1184, 1202, 1267, 1409, 1559, 1637, 1919, 1978, 1983, 2049, 2203, 2304]",SN64.tsv
i,1,19,"[0, 8, 13, 15, 18, 19, 20, 28, 31, 35, 36, 41, 51, 53, 94, 108, 118, 124, 128, 130, 132, 139, 140, 146, 150, 163, 173, 175, 177, 183, 185, 197, 205, 207, 229, 230, 253, 259, 279, 289, 298, 305, 307, 309, 329, 343, 351, 355, 364, 398, 433, 440, 446, 448, 476, 484, 497, 505, 514, 523, 548, 555, 557, 564, 566, 571, 573, 575, 579, 581, 583, 590, 592, 594, 603, 638, 640, 641, 642, 646, 651, 657, 661, 662, 663, 665, 667, 671, 674, 676, 678, 690, 693, 708, 710, 713, 717, 725, 736, 753, 759, 763, 774, 782, 786, 812, 814, 856, 858, 859, 860, 863, 877, 878, 884, 885, 887, 888, 889, 893, 909, 911, 929, 958, 960, 964, 968, 970, 992, 999, 1005, 1007, 1013, 1025, 1027, 1043, 1073, 1078, 1086, 1144, 1148, 1160, 1169, 1173, 1176, 1180, 1181, 1182, 1196, 1198, 1204, 1206, 1212, 1214, 1224, 1238, 1240, 1243, 1262, 1269, 1287, 1291, 1297, 1298, 1299, 1300, 1301, 1303, 1311, 1313, 1316, 1327, 1328, 1338, 1340, 1343, 1356, 1360, 1383, 1385, 1393, 1447, 1449, 1459, 1466, 1470, 1472, 1473, 1477, 1478, 1479, 1484, 1488, 1492, 1493, 1495, 1498, 1500, 1501, 1504, 1532, 1544, 1547, 1551, 1554, 1559, 1562, 1576, 1577, 1584, 1587, 1596, 1602, 1609, 1613, 1615, 1621, 1623, 1625, 1627, 1629, 1630, 1647, 1650, 1657, 1667, 1670, 1672, 1676, 1678, 1679, 1693, 1712, 1715, 1717, 1718, 1725, 1730, 1731, 1732, 1733, 1757, 1760, 1768, 1774, 1783, 1785, 1786, 1806, 1808, 1810, 1812, 1813, 1832, 1836, 1837, 1840, 1841, 1848, 1849, 1850, 1857, 1858, 1860, 1865, 1868, 1873, 1875, 1878, 1908, 1912, 1915, 1918, 1919, 1920, 1922, 1924, 1928, 1930, 1931, 1934, 1936, 1939, 1942, 1953, 1959, 1966, 1968, 1970, 1976, 1978, 1979, 1981, 1991, 1993, 1995, 1998, 2000, 2001, 2003, 2015, 2024, 2035, 2036, 2075, 2076, 2078, 2079, 2096, 2097, 2098, 2099, 2110, 2112, 2117, 2122, 2125, 2128, 2130, 2136, 2150, 2162, 2163, 2165, 2172, 2178, 2180, 2183, 2191, 2208, 2222, 2236, 2244, 2264, 2273, 2275, 2277, 2283, 2285, 2289, 2304, 2322, 2329, 2336, 2343, 2354, 2356, 2364, 2395, 2407, 2417, 2422, 2428, 2435, 2437, 2442, 2450, 2470]",SN64.tsv
to,1,23,"[0, 15, 23, 36, 53, 55, 58, 84, 108, 118, 119, 121, 122, 124, 129, 136, 141, 144, 146, 168, 173, 177, 197, 216, 217, 228, 239, 306, 308, 352, 353, 355, 374, 375, 385, 387, 388, 405, 423, 430, 435, 438, 453, 459, 465, 481, 512, 514, 524, 528, 557, 581, 587, 592, 602, 620, 646, 687, 689, 695, 725, 734, 736, 743, 758, 762, 776, 782, 795, 811, 873, 878, 879, 893, 911, 917, 938, 943, 945, 947, 962, 970, 991, 993, 1007, 1021, 1025, 1027, 1031, 1037, 1038, 1040, 1041, 1056, 1077, 1103, 1131, 1137, 1141, 1163, 1186, 1187, 1191, 1194, 1195, 1204, 1212, 1233, 1234, 1251, 1262, 1290, 1292, 1294, 1303, 1304, 1313, 1314, 1316, 1328, 1330, 1357, 1362, 1394, 1401, 1417, 1424, 1430, 1452, 1454, 1473, 1483, 1554, 1559, 1576, 1577, 1581, 1598, 1599, 1602, 1607, 1611, 1629, 1630, 1634, 1637, 1644, 1647, 1653, 1654, 1672, 1686, 1687, 1695, 1706, 1714, 1715, 1718, 1729, 1754, 1807, 1828, 1849, 1866, 1867, 1868, 1873, 1903, 1919, 1922, 1930, 1934, 1935, 1960, 1963, 1978, 1979, 1995, 2049, 2052, 2105, 2153, 2154, 2157, 2163, 2167, 2183, 2216, 2222, 2224, 2234, 2236, 2244, 2246, 2248, 2264, 2271, 2277, 2291, 2298, 2302, 2310, 2315, 2364, 2369, 2398]",SN64.tsv
the,1,44,"[0, 4, 28, 44, 47, 56, 57, 63, 64, 68, 73, 83, 94, 98, 108, 112, 114, 115, 117, 118, 129, 132, 133, 139, 140, 148, 150, 158, 165, 175, 205, 209, 216, 228, 230, 239, 246, 255, 258, 275, 289, 295, 296, 307, 309, 317, 321, 325, 328, 330, 333, 334, 337, 342, 344, 345, 355, 360, 364, 393, 403, 407, 409, 411, 417, 421, 429, 432, 433, 435, 439, 453, 462, 466, 467, 471, 481, 492, 494, 497, 505, 507, 511, 512, 513, 514, 517, 524, 527, 528, 530, 531, 543, 548, 550, 557, 559, 561, 566, 570, 577, 583, 600, 604, 605, 653, 659, 660, 665, 673, 677, 694, 695, 699, 700, 701, 706, 707, 717, 719, 720, 721, 725, 726, 727, 730, 736, 743, 750, 752, 760, 764, 769, 792, 798, 800, 801, 802, 803, 804, 805, 806, 807, 812, 818, 820, 822, 824, 831, 834, 839, 841, 854, 863, 889, 893, 894, 917, 923, 926, 929, 932, 934, 938, 960, 964, 968, 976, 994, 999, 1007, 1009, 1025, 1040, 1042, 1043, 1056, 1057, 1060, 1077, 1082, 1090, 1105, 1111, 1113, 1136, 1137, 1138, 1144, 1164, 1171, 1195, 1196, 1200, 1207, 1209, 1212, 1217, 1222, 1223, 1231, 1232, 1251, 1256, 1258, 1267, 1271, 1280, 1301, 1321, 1330, 1335, 1342, 1355, 1356, 1362, 1365, 1373, 1376, 1381, 1394, 1413, 1422, 1426, 1432, 1449, 1457, 1459, 1509, 1510, 1512, 1514, 1524, 1525, 1526, 1528, 1531, 1532, 1534, 1535, 1536, 1548, 1554, 1556, 1571, 1576, 1581, 1584, 1589, 1590, 1596, 1602, 1604, 1605, 1629, 1635, 1637, 1641, 1647, 1652, 1679, 1693, 1706, 1717, 1720, 1742, 1744, 1751, 1806, 1811, 1819, 1825, 1832, 1842, 1850, 1866, 1888, 1891, 1909, 1911, 1912, 1917, 1919, 1922, 1926, 1932, 1943, 1948, 1953, 1956, 1970, 1976, 1978, 1979, 1983, 1991, 1993, 1995, 1999, 2000, 2008, 2016, 2028, 2045, 2055, 2077, 2089, 2094, 2109, 2122, 2136, 2145, 2146, 2153, 2154, 2157, 2162, 2176, 2178, 2180, 2226, 2234, 2236, 2238, 2243, 2254, 2264, 2271, 2273, 2280, 2289, 2291, 2293, 2295, 2322, 2324, 2336, 2340, 2342, 2364, 2393, 2394, 2421, 2432, 2440, 2442, 2464, 2470]",SN64.tsv
well,1,44,"[0, 36, 44, 51, 56, 59, 79, 81, 83, 85, 96, 124, 169, 177, 181, 193, 201, 205, 207, 235, 246, 247, 275, 296, 315, 322, 360, 367, 380, 389, 399, 433, 462, 471, 480, 595, 611, 619, 652, 661, 712, 713, 740, 751, 756, 758, 783, 791, 796, 807, 812, 814, 820, 821, 835, 842, 851, 852, 862, 876, 909, 917, 919, 920, 982, 984, 993, 1013, 1117, 1154, 1172, 1204, 1212, 1231, 1275, 1280, 1284, 1304, 1316, 1327, 1329, 1336, 1362, 1382, 1398, 1411, 1413, 1420, 1453, 1455, 1476, 1478, 1483, 1488, 1518, 1530, 1562, 1585, 1588, 1633, 1645, 1671, 1689, 1718, 1726, 1760, 1773, 1774, 1779, 1786, 1787, 1790, 1796, 1823, 1828, 1836, 1865, 1866, 1883, 1896, 1904, 1919, 1949, 1978, 2017, 2023, 2069, 2070, 2078, 2081, 2117, 2119, 2120, 2121, 2122, 2143, 2145, 2147, 2151, 2154, 2177, 2206, 2224, 2247, 2253, 2267, 2283, 2344, 2346, 2393, 2407, 2408, 2421, 2438, 2468]",SN64.tsv
not,1,87,"[0, 4, 36, 70, 79, 87, 130, 146, 148, 156, 230, 260, 263, 267, 304, 312, 380, 459, 497, 539, 579, 585, 587, 589, 650, 717, 730, 744, 746, 757, 814, 816, 820, 863, 911, 970, 1013, 1014, 1015, 1025, 1088, 1107, 1125, 1139, 1150, 1159, 1173, 1243, 1254, 1298, 1310, 1315, 1329, 1374, 1459, 1473, 1518, 1560, 1562, 1567, 1599, 1602, 1604, 1664, 1695, 1696, 1697, 1698, 1714, 1727, 1751, 1828, 1841, 1892, 1909, 1911, 1936, 1952, 1963, 1978, 1987, 2017, 2045, 2056, 2081, 2086, 2114, 2120, 2138, 2149, 2167, 2171, 2176, 2189, 2229, 2230, 2308, 2310, 2330, 2332, 2346, 2414]",SN64.tsv
but,1,89,"[0, 4, 18, 22, 28, 53, 64, 89, 95, 96, 97, 108, 129, 140, 146, 148, 177, 183, 187, 197, 252, 263, 271, 283, 313, 317, 321, 330, 341, 355, 368, 407, 409, 435, 446, 450, 457, 471, 481, 498, 505, 564, 566, 568, 609, 611, 646, 667, 697, 698, 730, 735, 739, 746, 759, 774, 790, 814, 820, 822, 823, 828, 829, 834, 873, 877, 878, 887, 908, 911, 913, 924, 960, 964, 992, 994, 999, 1024, 1026, 1037, 1079, 1082, 1092, 1109, 1125, 1141, 1144, 1155, 1173, 1200, 1235, 1251, 1262, 1303, 1324, 1339, 1350, 1371, 1373, 1449, 1466, 1479, 1489, 1495, 1499, 1510, 1528, 1544, 1559, 1562, 1584, 1589, 1598, 1602, 1607, 1635, 1679, 1727, 1728, 1733, 1735, 1757, 1825, 1837, 1842, 1866, 1868, 1922, 1928, 1930, 1951, 1952, 1958, 1978, 2036, 2045, 2054, 2078, 2081, 2105, 2112, 2114, 2120, 2122, 2134, 2136, 2150, 2152, 2176, 2191, 2203, 2220, 2234, 2236, 2249, 2264, 2271, 2274, 2275, 2289, 2350, 2377, 2397, 2411]",SN64.tsv
i'm,1,130,"[0, 130, 205, 298, 304, 365, 375, 557, 577, 585, 587, 854, 972, 1088, 1160, 1163, 1186, 1254, 1298, 1303, 1327, 1347, 1354, 1355, 1362, 1483, 1559, 1562, 1602, 1641, 1649, 1776, 1812, 1829, 1849, 1867, 1921, 1978, 2081, 2120, 2165]",SN64.tsv
who,1,189,"[0, 189, 199, 300, 301, 303, 328, 353, 461, 471, 730, 746, 802, 843, 952, 960, 1082, 1321, 1602, 1604, 1605, 1615, 1837, 1948, 1975, 2107, 2336]",SN64.tsv
there's,1,488,"[0, 98, 260, 407, 417, 419, 488, 587, 811, 851, 863, 894, 909, 951, 952, 1047, 1210, 1230, 1262, 1288, 1362, 1582, 1629, 1635, 1645, 1669, 1689, 1691, 1702, 1736, 1866, 1978, 2072, 2110, 2224, 2225, 2236, 2291, 2304, 2306, 2314, 2340]",SN64.tsv
