Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
she live in,3,2,"[1, 2, 6]",SCPR.tsv
well,1,9,"[2, 9, 10, 34, 57, 71, 95, 98, 117, 152, 154, 186, 200, 208, 210, 211, 212, 221, 231, 235, 238, 264, 280, 289, 302, 305, 311, 347, 355, 358, 381, 382, 389, 418, 424, 429, 455, 461, 469, 470, 480, 498, 500, 527, 528, 530, 532, 536, 539, 550, 556, 569, 574, 582, 588, 602, 605, 616, 623, 649, 655, 659, 663, 677, 687, 691, 695, 698, 706, 708, 710, 720, 721, 722, 723, 726, 741, 743, 752, 756, 759, 766, 770, 771, 776, 806, 809, 811, 813, 814, 833, 864, 899, 911, 941, 963, 972]",SCPR.tsv
er where,2,154,"[2, 154]",SCPR.tsv
be you gonna,3,212,"[2, 195, 212]",SCPR.tsv
live,1,212,"[2, 6, 212, 214, 957]",SCPR.tsv
be you,2,69,"[2, 69, 143, 195, 212, 237, 286, 376, 451, 462, 477, 482, 494, 516, 545]",SCPR.tsv
gonna,1,144,"[2, 88, 144, 195, 199, 207, 212, 243, 298, 318, 326, 346, 348, 377, 533, 572, 707, 733, 941, 963]",SCPR.tsv
mum,1,124,"[2, 13, 19, 46, 72, 124, 211, 246, 328, 342, 346, 416, 466, 531, 549, 555, 559, 622, 726, 766, 779]",SCPR.tsv
sit,1,243,"[2, 122, 243, 616, 755, 862]",SCPR.tsv
yes,1,394,"[2, 19, 23, 32, 394, 510, 545, 549, 555, 756, 763, 919]",SCPR.tsv
er no,2,919,"[2, 808, 889, 919]",SCPR.tsv
okay,1,475,"[4, 15, 444, 475, 476, 479, 642, 695, 729, 752, 791, 795, 912, 945, 967, 973]",SCPR.tsv
go to,2,9,"[6, 9, 24, 57, 147, 150, 152, 154, 161, 258, 350, 361, 362, 367, 369, 373, 375, 458, 464, 470, 487, 489, 494, 547, 555, 655, 666, 673, 700, 706, 752, 850, 854, 861, 914, 941, 946]",SCPR.tsv
go,1,35,"[6, 8, 9, 24, 35, 57, 63, 78, 102, 143, 147, 148, 150, 152, 154, 161, 164, 242, 246, 249, 251, 257, 258, 276, 298, 348, 350, 355, 361, 362, 366, 367, 369, 373, 375, 436, 437, 451, 452, 453, 455, 457, 458, 461, 463, 464, 466, 470, 475, 486, 487, 489, 491, 494, 512, 520, 547, 555, 569, 655, 666, 673, 681, 683, 685, 693, 700, 706, 719, 743, 752, 756, 799, 818, 846, 850, 854, 861, 866, 907, 914, 916, 921, 934, 937, 941, 943, 946, 949, 961, 963, 974]",SCPR.tsv
but she,2,235,"[6, 235, 734, 770]",SCPR.tsv
uni,1,915,"[6, 752, 914, 915]",SCPR.tsv
up to,2,20,"[8, 20, 130, 844]",SCPR.tsv
i think,2,33,"[8, 33, 41, 152, 173, 182, 198, 243, 298, 299, 427, 478, 594, 602, 646, 687, 690, 801, 808, 818, 880, 914, 916, 938, 959, 963]",SCPR.tsv
think,1,33,"[8, 33, 41, 129, 152, 160, 173, 178, 182, 197, 198, 243, 257, 298, 299, 427, 478, 594, 602, 616, 646, 648, 687, 690, 734, 801, 808, 809, 818, 880, 914, 916, 938, 947, 959, 963]",SCPR.tsv
weekend,1,130,"[8, 23, 37, 130]",SCPR.tsv
so i,2,178,"[8, 178, 180, 309, 436, 745, 752, 759, 771, 870, 905, 907, 959, 963]",SCPR.tsv
at the,2,113,"[8, 57, 113, 569, 749, 911, 932]",SCPR.tsv
he go,2,655,"[8, 655]",SCPR.tsv
so i think,3,959,"[8, 959]",SCPR.tsv
well no,2,382,"[10, 152, 186, 382, 418, 539, 677]",SCPR.tsv
try,1,47,"[13, 47, 49, 127, 387, 572, 846, 909, 963, 967]",SCPR.tsv
it mum,2,726,"[13, 726, 779]",SCPR.tsv
