Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
look,1,1,"[0, 17, 98, 162, 236, 242, 244, 252, 254, 263]","[1, 2, 131, 167, 169, 191, 205, 215, 270, 272, 273, 331, 133]",SZCM.tsv,S0421,S0423
send it,2,14,"[0, 230]","[14, 28, 45]",SZCM.tsv,S0421,S0423
use,1,33,"[0, 3, 73, 98, 100, 126, 314, 320, 322, 352, 360, 371, 387]","[33, 183, 335, 337, 339, 374]",SZCM.tsv,S0421,S0423
send,1,72,"[0, 90, 230]","[72, 93, 110, 225, 227]",SZCM.tsv,S0421,S0423
you're look,2,133,[0],[133],SZCM.tsv,S0421,S0423
much,1,139,[0],"[139, 273]",SZCM.tsv,S0421,S0423
if you're,2,295,[0],[295],SZCM.tsv,S0421,S0423
probably,1,3,"[3, 71, 322, 348, 360, 363]","[2, 133, 195, 382]",SZCM.tsv,S0421,S0423
yeah,1,18,"[3, 40, 44, 67, 77, 81, 94, 126, 134, 136, 146, 150, 158, 162, 178, 180, 188, 190, 196, 198, 204, 208, 212, 216, 218, 224, 234, 236, 248, 250, 256, 261, 269, 271, 288, 296, 300, 304, 306, 312, 318, 324, 326, 330, 334, 336, 338, 342, 344, 379, 383, 410, 412, 418, 420, 422, 428]","[18, 57, 64, 78, 80, 91, 103, 105, 133, 143, 153, 165, 175, 205, 215, 233, 259, 266, 268, 279, 281, 305, 307, 309, 341, 353, 362, 368, 378, 382, 386, 427]",SZCM.tsv,S0421,S0423
to use it,3,33,[3],[33],SZCM.tsv,S0421,S0423
need to,2,72,"[3, 377]","[72, 101, 116]",SZCM.tsv,S0421,S0423
need,1,114,"[3, 98, 119, 377, 397]","[114, 272, 403, 116]",SZCM.tsv,S0421,S0423
never,1,122,"[3, 218, 314]",[122],SZCM.tsv,S0421,S0423
use it,2,183,"[3, 100, 371]",[183],SZCM.tsv,S0421,S0423
oh right,2,31,"[9, 38, 61, 168, 170, 182, 192, 194, 244]","[31, 89, 139, 155, 173, 231, 233, 260, 301, 307, 309, 384, 402, 413, 419]",SZCM.tsv,S0421,S0423
