Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i i,2,53,[0],"[53, 121, 123, 188]",SZAZ.tsv,S0404,S0405
right,1,71,"[0, 201]","[71, 95, 173, 212]",SZAZ.tsv,S0404,S0405
have a,2,212,"[0, 239]","[212, 218]",SZAZ.tsv,S0404,S0405
review,1,13,[2],[13],SZAZ.tsv,S0404,S0405
get,1,39,"[2, 142, 235]","[39, 53, 171, 188, 190, 192, 222, 250, 204]",SZAZ.tsv,S0404,S0405
of the,2,131,"[2, 8, 20, 64, 82, 90, 108, 110, 114, 120, 150, 249]","[131, 256]",SZAZ.tsv,S0404,S0405
to get,2,204,"[2, 142]",[204],SZAZ.tsv,S0404,S0405
way,1,210,"[2, 168, 231]","[210, 218, 246, 248]",SZAZ.tsv,S0404,S0405
the only,2,212,"[2, 140]",[212],SZAZ.tsv,S0404,S0405
yeah,1,6,"[6, 18, 26, 36, 96, 104, 128, 130, 146, 152, 154, 156, 160, 172, 221, 227, 233, 241, 247]","[1, 3, 9, 15, 19, 21, 23, 25, 27, 37, 41, 47, 49, 51, 55, 57, 61, 63, 67, 69, 73, 75, 77, 79, 81, 83, 85, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 113, 115, 117, 123, 125, 131, 133, 137, 139, 141, 143, 145, 147, 149, 151, 157, 159, 161, 163, 165, 167, 169, 173, 175, 176, 178, 184, 186, 188, 194, 196, 198, 200, 202, 206, 214, 220, 222, 224, 230, 232, 234, 236, 238, 240, 244, 246, 248, 250, 254, 256, 258, 260]",SZAZ.tsv,S0404,S0405
to you,2,182,"[8, 166]",[182],SZAZ.tsv,S0404,S0405
you you,2,202,[8],[202],SZAZ.tsv,S0404,S0405
concept,1,11,[10],"[11, 153, 190]",SZAZ.tsv,S0404,S0405
watch the,2,12,[12],[5],SZAZ.tsv,S0404,S0405
even,1,12,"[12, 231, 235]","[5, 226, 240]",SZAZ.tsv,S0404,S0405
i don't,2,15,"[12, 68, 156, 207]","[15, 121, 123, 192, 59]",SZAZ.tsv,S0404,S0405
know,1,39,"[12, 22, 24, 26, 36, 60, 64, 68, 70, 132, 156, 166, 255]","[39, 47, 55, 59, 123, 151, 153, 155, 182, 188, 190, 202, 204, 210, 212, 240, 256]",SZAZ.tsv,S0404,S0405
you i,2,41,[12],[41],SZAZ.tsv,S0404,S0405
watch,1,41,"[12, 16]",[41],SZAZ.tsv,S0404,S0405
i don't know,3,59,"[12, 68, 156]",[59],SZAZ.tsv,S0404,S0405
in the,2,59,"[12, 62, 78, 108, 110, 120, 150, 193]","[59, 123, 151, 210, 218]",SZAZ.tsv,S0404,S0405
go,1,61,"[12, 46, 50, 76, 138, 179, 183, 231, 245, 249]","[61, 103, 135, 153, 242, 246, 256]",SZAZ.tsv,S0404,S0405
maybe,1,125,"[12, 20, 98, 124, 126, 231]",[125],SZAZ.tsv,S0404,S0405
you i don't,3,192,[12],[192],SZAZ.tsv,S0404,S0405
don't know,2,256,"[12, 68, 156]",[256],SZAZ.tsv,S0404,S0405
that would be the fairest review,6,14,[14],[13],SZAZ.tsv,S0404,S0405
believe,1,127,"[14, 201]","[127, 151, 192, 218]",SZAZ.tsv,S0404,S0405
would,1,151,"[14, 26, 189, 229, 239, 257]","[151, 210, 230, 256]",SZAZ.tsv,S0404,S0405
i believe,2,212,"[14, 201]",[212],SZAZ.tsv,S0404,S0405
would be,2,256,[14],[256],SZAZ.tsv,S0404,S0405
trailers,1,16,[16],[5],SZAZ.tsv,S0404,S0405
cos,1,41,"[16, 144]","[41, 129, 145, 153, 188, 222]",SZAZ.tsv,S0404,S0405
what your friends say,4,18,[18],[17],SZAZ.tsv,S0404,S0405
say,1,18,"[18, 166, 249]","[17, 127, 131, 256]",SZAZ.tsv,S0404,S0405
actors,1,53,[18],[53],SZAZ.tsv,S0404,S0405
what the,2,171,"[18, 168]",[171],SZAZ.tsv,S0404,S0405
pre,1,21,[20],[21],SZAZ.tsv,S0404,S0405
a a,2,240,[20],"[240, 256]",SZAZ.tsv,S0404,S0405
i mean,2,22,"[22, 183, 231, 241]","[3, 41, 59, 125, 127, 131, 151, 190, 222, 240]",SZAZ.tsv,S0404,S0405
you know,2,59,"[22, 24, 60, 64, 132]","[59, 151, 153, 155, 182, 188, 190, 202, 204, 210, 212, 240]",SZAZ.tsv,S0404,S0405
who you know,3,151,[22],[151],SZAZ.tsv,S0404,S0405
course,1,53,[24],"[53, 125]",SZAZ.tsv,S0404,S0405
of course,2,57,[24],[57],SZAZ.tsv,S0404,S0405
alright,1,29,"[28, 30, 32]","[29, 31]",SZAZ.tsv,S0404,S0405
love,1,190,"[28, 58, 177]","[190, 192, 202]",SZAZ.tsv,S0404,S0405
and i,2,210,[28],[210],SZAZ.tsv,S0404,S0405
they're alright,2,30,[30],[29],SZAZ.tsv,S0404,S0405
they're,1,59,"[30, 58]","[59, 125, 182, 202, 210]",SZAZ.tsv,S0404,S0405
just alright,2,32,[32],[31],SZAZ.tsv,S0404,S0405
her act,2,34,[34],[33],SZAZ.tsv,S0404,S0405
of her,2,34,[34],"[33, 41]",SZAZ.tsv,S0404,S0405
see,1,53,[34],"[53, 87]",SZAZ.tsv,S0404,S0405
i haven't,2,65,[34],[65],SZAZ.tsv,S0404,S0405
yeah i,2,36,"[36, 241]","[3, 123, 125, 131, 244]",SZAZ.tsv,S0404,S0405
i know,2,39,"[36, 70]","[39, 55, 47, 123]",SZAZ.tsv,S0404,S0405
yeah i know,3,47,[36],"[47, 123]",SZAZ.tsv,S0404,S0405
emma watson,2,40,[40],[39],SZAZ.tsv,S0404,S0405
never,1,145,[44],"[145, 151]",SZAZ.tsv,S0404,S0405
to be,2,59,"[46, 56, 156, 158, 166, 253]","[59, 188, 210, 212, 256]",SZAZ.tsv,S0404,S0405
always,1,131,"[46, 58]",[131],SZAZ.tsv,S0404,S0405
go to,2,153,"[46, 50, 179]",[153],SZAZ.tsv,S0404,S0405
oxford,1,50,[50],[49],SZAZ.tsv,S0404,S0405
really,1,52,"[52, 60]","[39, 123, 250]",SZAZ.tsv,S0404,S0405
that's,1,54,"[54, 160, 187, 249]","[15, 35, 53, 115, 119, 159, 188, 202, 204, 212, 244, 256]",SZAZ.tsv,S0404,S0405
beautiful,1,54,"[54, 58]",[53],SZAZ.tsv,S0404,S0405
make,1,210,[54],"[210, 218]",SZAZ.tsv,S0404,S0405
it can be,3,57,[56],[57],SZAZ.tsv,S0404,S0405
have to,2,188,"[56, 136, 156]",[188],SZAZ.tsv,S0404,S0405
someone,1,202,[58],[202],SZAZ.tsv,S0404,S0405
if you,2,234,"[58, 170, 179, 183, 235, 245, 255]",[234],SZAZ.tsv,S0404,S0405
what do you,3,60,[60],[33],SZAZ.tsv,S0404,S0405
do you,2,60,"[60, 179, 255]","[33, 41, 188]",SZAZ.tsv,S0404,S0405
you know er,3,60,[60],[59],SZAZ.tsv,S0404,S0405
islam,1,145,"[60, 62, 120, 136]","[145, 153]",SZAZ.tsv,S0404,S0405
can't,1,151,[60],[151],SZAZ.tsv,S0404,S0405
know what,2,182,[60],[182],SZAZ.tsv,S0404,S0405
religion,1,226,"[60, 62, 142, 235]",[226],SZAZ.tsv,S0404,S0405
be the,2,62,"[62, 84, 193]",[13],SZAZ.tsv,S0404,S0405
the middle,2,62,[62],[59],SZAZ.tsv,S0404,S0405
islam be,2,153,"[62, 120]",[153],SZAZ.tsv,S0404,S0405
the world,2,256,"[62, 108, 120]",[256],SZAZ.tsv,S0404,S0405
it be,2,256,"[64, 94]",[256],SZAZ.tsv,S0404,S0405
well,1,66,"[66, 162, 174, 193, 203, 215]","[41, 59, 186, 220, 256]",SZAZ.tsv,S0404,S0405
like,1,68,"[68, 70, 96, 166, 205, 209, 215, 221, 229, 231, 237]","[15, 39, 123, 155, 188, 210, 212, 256]",SZAZ.tsv,S0404,S0405
think,1,70,"[70, 106, 179, 185, 205, 207, 223, 239, 255]","[33, 123, 188, 244, 39, 53]",SZAZ.tsv,S0404,S0405
i think,2,70,"[70, 106, 223]","[39, 53, 123, 188, 244]",SZAZ.tsv,S0404,S0405
but i,2,70,[70],"[53, 123, 190]",SZAZ.tsv,S0404,S0405
something,1,70,"[70, 106]","[53, 208]",SZAZ.tsv,S0404,S0405
think it,2,123,[70],[123],SZAZ.tsv,S0404,S0405
no i,2,127,[70],[127],SZAZ.tsv,S0404,S0405
like the,2,256,"[70, 231]",[256],SZAZ.tsv,S0404,S0405
but erm,2,72,[72],[55],SZAZ.tsv,S0404,S0405
lot of,2,76,[76],[53],SZAZ.tsv,S0404,S0405
go on,2,76,[76],"[61, 103, 135, 256]",SZAZ.tsv,S0404,S0405
the middle east,3,78,"[78, 90]",[59],SZAZ.tsv,S0404,S0405
africa,1,78,"[78, 88]",[59],SZAZ.tsv,S0404,S0405
name,1,151,"[84, 86, 106]",[151],SZAZ.tsv,S0404,S0405
the the,2,256,"[84, 193]",[256],SZAZ.tsv,S0404,S0405
all of,2,240,"[88, 90, 94]",[240],SZAZ.tsv,S0404,S0405
christian,1,151,"[94, 193, 205]","[151, 190]",SZAZ.tsv,S0404,S0405
time,1,250,[94],[250],SZAZ.tsv,S0404,S0405
the crusade,2,96,[96],[95],SZAZ.tsv,S0404,S0405
and the,2,153,"[104, 142]",[153],SZAZ.tsv,S0404,S0405
yeah and,2,220,"[104, 221]",[220],SZAZ.tsv,S0404,S0405
extent,1,106,[106],[5],SZAZ.tsv,S0404,S0405
nations,1,108,[108],[59],SZAZ.tsv,S0404,S0405
of a,2,123,[108],[123],SZAZ.tsv,S0404,S0405
modern,1,151,"[108, 110, 112, 114]",[151],SZAZ.tsv,S0404,S0405
day,1,110,"[110, 112]",[59],SZAZ.tsv,S0404,S0405
things,1,113,"[110, 215, 229]","[113, 125, 210]",SZAZ.tsv,S0404,S0405
the time,2,250,[114],[250],SZAZ.tsv,S0404,S0405
and they,2,116,[116],[59],SZAZ.tsv,S0404,S0405
religious,1,192,"[116, 118]","[192, 240]",SZAZ.tsv,S0404,S0405
view,1,120,"[120, 160]","[41, 123, 188, 226]",SZAZ.tsv,S0404,S0405
religions,1,155,[120],[155],SZAZ.tsv,S0404,S0405
a turn,2,123,[122],[123],SZAZ.tsv,S0404,S0405
take,1,123,[122],"[123, 202, 226]",SZAZ.tsv,S0404,S0405
turn,1,190,[122],"[190, 202]",SZAZ.tsv,S0404,S0405
i'm,1,127,"[124, 211]",[127],SZAZ.tsv,S0404,S0405
people,1,126,"[126, 128, 174, 193, 195, 209, 229, 231, 235, 239]","[125, 127, 145, 151, 182, 190, 202, 204, 210, 212, 218, 242, 256]",SZAZ.tsv,S0404,S0405
people believe that,3,128,[128],[127],SZAZ.tsv,S0404,S0405
too many,2,129,[128],[129],SZAZ.tsv,S0404,S0405
believe that,2,151,[128],"[151, 192, 218]",SZAZ.tsv,S0404,S0405
many,1,226,[128],[226],SZAZ.tsv,S0404,S0405
at the,2,132,[132],[59],SZAZ.tsv,S0404,S0405
the imam,2,135,"[134, 136]",[135],SZAZ.tsv,S0404,S0405
ask,1,202,"[134, 136]",[202],SZAZ.tsv,S0404,S0405
erm do,2,136,[136],[41],SZAZ.tsv,S0404,S0405
follow the,2,153,"[136, 140]",[153],SZAZ.tsv,S0404,S0405
follow,1,212,"[136, 140, 158]",[212],SZAZ.tsv,S0404,S0405
heaven,1,151,"[138, 142, 179]","[151, 192]",SZAZ.tsv,S0404,S0405
to go to,3,153,[138],[153],SZAZ.tsv,S0404,S0405
thing,1,140,"[140, 193]","[49, 55]",SZAZ.tsv,S0404,S0405
need to,2,242,"[140, 158, 166]",[242],SZAZ.tsv,S0404,S0405
get to,2,188,[142],[188],SZAZ.tsv,S0404,S0405
that be,2,144,"[144, 187, 213]","[125, 127, 151, 188]",SZAZ.tsv,S0404,S0405
flaw,1,188,"[144, 189]",[188],SZAZ.tsv,S0404,S0405
then it,2,246,[144],[246],SZAZ.tsv,S0404,S0405
what about,2,146,[146],"[145, 202]",SZAZ.tsv,S0404,S0405
twenty,1,150,[150],[45],SZAZ.tsv,S0404,S0405
century,1,150,[150],[97],SZAZ.tsv,S0404,S0405
find,1,188,"[152, 185]",[188],SZAZ.tsv,S0404,S0405
fair,1,154,[154],[151],SZAZ.tsv,S0404,S0405
yeah it's not,3,240,[154],[240],SZAZ.tsv,S0404,S0405
yeah it's,2,248,[154],"[248, 250]",SZAZ.tsv,S0404,S0405
person,1,156,"[156, 170, 172, 174, 207]","[53, 171]",SZAZ.tsv,S0404,S0405
good,1,156,"[156, 160]","[139, 159, 190, 250, 188]",SZAZ.tsv,S0404,S0405
teach,1,156,"[156, 172, 174, 179]","[153, 171]",SZAZ.tsv,S0404,S0405
be a good,3,188,[156],[188],SZAZ.tsv,S0404,S0405
to be a,3,212,[156],"[212, 256]",SZAZ.tsv,S0404,S0405
be a,2,256,"[156, 174]",[256],SZAZ.tsv,S0404,S0405
god,1,158,[158],[29],SZAZ.tsv,S0404,S0405
everyone,1,202,"[158, 162]",[202],SZAZ.tsv,S0404,S0405
path,1,246,[158],[246],SZAZ.tsv,S0404,S0405
yeah that's,2,160,[160],"[15, 115]",SZAZ.tsv,S0404,S0405
view of,2,160,[160],[123],SZAZ.tsv,S0404,S0405
yeah that's good,3,160,[160],[159],SZAZ.tsv,S0404,S0405
a good,2,188,[160],[188],SZAZ.tsv,S0404,S0405
of it,2,226,[160],[226],SZAZ.tsv,S0404,S0405
i'd,1,166,[166],[131],SZAZ.tsv,S0404,S0405
but what,2,202,[166],[202],SZAZ.tsv,S0404,S0405
that you,2,210,"[166, 174]",[210],SZAZ.tsv,S0404,S0405
that the,2,218,[166],[218],SZAZ.tsv,S0404,S0405
here i,2,170,[170],[59],SZAZ.tsv,S0404,S0405
i be,2,170,[170],[59],SZAZ.tsv,S0404,S0405
what if,2,188,[170],[188],SZAZ.tsv,S0404,S0405
the person that,3,172,[172],[171],SZAZ.tsv,S0404,S0405
the same,2,210,[174],[210],SZAZ.tsv,S0404,S0405
as long as,3,212,[174],[212],SZAZ.tsv,S0404,S0405
and be,2,190,[177],[190],SZAZ.tsv,S0404,S0405
