Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
might,1,3,"[0, 164, 265, 497, 561, 782]","[3, 129, 380, 789, 471]",SMPU.tsv,S0588,S0589
make,1,30,"[0, 36, 172, 223, 243, 343, 428, 432, 464, 582, 858]","[30, 52, 310, 368, 660, 684, 380, 707]",SMPU.tsv,S0588,S0589
cup,1,48,"[0, 428]",[48],SMPU.tsv,S0588,S0589
in a,2,50,[0],"[50, 117]",SMPU.tsv,S0588,S0589
make a,2,380,"[0, 428]","[380, 707]",SMPU.tsv,S0588,S0589
i might,2,471,"[0, 782]",[471],SMPU.tsv,S0588,S0589
have you,2,336,"[2, 299, 428, 882]","[336, 386, 457, 459, 463]",SMPU.tsv,S0588,S0589
end,1,7,"[4, 67, 111, 718]","[7, 485]",SMPU.tsv,S0588,S0589
get,1,12,"[4, 13, 23, 65, 67, 146, 192, 223, 269, 291, 299, 311, 321, 325, 359, 361, 405, 428, 497, 545, 551, 564, 594, 596, 608, 618, 622, 640, 673, 695, 701, 732, 734, 738, 772, 784, 817, 837, 839, 849, 882]","[12, 16, 26, 42, 84, 88, 125, 133, 159, 270, 310, 360, 425, 514, 538, 621, 654, 662, 678, 686, 846, 869, 871, 358, 567, 643, 680, 881]",SMPU.tsv,S0588,S0589
the end,2,104,"[4, 111, 718]",[104],SMPU.tsv,S0588,S0589
bite,1,173,"[4, 21, 136, 184, 271, 752]","[173, 370, 408, 834]",SMPU.tsv,S0588,S0589
get a,2,358,"[4, 192, 223, 325, 564, 732, 734, 738, 772, 784, 817, 837, 882]","[358, 567, 643, 680]",SMPU.tsv,S0588,S0589
at the,2,518,"[4, 345, 657, 718]","[518, 536, 589, 698, 765]",SMPU.tsv,S0588,S0589
he's get,2,881,"[4, 882]",[881],SMPU.tsv,S0588,S0589
he's,1,883,"[4, 780, 882]","[883, 885]",SMPU.tsv,S0588,S0589
but i,2,46,"[6, 17, 75, 99, 184, 782, 872, 878]","[46, 108, 869]",SMPU.tsv,S0588,S0589
do it,2,112,"[6, 13, 75, 321]","[112, 218, 479]",SMPU.tsv,S0588,S0589
even,1,165,"[6, 36, 399, 488, 730, 738]",[165],SMPU.tsv,S0588,S0589
know,1,104,"[9, 31, 36, 69, 99, 105, 154, 186, 293, 363, 440, 442, 462, 555, 817, 827, 868]","[104, 560, 585, 626, 634, 678, 813, 828, 869, 807]",SMPU.tsv,S0588,S0589
i know,2,807,"[9, 31, 442]","[807, 828]",SMPU.tsv,S0588,S0589
