Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
get,1,41,"[0, 20, 29, 33, 41, 73, 91, 151, 154, 162, 165, 185, 188, 191, 192, 204, 213, 219, 229, 234, 237, 265, 290, 291, 311, 315, 318, 332, 334, 338, 344, 357, 365, 369, 388, 402, 430, 445, 461, 462, 469, 472, 478, 483, 492, 508, 530, 591, 605, 606, 608, 623, 641, 691, 705, 716, 722, 725, 726, 740, 744, 753, 767, 780, 814, 816, 820, 866, 896, 909, 911, 913, 929, 936, 941, 1049, 1061, 1077, 1085, 1112, 1180, 1185, 1189, 1217, 1219, 1225, 1259, 1271, 1274, 1275, 1285, 1291, 1292, 1293, 1301, 1318, 1324, 1325, 1327, 1354, 1368, 1403, 1405, 1412, 1445, 1447, 1450, 1458, 1475, 1477, 1480, 1496, 1498, 1502, 1540, 1541, 1572, 1575, 1582, 1586, 1601, 1627, 1629, 1654, 1671, 1707, 1715, 1739, 1759, 1771, 1781, 1793, 1798, 1799, 1836, 1843, 1919, 1936, 1940, 1972, 1988, 2011, 2014, 2016, 2020, 2026, 2060, 2066, 2068, 2069, 2071, 2074, 2076, 2080, 2082, 2092, 2099, 2101, 2112, 2117, 2163, 2166, 2171, 2183, 2208, 2237, 2239, 2264, 2267, 2268, 2272, 2274, 2277, 2289, 2291, 2317, 2321, 2348, 2353, 2388, 2391, 2405]",SP62.tsv
get a,2,188,"[0, 33, 73, 188, 311, 315, 332, 388, 716, 726, 767, 820, 909, 1185, 1189, 1293, 1475, 1477, 1502, 1572, 1575, 2020, 2060, 2068, 2112, 2237, 2239, 2264, 2289, 2291, 2391]",SP62.tsv
no i,2,1035,"[0, 33, 73, 209, 394, 1035, 1176, 1305, 1377, 1704, 2290, 2381]",SP62.tsv
yeah,1,19,"[3, 5, 19, 23, 26, 28, 36, 38, 44, 47, 48, 59, 62, 76, 87, 94, 101, 132, 149, 152, 170, 171, 197, 199, 207, 212, 213, 215, 217, 218, 228, 230, 234, 235, 239, 242, 250, 258, 260, 262, 263, 265, 270, 272, 289, 291, 293, 294, 298, 301, 303, 305, 316, 319, 323, 333, 335, 337, 341, 343, 350, 353, 358, 360, 364, 369, 378, 381, 383, 385, 395, 399, 401, 403, 416, 426, 428, 434, 437, 449, 471, 472, 473, 484, 488, 494, 509, 511, 513, 514, 518, 519, 523, 525, 533, 538, 539, 541, 556, 559, 574, 579, 580, 583, 584, 586, 590, 596, 600, 604, 605, 607, 609, 613, 615, 619, 621, 624, 628, 630, 631, 632, 635, 637, 639, 649, 662, 663, 665, 673, 679, 689, 694, 701, 706, 708, 711, 713, 720, 722, 727, 731, 733, 739, 756, 759, 763, 764, 765, 770, 778, 788, 798, 804, 806, 810, 812, 817, 825, 833, 839, 840, 841, 843, 845, 847, 851, 852, 855, 859, 864, 866, 878, 880, 886, 889, 893, 894, 898, 899, 914, 920, 921, 926, 931, 933, 934, 937, 944, 946, 949, 955, 959, 961, 963, 964, 966, 968, 976, 980, 981, 988, 991, 993, 996, 1001, 1010, 1015, 1024, 1028, 1030, 1043, 1055, 1059, 1061, 1068, 1069, 1077, 1082, 1099, 1110, 1111, 1115, 1121, 1128, 1131, 1134, 1148, 1156, 1171, 1177, 1183, 1184, 1198, 1203, 1207, 1211, 1212, 1216, 1222, 1223, 1228, 1230, 1231, 1235, 1236, 1239, 1241, 1243, 1248, 1258, 1260, 1262, 1263, 1281, 1283, 1285, 1287, 1292, 1294, 1295, 1300, 1307, 1328, 1331, 1345, 1349, 1350, 1351, 1354, 1355, 1359, 1367, 1369, 1379, 1381, 1385, 1400, 1404, 1406, 1408, 1413, 1417, 1424, 1426, 1433, 1437, 1441, 1448, 1453, 1457, 1461, 1465, 1468, 1470, 1478, 1479, 1481, 1490, 1492, 1494, 1496, 1500, 1510, 1512, 1514, 1515, 1520, 1522, 1524, 1528, 1531, 1539, 1545, 1549, 1551, 1561, 1563, 1565, 1568, 1573, 1574, 1579, 1580, 1587, 1590, 1595, 1600, 1603, 1606, 1608, 1611, 1613, 1616, 1619, 1621, 1622, 1624, 1626, 1631, 1632, 1633, 1635, 1642, 1644, 1649, 1650, 1658, 1668, 1675, 1683, 1687, 1696, 1713, 1717, 1726, 1728, 1735, 1740, 1750, 1751, 1752, 1757, 1763, 1764, 1765, 1771, 1774, 1775, 1776, 1780, 1782, 1786, 1791, 1794, 1795, 1810, 1812, 1814, 1819, 1825, 1828, 1830, 1831, 1838, 1839, 1843, 1846, 1862, 1863, 1867, 1873, 1875, 1876, 1880, 1886, 1887, 1890, 1898, 1899, 1900, 1904, 1915, 1920, 1923, 1931, 1937, 1939, 1942, 1957, 1959, 1967, 1972, 1975, 1976, 2002, 2009, 2012, 2014, 2015, 2017, 2019, 2021, 2023, 2025, 2027, 2031, 2033, 2035, 2037, 2045, 2059, 2061, 2063, 2068, 2072, 2077, 2087, 2091, 2097, 2100, 2102, 2103, 2106, 2107, 2119, 2128, 2129, 2139, 2141, 2145, 2147, 2150, 2152, 2155, 2158, 2160, 2162, 2167, 2168, 2169, 2170, 2171, 2176, 2180, 2182, 2184, 2188, 2189, 2191, 2193, 2202, 2204, 2206, 2215, 2218, 2221, 2225, 2227, 2232, 2239, 2251, 2254, 2259, 2260, 2265, 2272, 2275, 2279, 2283, 2297, 2299, 2301, 2305, 2316, 2318, 2329, 2331, 2332, 2333, 2336, 2341, 2343, 2354, 2358, 2365, 2371, 2374, 2384, 2385, 2387, 2394, 2407, 2408, 2411, 2416, 2419, 2420, 2423, 2427, 2433]",SP62.tsv
it be,2,242,"[5, 7, 151, 242, 286, 435, 483, 536, 595, 692, 695, 770, 807, 809, 897, 905, 1012, 1017, 1034, 1035, 1036, 1061, 1176, 1189, 1199, 1202, 1207, 1289, 1484, 1496, 1543, 1557, 1668, 1756, 1780, 1788, 1789, 1790, 1798, 1849, 1853, 1860, 1872, 1907, 1929, 2023, 2024, 2192, 2198, 2266, 2296, 2357, 2379, 2423]",SP62.tsv
go,1,152,"[5, 31, 99, 152, 159, 160, 182, 216, 249, 259, 265, 267, 270, 280, 283, 318, 338, 339, 349, 354, 361, 369, 373, 375, 382, 461, 494, 496, 499, 500, 515, 530, 536, 553, 554, 555, 558, 572, 577, 582, 597, 615, 623, 645, 707, 723, 724, 727, 728, 734, 746, 753, 755, 760, 777, 820, 906, 909, 915, 916, 917, 936, 939, 948, 962, 971, 973, 1008, 1018, 1047, 1067, 1124, 1176, 1178, 1181, 1182, 1191, 1194, 1208, 1221, 1230, 1242, 1256, 1282, 1299, 1305, 1306, 1307, 1313, 1316, 1364, 1384, 1431, 1496, 1525, 1526, 1527, 1530, 1535, 1548, 1572, 1589, 1626, 1684, 1686, 1701, 1703, 1705, 1707, 1709, 1714, 1716, 1718, 1722, 1755, 1768, 1769, 1777, 1779, 1780, 1785, 1786, 1798, 1800, 1802, 1808, 1838, 1843, 1848, 1850, 1879, 1889, 1940, 1952, 2018, 2028, 2040, 2046, 2099, 2108, 2122, 2124, 2138, 2214, 2247, 2313, 2366, 2369, 2401, 2412, 2418, 2431]",SP62.tsv
it be a,3,809,"[5, 809, 1017, 1668, 1872]",SP62.tsv
be a,2,32,"[5, 32, 112, 130, 151, 178, 229, 249, 259, 338, 339, 352, 419, 442, 633, 639, 666, 809, 862, 954, 1017, 1060, 1121, 1185, 1284, 1306, 1397, 1480, 1625, 1627, 1668, 1765, 1871, 1872, 1932, 1950, 2117, 2326]",SP62.tsv
make,1,9,"[7, 9, 259, 278, 280, 281, 292, 455, 504, 930, 936, 1501, 1527, 1557, 1572, 1627, 1671, 1691, 1695, 1715, 1719, 2004]",SP62.tsv
when the,2,452,"[7, 452, 882, 927, 1626]",SP62.tsv
