Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
a,1,11,"[0, 11, 17, 37, 38, 45, 93, 98, 100, 101, 103, 105, 109, 110, 118, 119, 120, 137, 139, 141, 149, 155, 157, 163, 168, 169, 173, 175, 186, 187, 204, 229, 246, 258, 270, 274, 281, 283, 284, 286, 287, 288, 290, 292, 298, 335, 348, 357, 358, 361, 373, 375, 407, 411, 412, 427, 435, 438, 455, 457, 462, 467, 473, 478, 483, 491, 493, 504, 508, 512, 520, 526, 530, 534, 535, 548, 554, 572, 574, 582, 595, 640, 645, 647, 715, 716, 718, 730, 734, 741, 742, 759, 771, 775, 777, 783, 785, 791, 793, 797, 801, 803, 805, 806, 807, 809, 820, 830, 837, 839, 856, 864, 886, 887, 924, 926, 934, 944, 947, 976, 979, 980, 1002, 1004, 1013, 1018, 1027, 1033, 1041, 1051, 1054, 1056, 1057, 1058, 1082, 1085, 1092, 1096, 1100, 1104, 1112, 1114, 1121, 1133, 1136, 1167, 1189, 1190, 1196, 1211, 1215, 1219, 1245, 1247, 1257, 1261, 1265, 1268, 1278, 1283, 1289, 1290, 1307, 1310, 1330, 1338, 1339, 1356, 1361, 1364, 1379, 1380, 1382, 1433, 1438, 1449, 1472, 1486, 1491, 1493, 1500, 1546, 1547, 1551, 1552]",ST82.tsv
of,1,16,"[0, 16, 17, 40, 107, 110, 128, 135, 139, 141, 149, 155, 163, 185, 187, 200, 204, 249, 258, 323, 327, 331, 348, 362, 363, 368, 403, 407, 411, 430, 435, 478, 487, 489, 503, 504, 505, 508, 558, 572, 574, 581, 584, 597, 635, 647, 652, 668, 673, 703, 722, 741, 761, 797, 812, 844, 849, 853, 878, 885, 888, 911, 953, 965, 970, 979, 1028, 1044, 1051, 1054, 1056, 1089, 1109, 1130, 1139, 1141, 1201, 1211, 1229, 1261, 1268, 1280, 1325, 1327, 1349, 1351, 1353, 1371, 1375, 1377, 1378, 1387, 1413, 1432, 1503, 1552]",ST82.tsv
want,1,5,"[0, 5, 37, 98, 229, 238, 239, 368, 406, 427, 451, 507, 508, 512, 530, 640, 657, 1006, 1026, 1034, 1050, 1082, 1125, 1177, 1181, 1186, 1202, 1203, 1232, 1239, 1293, 1491]",ST82.tsv
then,1,8,"[0, 8, 28, 69, 80, 109, 139, 155, 165, 185, 196, 217, 237, 272, 275, 316, 335, 343, 430, 451, 453, 466, 489, 548, 579, 616, 621, 631, 663, 699, 722, 755, 759, 798, 808, 813, 887, 929, 932, 949, 954, 970, 1008, 1038, 1041, 1044, 1051, 1098, 1100, 1111, 1112, 1121, 1123, 1134, 1153, 1154, 1167, 1194, 1198, 1226, 1254, 1268, 1298, 1356, 1381, 1403, 1470, 1472, 1481, 1487, 1491, 1504]",ST82.tsv
who,1,223,"[0, 223, 245, 518, 790, 1054, 1069, 1374]",ST82.tsv
i'll,1,2,"[1, 2, 155, 246, 530, 1041, 1043, 1112, 1189, 1194, 1204, 1246, 1247, 1256, 1403]",ST82.tsv
okay,1,7,"[2, 6, 7, 142, 170, 206, 228, 334, 385, 442, 488, 519, 527, 702, 704, 731, 759, 773, 928, 1032, 1079, 1131, 1169, 1171, 1179, 1183, 1206, 1210, 1291, 1301, 1360, 1444]",ST82.tsv
erm,1,29,"[2, 29, 62, 78, 80, 84, 92, 98, 139, 147, 173, 175, 212, 217, 249, 276, 316, 398, 414, 430, 451, 478, 487, 491, 493, 506, 508, 526, 530, 551, 589, 759, 761, 832, 976, 998, 1000, 1039, 1041, 1048, 1056, 1061, 1068, 1130, 1196, 1205, 1211, 1228, 1413, 1439, 1464, 1518]",ST82.tsv
no,1,4,"[3, 4, 15, 30, 38, 72, 109, 117, 121, 137, 151, 157, 159, 169, 173, 185, 210, 215, 224, 226, 244, 287, 289, 316, 354, 365, 369, 383, 384, 385, 389, 392, 401, 402, 428, 439, 440, 456, 466, 504, 515, 516, 526, 533, 541, 572, 582, 590, 595, 609, 628, 629, 639, 640, 648, 701, 749, 779, 820, 831, 839, 840, 870, 871, 875, 902, 904, 907, 908, 949, 952, 969, 977, 998, 1017, 1045, 1059, 1094, 1097, 1119, 1172, 1178, 1179, 1187, 1224, 1236, 1266, 1280, 1330, 1332, 1357, 1388, 1412, 1414, 1446, 1449, 1494, 1518, 1536, 1537, 1538, 1539]",ST82.tsv
nothing,1,779,"[4, 779, 840, 994, 1147, 1187, 1188]",ST82.tsv
for,1,114,"[23, 58, 99, 114, 155, 166, 186, 206, 242, 290, 307, 309, 312, 427, 430, 453, 491, 507, 514, 520, 631, 638, 663, 715, 791, 798, 806, 837, 839, 918, 947, 953, 981, 1016, 1085, 1100, 1109, 1112, 1123, 1144, 1172, 1183, 1186, 1194, 1198, 1266, 1338, 1339, 1372, 1413, 1453, 1522, 1552]",ST82.tsv
you,1,114,"[5, 14, 23, 29, 31, 35, 37, 38, 40, 41, 63, 64, 69, 71, 74, 83, 87, 91, 98, 99, 105, 112, 114, 115, 120, 136, 142, 147, 150, 155, 156, 175, 183, 185, 186, 196, 198, 207, 210, 214, 225, 229, 237, 238, 241, 246, 261, 274, 316, 323, 325, 327, 331, 333, 343, 350, 365, 368, 379, 381, 382, 384, 395, 397, 414, 419, 425, 427, 430, 432, 435, 449, 451, 453, 455, 457, 462, 467, 472, 474, 475, 480, 483, 492, 499, 507, 513, 523, 525, 529, 535, 541, 542, 548, 563, 564, 575, 607, 620, 622, 624, 627, 635, 638, 640, 642, 644, 646, 647, 648, 650, 655, 657, 663, 675, 676, 686, 688, 690, 700, 737, 738, 739, 743, 745, 747, 748, 749, 752, 759, 761, 764, 767, 779, 781, 783, 785, 791, 793, 797, 798, 808, 812, 819, 826, 829, 830, 832, 839, 847, 852, 862, 867, 876, 879, 885, 887, 894, 902, 906, 924, 929, 930, 931, 945, 946, 948, 950, 951, 958, 969, 972, 985, 990, 997, 999, 1000, 1008, 1011, 1016, 1018, 1022, 1024, 1025, 1026, 1038, 1042, 1043, 1044, 1047, 1050, 1051, 1053, 1077, 1082, 1094, 1098, 1103, 1124, 1125, 1137, 1140, 1145, 1146, 1150, 1169, 1176, 1177, 1179, 1181, 1186, 1190, 1191, 1194, 1196, 1203, 1204, 1211, 1212, 1213, 1215, 1219, 1226, 1232, 1239, 1247, 1249, 1250, 1257, 1261, 1263, 1271, 1274, 1293, 1330, 1343, 1347, 1348, 1349, 1351, 1354, 1355, 1358, 1373, 1375, 1377, 1387, 1391, 1396, 1397, 1403, 1404, 1420, 1432, 1449, 1457, 1461, 1463, 1472, 1498, 1518, 1520, 1522, 1525, 1536, 1538, 1540]",ST82.tsv
it,1,116,"[15, 17, 21, 23, 27, 28, 42, 44, 45, 53, 56, 59, 64, 68, 72, 75, 78, 93, 98, 116, 119, 130, 137, 139, 147, 158, 170, 171, 186, 204, 209, 233, 242, 244, 246, 255, 258, 259, 261, 268, 274, 282, 284, 287, 296, 297, 305, 315, 343, 363, 366, 373, 378, 383, 388, 389, 397, 399, 400, 403, 404, 405, 412, 413, 421, 427, 428, 430, 435, 451, 452, 456, 459, 460, 461, 462, 463, 466, 470, 507, 508, 509, 534, 537, 539, 541, 563, 593, 595, 603, 620, 631, 633, 634, 661, 666, 670, 673, 674, 676, 685, 687, 705, 715, 716, 735, 736, 737, 749, 763, 765, 777, 779, 782, 783, 785, 791, 793, 794, 796, 797, 802, 803, 805, 807, 809, 811, 813, 825, 832, 837, 838, 839, 841, 842, 844, 845, 846, 858, 862, 886, 888, 892, 900, 907, 909, 913, 920, 928, 934, 941, 945, 948, 953, 954, 976, 983, 988, 1012, 1015, 1051, 1061, 1072, 1082, 1086, 1109, 1212, 1235, 1237, 1257, 1264, 1277, 1280, 1282, 1304, 1306, 1307, 1308, 1310, 1317, 1321, 1329, 1330, 1333, 1335, 1337, 1338, 1340, 1341, 1342, 1343, 1356, 1358, 1365, 1366, 1399, 1413, 1419, 1436, 1438, 1439, 1440, 1445, 1449, 1450, 1451, 1454, 1456, 1462, 1466, 1478, 1479, 1485, 1487, 1488, 1492, 1493, 1494, 1495, 1500, 1508, 1514, 1525, 1526, 1540, 1543, 1546, 1547, 1551, 1553]",ST82.tsv
get,1,116,"[17, 19, 38, 40, 62, 69, 116, 149, 163, 175, 183, 186, 196, 204, 206, 207, 210, 217, 229, 237, 274, 316, 322, 327, 331, 394, 400, 428, 437, 462, 466, 492, 497, 513, 514, 518, 548, 574, 586, 624, 655, 667, 720, 737, 747, 748, 752, 755, 759, 761, 771, 777, 779, 791, 793, 798, 813, 819, 841, 845, 862, 883, 920, 924, 930, 950, 958, 971, 978, 1010, 1016, 1018, 1027, 1043, 1057, 1092, 1098, 1115, 1116, 1119, 1130, 1135, 1136, 1137, 1140, 1165, 1176, 1190, 1198, 1205, 1207, 1211, 1222, 1228, 1249, 1257, 1265, 1268, 1310, 1327, 1354, 1355, 1368, 1370, 1402, 1413, 1436, 1457, 1472, 1486, 1509, 1514, 1518, 1522, 1538, 1540, 1542, 1548, 1550]",ST82.tsv
get it,2,841,"[116, 841, 845, 862]",ST82.tsv
