Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
thing,1,11,[0],"[11, 204, 206]",SBJM.tsv,S0326,S0329
it be,2,13,"[0, 34, 348, 365]","[13, 196, 228, 295, 297, 323, 337]",SBJM.tsv,S0326,S0329
four,1,167,"[0, 25, 91, 159, 161, 168]",[167],SBJM.tsv,S0326,S0329
be that,2,327,[0],[327],SBJM.tsv,S0326,S0329
a a,2,372,[0],[372],SBJM.tsv,S0326,S0329
somewhere,1,24,[2],[24],SBJM.tsv,S0326,S0329
a tattoo,2,4,"[4, 26]",[3],SBJM.tsv,S0326,S0329
that be,2,216,[4],"[216, 327, 335, 362]",SBJM.tsv,S0326,S0329
be a,2,216,"[4, 21, 68, 89]","[216, 279, 299, 337]",SBJM.tsv,S0326,S0329
's mum,2,7,[6],[7],SBJM.tsv,S0326,S0329
yeah,1,11,"[6, 8, 25, 36, 58, 70, 79, 85, 87, 97, 103, 108, 124, 168, 170, 195, 207, 264, 314, 334, 375, 381, 383]","[11, 37, 59, 90, 92, 96, 121, 127, 131, 147, 238, 249, 259, 263, 281, 291, 313, 321, 335, 353, 356]",SBJM.tsv,S0326,S0329
like,1,29,"[6, 28, 46, 60, 70, 78, 93, 94, 146, 161, 166, 191, 227, 254, 280]","[29, 69, 117, 150, 198, 230, 245, 247, 249, 295, 297, 299, 353, 354, 362, 364, 374, 380]",SBJM.tsv,S0326,S0329
's,1,57,"[6, 48, 114, 136]","[57, 61, 208, 283]",SBJM.tsv,S0326,S0329
mum,1,86,[6],[86],SBJM.tsv,S0326,S0329
tattoo,1,8,"[8, 19, 78, 89, 93, 94]",[3],SBJM.tsv,S0326,S0329
they be,2,196,"[10, 94]",[196],SBJM.tsv,S0326,S0329
be the,2,224,[10],"[224, 285, 297]",SBJM.tsv,S0326,S0329
sunday,1,271,[10],[271],SBJM.tsv,S0326,S0329
body art,2,12,"[12, 15]","[11, 13]",SBJM.tsv,S0326,S0329
it's a,2,347,"[12, 14, 280, 302]",[347],SBJM.tsv,S0326,S0329
it's not,2,380,"[12, 168, 328]",[380],SBJM.tsv,S0326,S0329
look,1,43,"[14, 15, 60, 76, 78, 136, 161, 288]","[43, 67, 69, 247, 297, 317, 321, 327, 335]",SBJM.tsv,S0326,S0329
something,1,106,"[15, 227]","[106, 230, 259, 260, 279, 287]",SBJM.tsv,S0326,S0329
i don't,2,107,"[15, 182, 304, 332]","[107, 117, 123, 141, 194, 236, 279, 341, 327]",SBJM.tsv,S0326,S0329
don't want,2,141,"[15, 304]",[141],SBJM.tsv,S0326,S0329
want,1,141,"[15, 26, 304]","[141, 311, 327, 341, 358]",SBJM.tsv,S0326,S0329
