Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
talk about,2,7,"[2, 7]",SNZS.tsv
peter,1,25,"[7, 23, 25, 40]",SNZS.tsv
peter pan,2,40,"[7, 40, 67]",SNZS.tsv
film,1,16,"[2, 16, 44, 86, 95, 109, 249, 250]",SNZS.tsv
yeah,1,17,"[16, 17, 24, 32, 42, 52, 56, 58, 61, 63, 64, 74, 82, 89, 93, 103, 106, 108, 110, 117, 127, 129, 150, 157, 166, 170, 176, 182, 197, 204, 207, 226, 240, 245, 246, 256, 270, 274]",SNZS.tsv
include peter,2,25,"[23, 25]",SNZS.tsv
bite,1,26,"[12, 14, 26, 36, 40, 133, 134]",SNZS.tsv
a bite,2,26,"[14, 26, 133]",SNZS.tsv
and then he,3,37,"[33, 37, 38, 40]",SNZS.tsv
and then,2,126,"[33, 37, 126, 128, 170, 178, 205, 261, 262, 268, 269, 278]",SNZS.tsv
see,1,195,"[39, 86, 104, 111, 195]",SNZS.tsv
like a,2,44,"[1, 44, 188]",SNZS.tsv
like,1,40,"[1, 40, 44, 47, 54, 56, 72, 74, 85, 89, 95, 101, 136, 146, 150, 160, 188, 189, 198, 199, 203, 209, 213, 215, 216, 255, 258]",SNZS.tsv
good,1,88,"[34, 44, 88, 105, 107, 205]",SNZS.tsv
be they,2,69,"[51, 69]",SNZS.tsv
do you think,3,53,"[12, 53]",SNZS.tsv
do you,2,53,"[12, 27, 48, 53, 95, 245, 262]",SNZS.tsv
think,1,47,"[12, 33, 47, 48, 52, 53, 97, 99, 107, 124, 159, 194, 197, 206, 233, 234, 244, 269, 270]",SNZS.tsv
real,1,67,"[53, 67]",SNZS.tsv
it's a,2,123,"[53, 123, 124]",SNZS.tsv
that's,1,53,"[15, 53, 136, 188, 215, 225]",SNZS.tsv
boys,1,55,"[48, 55]",SNZS.tsv
the lose boys,3,55,"[50, 55]",SNZS.tsv
it a,2,185,"[55, 185]",SNZS.tsv
i'm,1,55,"[52, 55, 129, 193]",SNZS.tsv
