Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
and erm,2,135,"[0, 6, 135, 192, 197, 218, 238, 240, 369, 372, 728, 1147]",SQPN.tsv
yeah,1,12,"[2, 12, 34, 41, 44, 47, 48, 49, 51, 53, 58, 59, 66, 86, 91, 97, 98, 110, 120, 121, 124, 126, 129, 142, 145, 147, 149, 151, 155, 160, 168, 169, 171, 175, 177, 181, 185, 201, 206, 223, 229, 237, 238, 239, 241, 251, 253, 255, 256, 260, 262, 263, 264, 266, 267, 269, 278, 281, 283, 284, 286, 291, 298, 300, 308, 310, 312, 319, 326, 328, 329, 334, 340, 343, 352, 360, 361, 362, 363, 366, 371, 372, 381, 382, 386, 389, 391, 397, 401, 413, 415, 417, 419, 421, 424, 432, 433, 434, 443, 445, 447, 452, 456, 462, 464, 473, 474, 476, 478, 479, 481, 482, 483, 485, 487, 488, 489, 490, 492, 496, 498, 501, 504, 506, 510, 517, 524, 526, 528, 531, 535, 537, 540, 549, 551, 561, 590, 593, 597, 604, 612, 616, 617, 618, 620, 624, 626, 627, 628, 631, 634, 657, 672, 676, 684, 685, 686, 697, 699, 702, 712, 714, 716, 717, 729, 731, 736, 743, 746, 748, 749, 751, 757, 759, 761, 763, 767, 771, 772, 776, 780, 782, 789, 790, 793, 794, 804, 810, 819, 822, 825, 829, 844, 851, 854, 856, 860, 862, 863, 873, 874, 883, 886, 889, 897, 901, 915, 917, 935, 938, 940, 941, 943, 949, 957, 959, 974, 975, 978, 980, 981, 984, 988, 992, 1000, 1001, 1003, 1027, 1037, 1045, 1048, 1050, 1052, 1057, 1059, 1065, 1066, 1069, 1080, 1088, 1094, 1102, 1103, 1104, 1105, 1107, 1108, 1110, 1111, 1117, 1118, 1119, 1122, 1123, 1125, 1126, 1128, 1134, 1138, 1146, 1151, 1156, 1157, 1159, 1164, 1167, 1172, 1178, 1185, 1187, 1188, 1189, 1191, 1193, 1194, 1205, 1208]",SQPN.tsv
a bite,2,65,"[2, 6, 65, 81, 156, 175, 400, 417, 446, 447, 503, 529, 548, 551, 565, 670, 753, 809, 817, 827, 963, 979, 1036, 1105, 1144, 1147, 1179]",SQPN.tsv
bite,1,65,"[2, 6, 65, 75, 76, 81, 156, 175, 400, 417, 446, 447, 503, 529, 548, 551, 565, 613, 656, 670, 753, 809, 817, 827, 955, 963, 967, 979, 1018, 1036, 1105, 1144, 1147, 1179, 1215]",SQPN.tsv
when i,2,81,"[2, 81, 192, 308, 311, 393, 571, 635, 672, 680, 697, 763, 980]",SQPN.tsv
well,1,12,"[2, 12, 14, 36, 40, 63, 83, 144, 178, 190, 192, 198, 202, 204, 213, 231, 233, 234, 237, 240, 241, 242, 243, 258, 322, 337, 360, 372, 379, 381, 384, 385, 389, 390, 393, 394, 423, 448, 453, 464, 465, 487, 497, 503, 551, 564, 605, 633, 662, 664, 667, 671, 672, 700, 709, 720, 722, 753, 757, 763, 778, 782, 784, 788, 797, 799, 809, 811, 813, 828, 848, 874, 877, 886, 888, 906, 928, 963, 976, 977, 985, 986, 988, 1026, 1072, 1103, 1137, 1139, 1153, 1175, 1192]",SQPN.tsv
come,1,133,"[2, 5, 133, 140, 190, 192, 195, 219, 220, 240, 266, 311, 323, 394, 430, 533, 548, 559, 568, 630, 651, 809, 848, 895, 950, 980, 1008, 1064, 1091, 1092, 1107]",SQPN.tsv
come in,2,323,"[2, 5, 323, 1107]",SQPN.tsv
yeah well,2,360,"[2, 360, 487, 672, 763, 886, 988, 1103]",SQPN.tsv
pain,1,1129,"[2, 156, 816, 1129, 1201]",SQPN.tsv
