Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
you,1,1,"[0, 1, 2, 14, 16, 19, 23, 24, 26, 27, 31, 42, 49, 54, 71, 72, 99, 100, 101, 113, 119, 123, 135, 136, 137, 138, 146, 152, 154, 156, 158, 161, 163, 164, 184, 213, 214, 215, 216, 217, 219, 221, 223, 226, 228, 229, 230, 231, 236, 238, 249, 255, 261, 262, 264, 268, 270, 272, 274, 276, 277, 279, 281, 285, 298, 301, 306, 308, 315, 318, 325, 337, 339, 340, 342, 350]",SVZE.tsv
be,1,4,"[0, 4, 9, 16, 35, 36, 42, 54, 60, 63, 67, 75, 97, 99, 101, 107, 116, 124, 132, 138, 149, 163, 165, 168, 174, 175, 177, 178, 183, 189, 190, 191, 192, 194, 195, 197, 198, 200, 203, 211, 212, 213, 214, 215, 216, 225, 226, 227, 228, 229, 230, 243, 255, 261, 270, 274, 276, 277, 279, 281, 282, 285, 319, 322, 337, 354]",SVZE.tsv
chicken,1,4,"[0, 4, 131]",SVZE.tsv
that,1,4,"[0, 4, 9, 27, 49, 54, 62, 103, 116, 137, 138, 146, 149, 161, 165, 167, 170, 174, 176, 177, 179, 183, 195, 219, 231, 234, 236, 238, 261, 273, 282, 301, 337]",SVZE.tsv
could,1,12,"[0, 12, 14, 100, 217, 219, 221, 261, 273, 279, 281, 282, 301]",SVZE.tsv
to,1,36,"[0, 2, 36, 59, 62, 74, 94, 96, 97, 116, 121, 124, 135, 146, 152, 153, 157, 167, 175, 183, 185, 187, 192, 212, 220, 221, 238, 252, 255, 261, 270, 315, 325, 337, 342]",SVZE.tsv
do,1,59,"[0, 2, 19, 59, 91, 92, 103, 138, 146, 150, 154, 157, 158, 164, 172, 194, 207, 219, 225, 226, 231, 234, 236, 238, 240, 249, 261, 266, 268, 270, 272, 273, 274, 276, 278, 279, 285, 325, 327]",SVZE.tsv
up,1,94,"[0, 2, 94, 219, 255, 257, 338, 340, 345]",SVZE.tsv
be you,2,16,"[0, 16, 42, 99, 101, 215, 216]",SVZE.tsv
you do,2,226,"[0, 226, 249]",SVZE.tsv
