Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
cauliflower cheese,2,1,"[0, 1, 8, 12, 19, 44]",S2Y5.tsv
we,1,1,"[0, 1, 2, 9, 21, 33, 45, 48, 111, 174, 192, 235, 243, 248, 261, 293, 295, 297, 316, 352]",S2Y5.tsv
have,1,1,"[0, 1, 9, 15, 26, 33, 43, 44, 45, 52, 62, 63, 64, 70, 77, 84, 92, 93, 110, 116, 124, 140, 183, 192, 210, 220, 222, 223, 227, 243, 254, 255, 267, 269, 279, 292, 297, 300, 302, 308, 310, 316, 320, 328, 331]",S2Y5.tsv
cauliflower,1,1,"[0, 1, 6, 7, 8, 12, 19, 32, 33, 44]",S2Y5.tsv
christmas,1,35,"[0, 35, 97, 137, 140, 169, 280, 292]",S2Y5.tsv
we have,2,9,"[0, 9, 45, 243]",S2Y5.tsv
or,1,44,"[0, 44, 48, 69, 97, 210, 212, 220, 229, 258, 292, 294]",S2Y5.tsv
on,1,42,"[0, 42, 87, 164, 166, 169, 208, 210, 220, 222, 227, 242, 243, 269, 280]",S2Y5.tsv
day,1,235,"[0, 235, 243, 260, 280, 282, 286, 292, 316]",S2Y5.tsv
you,1,4,"[3, 4, 5, 7, 23, 31, 37, 41, 43, 48, 50, 55, 64, 112, 115, 116, 117, 120, 122, 124, 137, 141, 143, 152, 157, 166, 196, 199, 202, 207, 209, 215, 218, 220, 222, 223, 225, 228, 242, 266, 267, 268, 269, 271, 273, 276, 285, 290, 292, 300, 320, 323, 327, 329, 340, 348, 351, 353, 354, 355, 361, 364]",S2Y5.tsv
like,1,6,"[3, 6, 7, 8, 14, 23, 25, 30, 37, 38, 41, 42, 45, 49, 50, 53, 64, 67, 69, 71, 93, 104, 106, 107, 120, 122, 124, 164, 172, 175, 176, 177, 209, 210, 215, 218, 219, 243, 248, 254, 272, 296, 302, 308, 327, 328]",S2Y5.tsv
i,1,23,"[6, 8, 18, 23, 28, 31, 32, 42, 48, 49, 52, 62, 100, 104, 112, 118, 123, 124, 149, 155, 161, 162, 172, 175, 176, 182, 195, 200, 209, 210, 216, 218, 219, 237, 260, 261, 270, 271, 273, 276, 284, 289, 291, 295, 296, 306, 316, 331, 356, 358, 361]",S2Y5.tsv
quite,1,172,"[6, 16, 101, 144, 172, 223]",S2Y5.tsv
like cauliflower,2,8,"[7, 8]",S2Y5.tsv
don't,1,14,"[8, 14, 25, 38, 41, 45, 50, 115, 117, 123, 209, 215, 223, 269, 290, 350]",S2Y5.tsv
mm,1,13,"[8, 13, 24, 46, 54, 56, 58, 65, 67, 68, 78, 81, 85, 91, 94, 96, 103, 105, 113, 121, 134, 135, 156, 163, 165, 178, 194, 224, 226, 287, 303, 305, 312, 315, 325, 360, 363]",S2Y5.tsv
really like,2,104,"[8, 104, 175]",S2Y5.tsv
really,1,51,"[8, 51, 102, 104, 118, 143, 152, 175, 223, 252, 319, 320]",S2Y5.tsv
things,1,10,"[9, 10, 14, 93, 172]",S2Y5.tsv
them,1,45,"[10, 45, 52, 99, 123, 124, 164, 176, 197, 201, 227, 254, 269, 272, 279, 308]",S2Y5.tsv
of,1,25,"[9, 10, 25, 75, 84, 98, 99, 339, 340, 341, 348, 356, 358]",S2Y5.tsv
what's,1,143,"[10, 143, 168, 221, 309]",S2Y5.tsv
though,1,33,"[16, 33, 147, 164, 192, 266]",S2Y5.tsv
it's,1,64,"[16, 64, 69, 118, 127, 129, 131, 132, 154, 164, 180, 187, 188, 218, 257, 292, 298, 302, 308, 321, 327, 328, 361]",S2Y5.tsv
i think,2,161,"[18, 28, 32, 161, 162, 209, 237, 261, 358]",S2Y5.tsv
it,1,28,"[19, 22, 23, 25, 28, 29, 31, 32, 37, 48, 49, 64, 75, 77, 80, 92, 95, 98, 102, 106, 115, 116, 117, 128, 130, 141, 148, 151, 218, 219, 237, 263, 291, 293, 294, 311, 324, 328, 332, 356, 360, 361, 362]",S2Y5.tsv
be,1,29,"[22, 28, 29, 30, 32, 37, 42, 48, 75, 82, 93, 99, 102, 128, 130, 139, 141, 158, 159, 160, 164, 179, 182, 196, 199, 200, 206, 209, 242, 260, 264, 265, 266, 285, 288, 293, 294, 311, 314, 316, 318, 324, 327, 328, 329, 332, 337, 348, 351, 353, 354, 355, 356, 358, 360, 362]",S2Y5.tsv
it be,2,28,"[22, 28, 75, 130, 294, 311, 324]",S2Y5.tsv
cos,1,32,"[23, 32, 45, 48, 99, 206, 220, 268, 301, 302, 356]",S2Y5.tsv
no,1,32,"[2, 23, 32, 36, 42, 47, 60, 103, 109, 111, 132, 142, 167, 168, 170, 172, 238, 244, 255, 259, 268, 283, 284, 321, 323, 330, 336, 338, 339, 350, 352, 356, 361]",S2Y5.tsv
about,1,245,"[32, 242, 245, 260, 298, 306, 316, 361]",S2Y5.tsv
ask,1,112,"[32, 48, 112, 301, 320]",S2Y5.tsv
cos i,2,356,"[32, 356]",S2Y5.tsv
that,1,23,"[5, 9, 17, 23, 26, 37, 42, 102, 118, 123, 150, 157, 158, 164, 168, 172, 174, 179, 209, 218, 251, 254, 256, 261, 266, 290, 298, 316, 318, 320, 324, 337, 360, 361]",S2Y5.tsv
be it,2,37,"[29, 37, 102, 128, 293, 294, 360]",S2Y5.tsv
