Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
a,1,16,"[0, 4, 8, 16, 29, 49, 51, 52, 54, 58, 59, 64, 66, 77, 81, 83, 84, 85, 95, 99, 131, 141, 143, 161, 164, 165, 180, 190, 202, 203, 213, 221, 230, 231, 245, 253, 269, 272, 277, 295, 297, 301, 304, 308, 314, 319, 324, 326, 331, 337, 346, 347, 356, 363, 366, 367, 376, 378, 396, 399, 403, 404, 412, 415, 427, 434, 436, 439, 447, 448, 452, 455, 467, 475, 477, 486, 488, 495, 505, 510, 523, 524, 527, 531, 536, 539, 549, 550, 553, 568, 576]",S69V.tsv
the,1,11,"[0, 6, 11, 14, 19, 25, 29, 36, 40, 43, 45, 47, 56, 59, 60, 61, 62, 66, 71, 75, 81, 83, 84, 85, 89, 91, 93, 97, 102, 106, 108, 111, 113, 115, 117, 119, 120, 129, 139, 143, 149, 153, 155, 161, 166, 171, 173, 174, 175, 176, 179, 180, 182, 183, 186, 190, 193, 194, 202, 213, 219, 222, 227, 229, 235, 241, 243, 247, 251, 253, 263, 264, 265, 268, 269, 272, 274, 276, 288, 304, 308, 310, 312, 316, 319, 322, 330, 331, 332, 333, 350, 354, 356, 362, 367, 368, 374, 376, 386, 388, 392, 394, 412, 413, 415, 419, 423, 426, 427, 433, 439, 441, 444, 446, 447, 455, 456, 463, 466, 471, 475, 480, 483, 486, 494, 495, 497, 515, 517, 523, 525, 534, 537, 545, 550, 551, 557, 559, 561, 563, 564, 568, 574]",S69V.tsv
have a,2,49,"[0, 49, 269, 277, 477]",S69V.tsv
all,1,54,"[0, 54, 60, 132, 151, 153, 182, 208, 232, 239, 268, 314, 331, 358, 394, 415, 427, 513, 540, 550, 553]",S69V.tsv
have,1,28,"[0, 4, 8, 19, 28, 43, 49, 62, 66, 79, 81, 149, 157, 180, 182, 185, 198, 202, 203, 222, 224, 227, 255, 265, 269, 274, 276, 277, 308, 319, 333, 358, 370, 390, 415, 439, 440, 477, 486, 523, 527, 532, 568]",S69V.tsv
at,1,29,"[2, 8, 29, 36, 81, 99, 143, 151, 247, 308, 319, 350, 376, 388, 392, 394, 427, 447, 456, 486, 550, 553]",S69V.tsv
up,1,54,"[2, 54, 115, 143, 231, 253, 330, 332, 333, 364, 378, 382, 394, 415, 503, 568, 576]",S69V.tsv
we,1,28,"[2, 6, 19, 28, 62, 121, 131, 133, 135, 143, 149, 153, 157, 166, 221, 251, 297, 298, 480, 503, 575]",S69V.tsv
phone,1,194,"[2, 194, 388]",S69V.tsv
so,1,263,"[2, 6, 91, 95, 101, 119, 131, 133, 153, 166, 235, 251, 263, 265, 279, 298, 319, 334, 350, 363, 413, 430, 469, 540, 549, 580]",S69V.tsv
