Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
baby hair,2,1,[0],[1],SQRA.tsv,S0439,S0451
like,1,1,"[0, 21, 37, 49, 51, 66, 77, 124, 126, 132, 133, 144, 146, 197, 208, 215, 229, 235, 271, 278, 284, 288, 292, 311, 319, 330, 334, 339, 343, 347, 349, 360, 366, 376, 389, 391, 405, 407, 415, 417, 435, 447, 449, 455, 466, 468, 470, 472]","[1, 5, 12, 16, 22, 32, 42, 52, 54, 56, 57, 65, 92, 145, 156, 160, 179, 185, 187, 204, 205, 224, 234, 238, 242, 243, 245, 251, 255, 257, 259, 273, 275, 277, 279, 285, 289, 291, 293, 295, 297, 302, 304, 306, 310, 316, 317, 324, 327, 335, 337, 355, 361, 363, 367, 369, 375, 380, 386, 388, 394, 396, 398, 404, 414, 418, 420, 424, 426, 438, 440, 444, 448, 450, 452, 454, 456, 458, 460, 475]",SQRA.tsv,S0439,S0451
hair,1,5,"[0, 4]",[5],SQRA.tsv,S0439,S0451
go,1,8,"[0, 91, 95, 105, 113, 119, 128, 130, 132, 135, 142, 183, 191, 213, 227, 321, 356]","[8, 12, 98, 100, 145, 182, 184, 187, 196, 226, 245, 418, 420, 428]",SQRA.tsv,S0439,S0451
well,1,50,"[0, 45, 51, 256, 258, 461]","[50, 194, 255, 275, 295, 337, 386, 400, 444, 446]",SQRA.tsv,S0439,S0451
just like,2,54,"[0, 360, 391, 405, 468]","[54, 57, 92, 245, 279, 310, 316, 335, 388, 448, 456, 458]",SQRA.tsv,S0439,S0451
i have,2,175,[0],"[175, 234]",SQRA.tsv,S0439,S0451
have this,2,240,[0],[240],SQRA.tsv,S0439,S0451
and i,2,242,"[0, 39, 41, 113, 345]","[242, 277, 335, 346, 375, 400, 420, 450, 456]",SQRA.tsv,S0439,S0451
at the,2,285,[0],[285],SQRA.tsv,S0439,S0451
front,1,285,[0],[285],SQRA.tsv,S0439,S0451
kinda,1,306,[0],[306],SQRA.tsv,S0439,S0451
erm just,2,418,[0],[418],SQRA.tsv,S0439,S0451
like erm,2,456,[0],[456],SQRA.tsv,S0439,S0451
know,1,46,"[4, 41, 64, 95, 119, 130, 146, 163, 188, 203, 267, 323, 343, 425, 437, 449, 457, 474]","[46, 108, 110, 112, 121, 236, 257, 277, 279, 281, 283, 285, 293, 367, 377, 378, 380, 432, 436, 440, 444, 450, 458, 464, 473, 475, 81, 304, 317, 369, 388, 408, 454]",SQRA.tsv,S0439,S0451
a bite,2,79,"[4, 278, 345, 376]",[79],SQRA.tsv,S0439,S0451
you know,2,81,"[4, 323, 457]","[81, 304, 317, 369, 388, 408, 454]",SQRA.tsv,S0439,S0451
dry,1,6,[6],[5],SQRA.tsv,S0439,S0451
no i,2,202,[6],"[202, 275, 316, 434, 464]",SQRA.tsv,S0439,S0451
bouffant,1,9,[9],[8],SQRA.tsv,S0439,S0451
drink,1,18,[11],"[18, 20, 327]",SQRA.tsv,S0439,S0451
do you have to,4,15,[15],[5],SQRA.tsv,S0439,S0451
you have to,3,15,"[15, 37]",[5],SQRA.tsv,S0439,S0451
pay for tap water,4,15,[15],[12],SQRA.tsv,S0439,S0451
pay for,2,15,[15],"[12, 81]",SQRA.tsv,S0439,S0451
tap water,2,18,[15],"[18, 24]",SQRA.tsv,S0439,S0451
do you,2,450,"[15, 51, 181, 225, 229, 248, 319]",[450],SQRA.tsv,S0439,S0451
have to,2,456,"[15, 37, 256, 258]",[456],SQRA.tsv,S0439,S0451
one,1,78,"[19, 383, 385, 447]","[78, 205, 238]",SQRA.tsv,S0439,S0451
it no,2,171,[19],[171],SQRA.tsv,S0439,S0451
be like,2,21,"[21, 197, 208, 292, 389]","[1, 57, 259, 291, 295, 317, 327, 337, 375, 380, 396, 420, 424, 454, 456, 273]",SQRA.tsv,S0439,S0451
check,1,34,[21],[34],SQRA.tsv,S0439,S0451
they're,1,52,"[21, 80, 457]","[52, 76, 106]",SQRA.tsv,S0439,S0451
gonna,1,184,"[21, 107, 117, 142, 181, 183, 186]","[184, 185, 196, 448]",SQRA.tsv,S0439,S0451
be like excuse me,4,273,[21],[273],SQRA.tsv,S0439,S0451
be they,2,396,[21],[396],SQRA.tsv,S0439,S0451
this be,2,57,"[23, 366]",[57],SQRA.tsv,S0439,S0451
no this,2,78,"[23, 90]",[78],SQRA.tsv,S0439,S0451
no no,2,312,"[23, 413, 415]","[312, 316]",SQRA.tsv,S0439,S0451
i'm,1,54,"[25, 45, 90, 91, 95, 113, 115, 119, 130, 132, 135, 142, 210, 278, 284, 374]","[54, 57, 63, 98, 100, 106, 156, 167, 182, 184, 187, 266, 302, 304, 316, 412, 414, 434, 448, 450, 456, 458]",SQRA.tsv,S0439,S0451
run,1,72,"[29, 35, 93]",[72],SQRA.tsv,S0439,S0451
it's just,2,129,"[29, 280, 301, 391, 447, 468]","[129, 279]",SQRA.tsv,S0439,S0451
for the,2,196,"[29, 95, 119, 128, 142]",[196],SQRA.tsv,S0439,S0451
erm it's,2,346,"[29, 60]","[346, 426]",SQRA.tsv,S0439,S0451
actually,1,31,"[31, 51, 88, 119, 183, 343]","[10, 22, 54, 173, 175, 192, 251]",SQRA.tsv,S0439,S0451
wanna,1,32,"[31, 39, 321, 347, 349, 360, 365, 379, 407]","[32, 304]",SQRA.tsv,S0439,S0451
in there,2,79,"[31, 41]",[79],SQRA.tsv,S0439,S0451
i didn't,2,242,"[31, 39, 41, 163, 343, 347, 349]","[242, 266]",SQRA.tsv,S0439,S0451
yeah,1,33,"[33, 43, 45, 55, 73, 80, 82, 88, 97, 111, 151, 172, 174, 188, 195, 206, 219, 223, 227, 231, 239, 241, 246, 250, 252, 254, 260, 262, 267, 276, 290, 296, 299, 303, 305, 307, 309, 318, 326, 328, 330, 339, 347, 354, 362, 364, 365, 370, 372, 376, 381, 383, 387, 389, 393, 395, 403, 405, 409, 411, 419, 425, 427, 445, 447, 451, 455, 459, 466, 470, 478]","[1, 3, 26, 36, 42, 46, 48, 56, 57, 85, 89, 112, 114, 118, 125, 156, 162, 164, 173, 177, 182, 184, 187, 192, 194, 196, 200, 202, 209, 211, 216, 220, 222, 224, 228, 230, 232, 240, 245, 247, 255, 264, 266, 268, 270, 272, 277, 285, 289, 308, 310, 322, 329, 333, 337, 340, 342, 346, 350, 352, 355, 357, 361, 392, 402, 406, 408, 426, 430, 432, 436, 450, 467, 469, 471, 477]",SQRA.tsv,S0439,S0451
check me out,3,35,[35],[34],SQRA.tsv,S0439,S0451
i do,2,167,"[35, 88]","[167, 375, 450]",SQRA.tsv,S0439,S0451
cos,1,37,"[37, 246, 292, 319, 332, 343, 435, 447]","[16, 20, 145, 173, 242, 285, 304, 325, 380, 450, 458]",SQRA.tsv,S0439,S0451
like a,2,160,"[37, 49, 66, 77, 126, 197, 215, 235, 284, 311, 389, 449]","[160, 238, 420, 438]",SQRA.tsv,S0439,S0451
to you,2,456,"[37, 271, 286]",[456],SQRA.tsv,S0439,S0451
take,1,44,"[39, 41]","[44, 464]",SQRA.tsv,S0439,S0451
stuff,1,52,[39],[52],SQRA.tsv,S0439,S0451
