Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
want,1,5,"[0, 5, 37, 98, 229, 238, 239, 368, 406, 427, 451, 507, 508, 512, 530, 640, 657, 1006, 1026, 1034, 1050, 1082, 1125, 1177, 1181, 1186, 1202, 1203, 1232, 1239, 1293, 1491]",ST82.tsv
i'll,1,2,"[1, 2, 155, 246, 530, 1041, 1043, 1112, 1189, 1194, 1204, 1246, 1247, 1256, 1403]",ST82.tsv
okay,1,7,"[2, 6, 7, 142, 170, 206, 228, 334, 385, 442, 488, 519, 527, 702, 704, 731, 759, 773, 928, 1032, 1079, 1131, 1169, 1171, 1179, 1183, 1206, 1210, 1291, 1301, 1360, 1444]",ST82.tsv
nothing,1,779,"[4, 779, 840, 994, 1147, 1187, 1188]",ST82.tsv
get,1,116,"[17, 19, 38, 40, 62, 69, 116, 149, 163, 175, 183, 186, 196, 204, 206, 207, 210, 217, 229, 237, 274, 316, 322, 327, 331, 394, 400, 428, 437, 462, 466, 492, 497, 513, 514, 518, 548, 574, 586, 624, 655, 667, 720, 737, 747, 748, 752, 755, 759, 761, 771, 777, 779, 791, 793, 798, 813, 819, 841, 845, 862, 883, 920, 924, 930, 950, 958, 971, 978, 1010, 1016, 1018, 1027, 1043, 1057, 1092, 1098, 1115, 1116, 1119, 1130, 1135, 1136, 1137, 1140, 1165, 1176, 1190, 1198, 1205, 1207, 1211, 1222, 1228, 1249, 1257, 1265, 1268, 1310, 1327, 1354, 1355, 1368, 1370, 1402, 1413, 1436, 1457, 1472, 1486, 1509, 1514, 1518, 1522, 1538, 1540, 1542, 1548, 1550]",ST82.tsv
get it,2,841,"[116, 841, 845, 862]",ST82.tsv
away,1,239,"[126, 238, 239, 580, 582, 970, 1100, 1108]",ST82.tsv
far,1,975,"[126, 975, 1366]",ST82.tsv
be it on,3,130,"[75, 130]",ST82.tsv
day,1,129,"[8, 129, 130, 134, 135, 137, 139, 195, 214, 375, 411, 427, 469, 474, 791, 887, 995, 1057, 1058, 1061, 1063, 1075, 1196, 1419, 1453, 1546, 1547, 1551]",ST82.tsv
it on,2,186,"[130, 186]",ST82.tsv
