Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
what be,2,1,"[0, 35]",[1],S59R.tsv,S0251,S0252
be ask,2,1,[0],[1],S59R.tsv,S0251,S0252
the coffee,2,1,"[0, 47]","[1, 10]",S59R.tsv,S0251,S0252
in the,2,59,"[0, 29, 69, 159, 265]","[59, 106, 110, 133, 151, 250]",S59R.tsv,S0251,S0252
pistachio,1,3,[2],[3],S59R.tsv,S0251,S0252
it be,2,5,"[4, 13, 25, 27, 33, 43, 146, 157, 231]","[5, 44, 70, 170, 194, 210, 218]",S59R.tsv,S0251,S0252
quite,1,16,"[4, 13, 27, 29, 62, 73, 103]","[16, 153, 296]",S59R.tsv,S0251,S0252
i think,2,80,"[4, 6, 25, 31, 35, 41, 43, 47, 60, 67, 148, 185, 233, 237, 265, 303]","[80, 86, 106, 123, 125, 133, 151, 153, 156, 158, 200, 210, 214, 224, 248, 288, 294]",S59R.tsv,S0251,S0252
think,1,135,"[4, 6, 23, 25, 31, 35, 41, 43, 47, 60, 67, 73, 120, 148, 165, 171, 185, 189, 191, 197, 231, 233, 237, 245, 265, 287, 303, 305]","[135, 153, 210, 306, 322, 156, 158, 200, 214, 224, 248, 288, 294, 151]",S59R.tsv,S0251,S0252
quite a,2,153,"[4, 13, 27]",[153],S59R.tsv,S0251,S0252
i think it,3,158,"[4, 35, 43]",[158],S59R.tsv,S0251,S0252
be quite a,3,296,"[4, 13, 27]",[296],S59R.tsv,S0251,S0252
get,1,90,"[6, 25, 47, 83, 85, 91, 97, 128, 179, 181, 189, 195, 197, 199, 237, 261, 263, 265, 287, 303]","[90, 133, 156, 194, 214, 238, 256, 206, 300]",S59R.tsv,S0251,S0252
get a,2,206,"[6, 47, 85, 97, 189, 237]","[206, 300]",S59R.tsv,S0251,S0252
a lot,2,290,"[6, 47, 241]","[290, 296]",S59R.tsv,S0251,S0252
like,1,8,[8],"[1, 118, 194, 268, 294, 300]",S59R.tsv,S0251,S0252
