Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i don't,2,197,"[0, 15, 17, 172, 212, 214, 247, 249, 281, 341, 384, 430, 465, 517, 529, 570, 572]","[197, 205, 252, 328, 336, 338, 340, 490, 520, 526, 530, 532, 545, 551, 565, 573]",SFJ2.tsv,S0276,S0275
i i,2,454,"[0, 116, 459, 570]","[454, 526, 532]",SFJ2.tsv,S0276,S0275
website,1,2,"[1, 303]",[2],SFJ2.tsv,S0276,S0275
go on,2,7,"[1, 141, 303]","[7, 201]",SFJ2.tsv,S0276,S0275
want,1,34,"[1, 17, 19, 22, 33, 43, 51, 70, 121, 174, 269, 341, 382, 398, 489, 546]","[34, 81, 201, 257, 470, 567, 573, 486]",SFJ2.tsv,S0276,S0275
go,1,36,"[1, 5, 26, 43, 67, 108, 121, 123, 125, 131, 141, 159, 198, 232, 234, 236, 303, 457, 501, 505]","[36, 109, 185, 189, 197, 225, 253, 270, 311, 336, 441, 476, 496, 522, 573, 81, 201, 244, 500]",SFJ2.tsv,S0276,S0275
do you,2,77,"[1, 33, 43, 51, 151, 198, 218, 269, 305, 374, 396, 410, 424, 440, 451, 525, 533, 546, 562, 566]","[77, 179, 201, 206, 233, 261, 311, 317, 334, 379, 391, 470, 480, 486, 563]",SFJ2.tsv,S0276,S0275
to go,2,81,"[1, 26, 67, 232, 236]","[81, 244, 500, 201]",SFJ2.tsv,S0276,S0275
to go on,3,201,[1],[201],SFJ2.tsv,S0276,S0275
want me to,3,486,[1],[486],SFJ2.tsv,S0276,S0275
there's,1,3,"[3, 161, 258, 271, 316, 349, 406, 546]","[2, 276, 321]",SFJ2.tsv,S0276,S0275
two,1,64,"[3, 26, 59, 65, 123, 141, 228, 388]","[64, 259, 286]",SFJ2.tsv,S0276,S0275
i've,1,173,"[3, 558]","[173, 563]",SFJ2.tsv,S0276,S0275
first,1,183,"[3, 116, 501]","[183, 464]",SFJ2.tsv,S0276,S0275
i be,2,189,"[3, 76, 116, 119, 141, 388, 402, 554, 570, 572]","[189, 292, 296, 363, 448, 532, 561]",SFJ2.tsv,S0276,S0275
on the,2,199,"[3, 275]","[199, 201, 257, 317]",SFJ2.tsv,S0276,S0275
one,1,199,"[3, 5, 12, 55, 63, 67, 70, 74, 82, 123, 129, 163, 165, 198, 424, 430, 457, 566]","[199, 288, 363, 379, 442, 456, 468, 520, 551, 563]",SFJ2.tsv,S0276,S0275
when i,2,259,"[3, 382, 388, 402]","[259, 470, 561]",SFJ2.tsv,S0276,S0275
morning,1,259,[3],"[259, 274]",SFJ2.tsv,S0276,S0275
be on,2,356,"[3, 8, 362]","[356, 361, 363, 369, 373]",SFJ2.tsv,S0276,S0275
already,1,470,[3],[470],SFJ2.tsv,S0276,S0275
when i be,3,561,"[3, 388]",[561],SFJ2.tsv,S0276,S0275
get the,2,69,"[5, 398]",[69],SFJ2.tsv,S0276,S0275
get,1,79,"[5, 13, 15, 123, 129, 145, 305, 312, 382, 398, 420, 438, 459, 495, 497, 507, 511, 558, 568]","[79, 183, 252, 313, 336, 464, 520, 567, 573]",SFJ2.tsv,S0276,S0275
i can't,2,105,"[5, 59]","[105, 109, 253, 291, 464, 530, 545]",SFJ2.tsv,S0276,S0275
can't,1,183,"[5, 59, 277]","[183, 278, 544, 253, 291, 464, 530, 545]",SFJ2.tsv,S0276,S0275
i'm,1,195,"[5, 43, 232, 262, 343, 345]","[195, 205, 242, 252, 253, 423, 476, 492, 545, 573, 334, 336, 441, 561]",SFJ2.tsv,S0276,S0275
oh shit,2,213,"[5, 256]",[213],SFJ2.tsv,S0276,S0275
time,1,225,"[5, 67, 127]","[225, 265, 530, 553]",SFJ2.tsv,S0276,S0275
to do,2,257,"[5, 170, 256, 538]","[257, 311, 526]",SFJ2.tsv,S0276,S0275
so i,2,257,"[5, 121, 554]","[257, 291, 363, 395, 448, 450, 454]",SFJ2.tsv,S0276,S0275
not be,2,284,[5],[284],SFJ2.tsv,S0276,S0275
i realise,2,291,[5],[291],SFJ2.tsv,S0276,S0275
and i,2,296,"[5, 78, 141, 212, 430, 572]","[296, 448, 460, 573]",SFJ2.tsv,S0276,S0275
i'm not,2,334,[5],"[334, 561]",SFJ2.tsv,S0276,S0275
i'm not go,3,336,[5],"[336, 441]",SFJ2.tsv,S0276,S0275
mum,1,385,[5],"[385, 522]",SFJ2.tsv,S0276,S0275
