Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
okay,1,69,"[0, 2, 69, 96, 122, 125, 131, 141, 147, 152, 176, 186, 198, 212, 252, 282, 431]",S5J8.tsv
list,1,179,"[0, 179]",S5J8.tsv
a,1,49,"[0, 48, 49, 70, 99, 103, 113, 128, 155, 185, 190, 193, 197, 200, 202, 207, 218, 241, 243, 246, 261, 277, 288, 292, 299, 305, 310, 313, 315, 326, 327, 339, 340, 341, 357, 359, 363, 378, 382, 384, 386, 387, 399, 400, 402, 403, 404, 411, 413, 416, 435]",S5J8.tsv
make,1,12,"[0, 12, 70, 140, 249, 357, 358, 360, 404, 436]",S5J8.tsv
make a,2,404,"[0, 404]",S5J8.tsv
jam,1,3,"[2, 3, 27, 52, 179]",S5J8.tsv
bread,1,9,"[2, 8, 9, 27, 52, 60, 179]",S5J8.tsv
and,1,33,"[2, 10, 28, 33, 45, 49, 50, 55, 66, 68, 70, 94, 118, 121, 135, 137, 139, 145, 169, 174, 246, 282, 287, 288, 289, 300, 305, 316, 329, 370, 403, 404, 408, 423]",S5J8.tsv
we,1,12,"[4, 12, 17, 33, 45, 57, 58, 59, 72, 74, 108, 109, 115, 122, 135, 145, 153, 159, 163, 164, 173, 174, 175, 180, 184, 197, 208, 223, 225, 226, 228, 230, 249, 251, 253, 334, 422]",S5J8.tsv
get,1,16,"[4, 13, 15, 16, 18, 19, 22, 31, 35, 41, 57, 60, 70, 89, 99, 108, 110, 117, 126, 134, 135, 137, 139, 146, 153, 169, 172, 173, 182, 183, 184, 200, 203, 234, 257, 258, 273, 294, 298, 342, 355, 372, 377, 403, 422, 441]",S5J8.tsv
there,1,35,"[4, 22, 30, 34, 35, 37, 40, 135, 137, 181, 202, 338, 340, 341, 369, 389, 391, 420, 426, 437, 438]",S5J8.tsv
butter,1,7,"[6, 7, 27, 52, 179]",S5J8.tsv
milk,1,11,"[10, 11, 52, 179]",S5J8.tsv
cereal,1,11,"[10, 11, 52, 179]",S5J8.tsv
milk cereal,2,52,"[10, 52]",S5J8.tsv
what,1,13,"[3, 12, 13, 25, 46, 65, 70, 122, 124, 131, 132, 134, 144, 145, 146, 147, 175, 176, 191, 215, 220, 223, 250, 256, 261, 269, 280, 288, 290, 303, 308, 315, 402, 412, 438]",S5J8.tsv
i don't,2,67,"[13, 39, 42, 67, 70, 124, 146, 179, 221, 233, 269, 272, 278, 280, 288, 311, 370, 388, 439]",S5J8.tsv
i,1,29,"[13, 15, 29, 39, 42, 44, 46, 67, 70, 124, 146, 159, 167, 177, 178, 179, 210, 212, 214, 221, 227, 229, 233, 240, 245, 252, 255, 261, 269, 272, 278, 280, 288, 292, 296, 304, 306, 311, 315, 322, 323, 329, 356, 357, 365, 370, 377, 381, 385, 388, 390, 394, 400, 402, 403, 407, 408, 414, 418, 423, 424, 430, 433, 436, 439, 441, 443]",S5J8.tsv
i don't know,3,39,"[13, 39, 70, 124, 146, 179, 269, 278, 280, 288, 370]",S5J8.tsv
don't,1,220,"[13, 42, 67, 70, 124, 146, 177, 179, 199, 220, 234, 269, 280, 288, 328, 370, 388, 439, 440]",S5J8.tsv
see,1,33,"[13, 33, 43, 44, 45, 134, 135, 145, 175, 289, 292, 316, 336, 353, 370, 406, 407, 408, 418]",S5J8.tsv
know,1,190,"[13, 70, 124, 146, 179, 190, 202, 269, 277, 278, 280, 288, 306, 315, 323, 370, 381, 399, 404, 434, 443]",S5J8.tsv
they've,1,333,"[13, 16, 18, 19, 126, 134, 146, 258, 333, 406, 408]",S5J8.tsv
really,1,190,"[13, 135, 177, 190, 288, 439]",S5J8.tsv
we've get,2,22,"[15, 22, 99, 108, 135, 137, 139, 182, 183]",S5J8.tsv
tomatoes,1,52,"[17, 21, 52, 140, 141, 179]",S5J8.tsv
have,1,35,"[17, 35, 41, 45, 46, 84, 86, 109, 110, 120, 128, 184, 193, 208, 216, 227, 239, 243, 246, 257, 261, 285, 292, 299, 305, 316, 317, 343, 357, 382, 384, 422, 427]",S5J8.tsv
shall,1,159,"[17, 159, 197]",S5J8.tsv
we have,2,208,"[17, 208]",S5J8.tsv
tomatoes garlic,2,52,"[21, 52, 179]",S5J8.tsv
garlic,1,118,"[21, 52, 118, 121, 139, 179]",S5J8.tsv
say,1,173,"[21, 173, 180, 214, 329, 334, 380, 390, 438]",S5J8.tsv
onions,1,52,"[23, 52, 116, 117, 121, 179]",S5J8.tsv
