Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,5,"[0, 16, 24, 30, 98, 102, 104, 106, 110, 115, 117, 119, 129, 165, 176, 178, 182, 190]","[5, 11, 39, 93, 101, 109, 152, 154, 160, 166]",SCYD.tsv,S0588,S0589
okay,1,68,"[2, 48]","[68, 85, 191, 213]",SCYD.tsv,S0588,S0589
get,1,62,"[4, 44, 71, 88, 90, 96, 102, 115, 119, 129, 184, 190, 194]","[62, 103, 114, 128, 175, 185]",SCYD.tsv,S0588,S0589
we've,1,128,[4],[128],SCYD.tsv,S0588,S0589
oil,1,183,"[4, 198, 206]","[183, 193, 199, 201, 205, 211, 195]",SCYD.tsv,S0588,S0589
any oil,2,195,[4],[195],SCYD.tsv,S0588,S0589
butter,1,9,"[6, 184]","[9, 158]",SCYD.tsv,S0588,S0589
there's,1,183,"[6, 129, 131]","[183, 205]",SCYD.tsv,S0588,S0589
use,1,9,"[8, 188]","[9, 62, 187]",SCYD.tsv,S0588,S0589
we can,2,43,[8],[43],SCYD.tsv,S0588,S0589
want to,2,47,"[10, 48, 53]","[47, 103, 211]",SCYD.tsv,S0588,S0589
knit,1,72,"[10, 53, 55, 57, 179]",[72],SCYD.tsv,S0588,S0589
i want,2,120,"[10, 48, 53, 73]",[120],SCYD.tsv,S0588,S0589
find,1,118,[12],"[118, 140]",SCYD.tsv,S0588,S0589
try,1,158,[12],[158],SCYD.tsv,S0588,S0589
i i,2,205,[12],[205],SCYD.tsv,S0588,S0589
i be,2,205,[12],[205],SCYD.tsv,S0588,S0589
bag,1,25,[14],"[25, 29]",SCYD.tsv,S0588,S0589
a pattern for that,4,17,[16],[17],SCYD.tsv,S0588,S0589
need,1,107,[16],[107],SCYD.tsv,S0588,S0589
pattern for,2,128,[16],[128],SCYD.tsv,S0588,S0589
well,1,18,"[18, 32, 55, 69, 75, 88, 90, 147, 149, 180]","[7, 15, 56, 68, 72, 107, 109, 128, 130, 199, 43, 148]",SCYD.tsv,S0588,S0589
one,1,31,"[18, 53, 73, 179, 186, 188]","[31, 43, 70, 72, 156, 187]",SCYD.tsv,S0588,S0589
right,1,33,"[18, 59, 157, 190]","[33, 152]",SCYD.tsv,S0588,S0589
well we,2,43,"[18, 32]","[43, 148]",SCYD.tsv,S0588,S0589
buy,1,43,"[18, 52]","[43, 70, 105]",SCYD.tsv,S0588,S0589
that's,1,51,"[18, 52, 55, 196]","[51, 62, 89, 130, 207, 209, 193]",SCYD.tsv,S0588,S0589
could you,2,72,[18],"[72, 158, 169, 185]",SCYD.tsv,S0588,S0589
could,1,72,"[18, 53, 106, 129, 179, 194]","[72, 138, 158, 169, 185, 187]",SCYD.tsv,S0588,S0589
that's the,2,193,[18],[193],SCYD.tsv,S0588,S0589
mr,1,20,"[20, 22]",[19],SCYD.tsv,S0588,S0589
know,1,78,"[22, 96, 115, 143]","[78, 148]",SCYD.tsv,S0588,S0589
oh yeah,2,109,"[24, 119]",[109],SCYD.tsv,S0588,S0589
in the,2,28,"[28, 129, 206]","[3, 114, 144, 146, 152]",SCYD.tsv,S0588,S0589
want,1,47,"[32, 73, 153, 206]","[47, 103, 120, 211]",SCYD.tsv,S0588,S0589
pattern,1,34,"[34, 52, 179]","[17, 128]",SCYD.tsv,S0588,S0589
nice,1,87,"[34, 79, 125, 133]",[87],SCYD.tsv,S0588,S0589
the wool,2,51,"[36, 38]",[51],SCYD.tsv,S0588,S0589
the actual,2,56,[36],[56],SCYD.tsv,S0588,S0589
wool,1,91,"[36, 38, 129]",[91],SCYD.tsv,S0588,S0589
i have,2,132,"[36, 113, 184]","[132, 138]",SCYD.tsv,S0588,S0589
polyester,1,38,[38],[37],SCYD.tsv,S0588,S0589
pound,1,136,"[42, 50, 88]",[136],SCYD.tsv,S0588,S0589
thing,1,44,"[44, 57]","[3, 54, 95]",SCYD.tsv,S0588,S0589
the fire,2,44,[44],[33],SCYD.tsv,S0588,S0589
we've get,2,128,[44],[128],SCYD.tsv,S0588,S0589
things,1,136,"[44, 121, 135]",[136],SCYD.tsv,S0588,S0589
do it,2,48,"[48, 50, 67]",[45],SCYD.tsv,S0588,S0589
want to do,3,48,[48],[47],SCYD.tsv,S0588,S0589
fact,1,50,[50],[25],SCYD.tsv,S0588,S0589
it's go,2,160,"[50, 119]",[160],SCYD.tsv,S0588,S0589
go,1,164,"[50, 52, 69, 83, 88, 119, 179, 190, 215]",[164],SCYD.tsv,S0588,S0589
i would,2,52,[52],"[9, 33]",SCYD.tsv,S0588,S0589
like,1,52,"[52, 57, 100, 179]","[31, 72, 76, 87, 148]",SCYD.tsv,S0588,S0589
i'd,1,52,[52],[31],SCYD.tsv,S0588,S0589
five,1,52,[52],[45],SCYD.tsv,S0588,S0589
yes,1,64,"[52, 63, 65, 86, 111]","[64, 68, 128]",SCYD.tsv,S0588,S0589
would,1,76,"[52, 115, 178]","[76, 116, 177, 209]",SCYD.tsv,S0588,S0589
mean,1,99,"[52, 115, 188, 208]",[99],SCYD.tsv,S0588,S0589
when you,2,103,"[52, 121]",[103],SCYD.tsv,S0588,S0589
buy it,2,105,[52],[105],SCYD.tsv,S0588,S0589
quid,1,105,[52],"[105, 181]",SCYD.tsv,S0588,S0589
the pattern,2,128,"[52, 179]",[128],SCYD.tsv,S0588,S0589
have the,2,138,[52],[138],SCYD.tsv,S0588,S0589
be in,2,144,[52],"[144, 152, 199]",SCYD.tsv,S0588,S0589
actually,1,175,"[52, 104, 129, 190]",[175],SCYD.tsv,S0588,S0589
would have,2,177,[52],[177],SCYD.tsv,S0588,S0589
cos,1,53,"[53, 57, 127]",[45],SCYD.tsv,S0588,S0589
another,1,181,[53],[181],SCYD.tsv,S0588,S0589
i could,2,187,"[53, 129, 179, 194]",[187],SCYD.tsv,S0588,S0589
if i,2,205,"[53, 115, 179]",[205],SCYD.tsv,S0588,S0589
as well,2,55,"[55, 90, 180]",[15],SCYD.tsv,S0588,S0589
i think,2,70,"[55, 117]","[70, 105, 122, 130]",SCYD.tsv,S0588,S0589
i'm,1,78,"[55, 71, 119, 210]","[78, 193]",SCYD.tsv,S0588,S0589
i think that's,3,130,[55],[130],SCYD.tsv,S0588,S0589
can do,2,67,[67],[17],SCYD.tsv,S0588,S0589
say,1,69,"[69, 86, 119]",[45],SCYD.tsv,S0588,S0589
a nice,2,87,"[73, 81]",[87],SCYD.tsv,S0588,S0589
the one,2,156,[73],[156],SCYD.tsv,S0588,S0589
no i,2,169,[73],[169],SCYD.tsv,S0588,S0589
look,1,134,"[79, 125, 131, 135, 145, 163]","[134, 199, 148]",SCYD.tsv,S0588,S0589
they look,2,148,[79],[148],SCYD.tsv,S0588,S0589
they're,1,81,"[81, 104, 143]","[56, 93, 105, 109, 152, 156]",SCYD.tsv,S0588,S0589
a beer,2,84,"[84, 94]",[76],SCYD.tsv,S0588,S0589
beer,1,87,"[84, 94]",[87],SCYD.tsv,S0588,S0589
have a,2,199,"[84, 94, 210]",[199],SCYD.tsv,S0588,S0589
do you,2,86,"[86, 98, 153]","[47, 103, 118, 211]",SCYD.tsv,S0588,S0589
you do,2,150,[86],[150],SCYD.tsv,S0588,S0589
be a,2,88,"[88, 125]","[45, 189]",SCYD.tsv,S0588,S0589
i've get to,3,88,[88],[62],SCYD.tsv,S0588,S0589
erm oh,2,97,[88],[97],SCYD.tsv,S0588,S0589
i've,1,122,"[88, 115]","[122, 134]",SCYD.tsv,S0588,S0589
well i,2,130,"[88, 149]",[130],SCYD.tsv,S0588,S0589
a bite,2,158,[88],"[158, 193, 205]",SCYD.tsv,S0588,S0589
back,1,169,[88],[169],SCYD.tsv,S0588,S0589
get to,2,90,"[90, 115]",[62],SCYD.tsv,S0588,S0589
good,1,92,[92],"[11, 211]",SCYD.tsv,S0588,S0589
also,1,207,[92],[207],SCYD.tsv,S0588,S0589
start,1,96,"[96, 129]",[47],SCYD.tsv,S0588,S0589
away,1,98,"[98, 119]",[78],SCYD.tsv,S0588,S0589
