Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
soup,1,36,"[0, 108, 131, 383, 399]","[36, 113, 119, 123]",SMSF.tsv,S0018,S0170
this be,2,186,"[2, 106, 347]","[186, 349]",SMSF.tsv,S0018,S0170
something,1,192,"[2, 265, 336, 379]","[192, 222, 252, 260]",SMSF.tsv,S0018,S0170
call,1,123,[3],[123],SMSF.tsv,S0018,S0170
see,1,173,"[3, 41, 158, 302, 315, 347]","[173, 299, 318, 329]",SMSF.tsv,S0018,S0170
let,1,334,[3],"[334, 335]",SMSF.tsv,S0018,S0170
cheese,1,6,"[5, 7]",[6],SMSF.tsv,S0018,S0170
like,1,6,"[5, 7, 13, 21, 52, 100, 116, 122, 221, 235, 280, 294, 330, 336, 347, 367, 389, 405]","[6, 20, 28, 91, 121, 127, 128, 136, 188, 197, 218, 222, 244, 266, 268, 285, 286, 290, 299, 328, 332, 335, 349, 353, 362, 388, 390, 402, 404, 409, 423, 425, 432, 434, 123]",SMSF.tsv,S0018,S0170
it's like,2,123,[5],"[123, 136, 188, 286, 290, 328]",SMSF.tsv,S0018,S0170
france,1,7,[7],[6],SMSF.tsv,S0018,S0170
um,1,7,"[7, 11, 13, 50, 52, 160, 201, 352, 365]","[6, 65, 71, 73, 91, 113, 128, 216, 218, 250, 252, 256, 260, 304, 307, 331, 332, 334, 335, 348, 362, 384, 402, 429]",SMSF.tsv,S0018,S0170
miss,1,7,[7],[6],SMSF.tsv,S0018,S0170
cos,1,20,"[7, 21, 44, 54, 150, 336, 340, 352]","[20, 32, 71, 136, 194, 197, 216, 218, 222, 268, 291, 304, 307, 328, 332, 335, 409, 436]",SMSF.tsv,S0018,S0170
really,1,53,"[7, 78, 133, 225, 325, 347, 410]","[53, 73, 87, 89, 95, 101, 180, 234, 238, 248, 328, 329, 421]",SMSF.tsv,S0018,S0170
get,1,73,"[7, 11, 50, 52, 56, 85, 112, 172, 209, 247, 269, 315, 319, 352, 361, 377, 379, 387]","[73, 97, 128, 147, 155, 171, 186, 238, 299, 307, 358, 380, 382, 402]",SMSF.tsv,S0018,S0170
spain,1,123,[7],[123],SMSF.tsv,S0018,S0170
eat,1,145,"[7, 70, 112, 393, 426]","[145, 351]",SMSF.tsv,S0018,S0170
go,1,147,"[7, 135, 156, 185, 201, 203, 243, 338, 347, 370, 371, 405, 426]","[147, 167, 218, 244, 260, 320, 328, 348, 395, 275, 184, 194, 197, 238, 372]",SMSF.tsv,S0018,S0170
load,1,176,[7],[176],SMSF.tsv,S0018,S0170
go to,2,184,"[7, 135, 156, 185, 347, 370, 371, 405, 426]","[184, 194, 197, 238, 244, 372]",SMSF.tsv,S0018,S0170
like if,2,188,"[7, 21]","[188, 268, 286, 290, 390]",SMSF.tsv,S0018,S0170
never,1,197,[7],"[197, 304]",SMSF.tsv,S0018,S0170
if you,2,216,"[7, 70, 168]","[216, 228, 390]",SMSF.tsv,S0018,S0170
go to the,3,244,[7],[244],SMSF.tsv,S0018,S0170
to the,2,244,[7],[244],SMSF.tsv,S0018,S0170
you go,2,275,"[7, 405]",[275],SMSF.tsv,S0018,S0170
okay,1,290,"[7, 41, 201]","[290, 299, 320, 328]",SMSF.tsv,S0018,S0170
like if you,3,390,[7],[390],SMSF.tsv,S0018,S0170
you be,2,390,"[7, 371]",[390],SMSF.tsv,S0018,S0170
i never,2,411,[7],[411],SMSF.tsv,S0018,S0170
but i,2,427,"[7, 139, 235, 371]",[427],SMSF.tsv,S0018,S0170
straight,1,167,[9],[167],SMSF.tsv,S0018,S0170
from the,2,173,[9],"[173, 218]",SMSF.tsv,S0018,S0170
could,1,176,"[9, 175, 177, 237, 347]","[176, 293, 305]",SMSF.tsv,S0018,S0170
fruit and,2,419,[9],[419],SMSF.tsv,S0018,S0170
and that,2,11,"[11, 56]","[6, 18, 123, 329, 335]",SMSF.tsv,S0018,S0170
week,1,65,[11],[65],SMSF.tsv,S0018,S0170
i don't,2,67,"[11, 21, 102, 274]","[67, 119, 136, 268, 362]",SMSF.tsv,S0018,S0170
would,1,71,[11],"[71, 167, 268]",SMSF.tsv,S0018,S0170
sort,1,103,[11],"[103, 404]",SMSF.tsv,S0018,S0170
all the,2,252,"[11, 122, 209]","[252, 349]",SMSF.tsv,S0018,S0170
um and,2,307,[11],[307],SMSF.tsv,S0018,S0170
it's a bite,3,20,[13],[20],SMSF.tsv,S0018,S0170
bite,1,123,"[13, 102, 126, 354, 367, 407, 408]","[123, 127, 339, 322, 335, 376, 413]",SMSF.tsv,S0018,S0170
it's so,2,232,[13],[232],SMSF.tsv,S0018,S0170
it's a,2,252,"[13, 168]",[252],SMSF.tsv,S0018,S0170
a bite,2,322,"[13, 102, 354, 367]","[322, 335, 376, 413]",SMSF.tsv,S0018,S0170
i just,2,348,[13],[348],SMSF.tsv,S0018,S0170
yeah,1,16,"[15, 21, 25, 29, 37, 39, 42, 144, 174, 177, 198, 213, 219, 233, 249, 317, 336, 354, 370]","[16, 20, 36, 38, 51, 57, 79, 84, 123, 159, 167, 206, 210, 222, 236, 283, 297, 311, 320, 335, 346, 366, 368, 369, 386, 400, 406, 411, 415]",SMSF.tsv,S0018,S0170
do you,2,19,"[19, 315, 352, 379, 383]","[6, 125, 252, 388]",SMSF.tsv,S0018,S0170
shop,1,402,[19],[402],SMSF.tsv,S0018,S0170
it's not,2,21,"[21, 41]","[18, 20, 103, 169]",SMSF.tsv,S0018,S0170
supermarkets,1,26,[21],[26],SMSF.tsv,S0018,S0170
the price,2,28,[21],[28],SMSF.tsv,S0018,S0170
take the,2,61,[21],"[61, 62, 240]",SMSF.tsv,S0018,S0170
of the,2,61,"[21, 96, 122, 139, 219]","[61, 62, 80, 123, 186, 328, 362, 372, 413]",SMSF.tsv,S0018,S0170
ever,1,67,"[21, 239]",[67],SMSF.tsv,S0018,S0170
know,1,119,"[21, 54, 102, 126, 156, 209, 221, 239, 247, 265, 276, 280, 352]","[119, 121, 125, 136, 208, 218, 262, 299, 332, 335, 348, 362, 402, 411, 419, 437, 290]",SMSF.tsv,S0018,S0170
there's,1,119,"[21, 52, 104, 235, 278]","[119, 123, 188, 214, 218, 328]",SMSF.tsv,S0018,S0170
not the,2,222,[21],[222],SMSF.tsv,S0018,S0170
so i,2,238,[21],"[238, 390]",SMSF.tsv,S0018,S0170
take,1,244,"[21, 414]","[244, 260, 427]",SMSF.tsv,S0018,S0170
i know,2,290,"[21, 156, 239, 247]",[290],SMSF.tsv,S0018,S0170
cos i,2,307,"[21, 336, 340]","[307, 335]",SMSF.tsv,S0018,S0170
it's the,2,136,[23],[136],SMSF.tsv,S0018,S0170
producers,1,268,[25],[268],SMSF.tsv,S0018,S0170
hm,1,165,"[27, 74, 183, 215]",[165],SMSF.tsv,S0018,S0170
such a,2,157,[31],[157],SMSF.tsv,S0018,S0170
that's,1,35,"[35, 83, 112, 142, 177, 181, 219, 269, 323, 336, 370]","[26, 59, 123, 136, 197, 206, 285, 437]",SMSF.tsv,S0018,S0170
enough,1,67,[35],[67],SMSF.tsv,S0018,S0170
be you,2,246,"[35, 377, 385, 405, 440]","[246, 388]",SMSF.tsv,S0018,S0170
sure,1,266,"[35, 385]","[266, 390, 395]",SMSF.tsv,S0018,S0170
good,1,59,"[41, 106, 144, 321, 323, 391]","[59, 73, 87, 89, 186, 197, 299, 402, 404]",SMSF.tsv,S0018,S0170
can't,1,62,"[41, 54, 209, 211]","[62, 208, 307]",SMSF.tsv,S0018,S0170
come,1,171,"[41, 54, 161, 201, 235, 310]","[171, 173, 197, 307, 309, 311, 357]",SMSF.tsv,S0018,S0170
i can't,2,208,[41],"[208, 307]",SMSF.tsv,S0018,S0170
not very,2,246,[41],[246],SMSF.tsv,S0018,S0170
garden,1,47,"[42, 48]","[47, 63, 65, 305]",SMSF.tsv,S0018,S0170
grow,1,71,"[42, 68, 76, 110, 175]","[71, 77, 173, 176]",SMSF.tsv,S0018,S0170
i'd,1,101,[42],"[101, 238, 268, 348]",SMSF.tsv,S0018,S0170
in the,2,119,"[42, 50, 126, 241, 294, 350]","[119, 132, 173, 214, 218, 224, 258, 291, 307, 328, 362]",SMSF.tsv,S0018,S0170
ideal,1,180,[42],[180],SMSF.tsv,S0018,S0170
stuff,1,299,"[42, 139]","[299, 305]",SMSF.tsv,S0018,S0170
it be,2,44,"[44, 102, 164, 247, 265, 280, 296, 345, 347]","[30, 38, 71, 95, 101, 252, 266, 309, 332, 348, 349, 384, 398, 404, 432]",SMSF.tsv,S0018,S0170
that be,2,44,"[44, 352]","[32, 123, 246, 329, 331]",SMSF.tsv,S0018,S0170
in spain,2,123,"[44, 247, 340]",[123],SMSF.tsv,S0018,S0170
put,1,286,"[46, 96]","[286, 291]",SMSF.tsv,S0018,S0170
so many,2,48,[48],"[32, 214, 232]",SMSF.tsv,S0018,S0170
in granada,2,250,[48],[250],SMSF.tsv,S0018,S0170
many,1,328,[48],"[328, 329]",SMSF.tsv,S0018,S0170
well,1,50,"[50, 52, 68, 104, 177, 209, 247, 269, 340]","[20, 26, 71, 89, 127, 180, 197, 212, 222, 322, 380, 397]",SMSF.tsv,S0018,S0170
they've,1,328,"[50, 52, 56]",[328],SMSF.tsv,S0018,S0170
for the,2,52,"[52, 323]","[18, 80]",SMSF.tsv,S0018,S0170
work,1,63,"[52, 54, 68, 354, 371]","[63, 212, 307, 328, 335, 348]",SMSF.tsv,S0018,S0170
stop,1,71,[52],"[71, 228, 238, 307]",SMSF.tsv,S0018,S0170
as well,2,89,[52],"[89, 212]",SMSF.tsv,S0018,S0170
there's some,2,119,[52],[119],SMSF.tsv,S0018,S0170
i've,1,123,"[52, 158]","[123, 206, 208, 318, 328, 337, 380, 402]",SMSF.tsv,S0018,S0170
hear,1,252,"[52, 347]",[252],SMSF.tsv,S0018,S0170
a lot,2,299,"[52, 54, 58, 219, 247]",[299],SMSF.tsv,S0018,S0170
and get,2,358,[52],[358],SMSF.tsv,S0018,S0170
together,1,362,"[52, 54, 347]",[362],SMSF.tsv,S0018,S0170
charity,1,402,[52],[402],SMSF.tsv,S0018,S0170
apparently,1,409,[52],"[409, 411]",SMSF.tsv,S0018,S0170
and things,2,54,[54],"[28, 425]",SMSF.tsv,S0018,S0170
people,1,54,"[54, 345]","[28, 197, 218, 232, 238, 299, 214]",SMSF.tsv,S0018,S0170
things,1,54,"[54, 68, 270, 405]","[32, 75, 232, 329, 388, 390, 409, 413, 423, 425]",SMSF.tsv,S0018,S0170
kind of,2,91,"[54, 278, 396, 422]","[91, 136, 192, 390]",SMSF.tsv,S0018,S0170
you know,2,121,"[54, 209, 247, 276, 352]","[121, 125, 299, 332, 335, 402, 419, 437]",SMSF.tsv,S0018,S0170
they're,1,132,"[54, 219, 221]","[132, 173, 188, 218, 222, 299, 332]",SMSF.tsv,S0018,S0170
guess,1,138,"[54, 112, 219]",[138],SMSF.tsv,S0018,S0170
gonna,1,186,"[54, 221]","[186, 362, 374, 378]",SMSF.tsv,S0018,S0170
find,1,188,"[54, 135]","[188, 307, 402, 404]",SMSF.tsv,S0018,S0170
cos they,2,194,[54],"[194, 197, 216]",SMSF.tsv,S0018,S0170
gonna come,2,197,[54],[197],SMSF.tsv,S0018,S0170
people in,2,214,[54],[214],SMSF.tsv,S0018,S0170
they're not,2,222,[54],[222],SMSF.tsv,S0018,S0170
violence,1,250,[54],[250],SMSF.tsv,S0018,S0170
but if,2,291,"[54, 168]",[291],SMSF.tsv,S0018,S0170
be just,2,307,"[54, 156, 347]","[307, 309, 349]",SMSF.tsv,S0018,S0170
a a,2,402,"[54, 102]",[402],SMSF.tsv,S0018,S0170
food,1,121,"[56, 141]","[121, 402, 431]",SMSF.tsv,S0018,S0170
