Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i think,2,1,"[0, 6, 28, 50, 54, 64, 110, 145, 147, 153, 181, 185, 262, 320, 336, 372, 418, 444, 456, 458, 460, 464, 474, 484, 508, 523, 529, 541, 562, 568, 608, 616, 640, 676, 872, 882, 896, 933]","[1, 33, 73, 91, 103, 134, 182, 188, 216, 243, 257, 263, 307, 309, 319, 333, 395, 399, 459, 465, 540, 567, 633, 651, 659, 675, 689, 705, 727, 729, 733, 739, 743, 763, 797, 807, 823, 865, 867, 881, 893, 912, 932, 936, 952, 37, 121]",SLDB.tsv,S0041,S0086
go,1,1,"[0, 20, 30, 32, 40, 46, 82, 102, 122, 145, 157, 159, 161, 167, 207, 221, 225, 227, 234, 254, 264, 276, 282, 302, 372, 374, 378, 396, 410, 414, 444, 462, 466, 470, 472, 474, 484, 516, 549, 568, 578, 600, 612, 646, 690, 810, 830, 838, 854, 862, 886, 900, 906, 933, 937, 957]","[1, 3, 43, 71, 81, 91, 121, 140, 162, 168, 196, 208, 220, 241, 243, 253, 257, 261, 315, 319, 383, 389, 391, 401, 409, 431, 433, 445, 447, 449, 451, 465, 487, 503, 530, 560, 567, 575, 581, 583, 593, 597, 613, 657, 659, 661, 665, 669, 675, 681, 685, 687, 705, 715, 725, 729, 745, 747, 753, 757, 763, 765, 777, 793, 797, 799, 807, 811, 835, 847, 865, 881, 897, 905, 918, 936, 938, 940, 950, 952, 19, 35, 833]",SLDB.tsv,S0041,S0086
think,1,7,"[0, 6, 16, 28, 36, 46, 50, 54, 64, 76, 110, 145, 147, 153, 167, 181, 185, 262, 264, 298, 302, 304, 318, 320, 336, 372, 394, 396, 404, 418, 444, 456, 458, 460, 464, 474, 484, 504, 508, 523, 529, 541, 543, 562, 568, 584, 608, 616, 622, 640, 642, 644, 646, 674, 676, 684, 700, 798, 872, 882, 894, 896, 927, 933, 947]","[7, 11, 13, 15, 176, 251, 253, 335, 443, 544, 607, 621, 631, 637, 667, 705, 715, 719, 725, 799, 809, 829, 33, 37, 73, 91, 103, 121, 134, 182, 188, 216, 243, 257, 263, 307, 309, 319, 333, 395, 399, 459, 465, 540, 567, 633, 651, 659, 675, 689, 727, 729, 733, 739, 743, 763, 797, 807, 823, 865, 867, 881, 893, 912, 932, 936, 952]",SLDB.tsv,S0041,S0086
he's,1,9,"[0, 20, 30, 80, 86, 124, 163, 197, 294, 318, 320, 322, 354, 414, 462, 470, 476, 478, 492, 630, 636, 706, 830]","[9, 11, 121, 123, 128, 136, 162, 166, 212, 293, 315, 319, 329, 331, 359, 391, 621, 627, 639, 681, 685, 689, 705, 715, 37, 19, 35, 833]",SLDB.tsv,S0041,S0086
he's go,2,19,"[0, 20]","[19, 35, 833]",SLDB.tsv,S0041,S0086
i think he's,3,37,[0],"[37, 121]",SLDB.tsv,S0041,S0086
yeah,1,2,"[2, 12, 28, 30, 32, 34, 38, 50, 54, 62, 64, 82, 84, 94, 106, 108, 124, 127, 129, 131, 133, 143, 145, 147, 153, 155, 157, 165, 177, 183, 197, 201, 205, 215, 221, 246, 248, 254, 256, 274, 278, 284, 286, 288, 296, 298, 306, 314, 320, 324, 336, 340, 342, 346, 370, 382, 388, 392, 398, 402, 420, 422, 424, 428, 432, 444, 452, 454, 462, 464, 470, 486, 488, 490, 494, 498, 522, 527, 529, 531, 564, 584, 586, 590, 592, 598, 600, 618, 620, 646, 668, 672, 678, 688, 690, 694, 696, 702, 710, 714, 718, 728, 734, 738, 740, 762, 794, 806, 808, 812, 816, 822, 830, 834, 858, 866, 872, 888, 892, 894, 900, 933, 935, 959]","[1, 9, 15, 19, 31, 33, 37, 39, 41, 61, 63, 67, 69, 75, 89, 91, 121, 123, 142, 146, 162, 164, 186, 194, 216, 249, 253, 255, 259, 287, 299, 303, 305, 315, 319, 325, 333, 339, 343, 345, 353, 355, 359, 369, 379, 391, 393, 395, 401, 409, 423, 433, 439, 443, 447, 451, 455, 457, 459, 461, 465, 469, 471, 485, 487, 491, 495, 499, 501, 524, 526, 560, 567, 585, 587, 601, 605, 621, 625, 627, 641, 643, 647, 659, 681, 683, 687, 701, 707, 727, 729, 733, 739, 753, 757, 761, 763, 773, 779, 783, 793, 797, 801, 809, 811, 813, 819, 821, 867, 869, 871, 877, 883, 885, 895, 897, 899, 903, 907, 922, 928, 932, 936, 948, 950, 954, 261, 509, 843, 901]",SLDB.tsv,S0041,S0086
that's,1,3,"[2, 88, 110, 157, 159, 181, 213, 254, 256, 262, 264, 314, 328, 352, 376, 384, 386, 444, 474, 543, 547, 549, 582, 622, 676, 858, 896, 904, 925, 947, 955]","[3, 33, 41, 49, 119, 134, 142, 150, 152, 162, 182, 212, 218, 220, 222, 233, 239, 251, 295, 313, 315, 319, 329, 341, 359, 375, 387, 403, 421, 425, 429, 453, 459, 465, 497, 503, 519, 528, 530, 544, 546, 583, 669, 671, 715, 717, 723, 733, 737, 741, 751, 753, 763, 771, 773, 793, 797, 803, 829, 843, 891, 895, 909, 916, 940, 261, 509, 871, 901, 950]",SLDB.tsv,S0041,S0086
yeah that's,2,261,"[2, 254, 256, 314, 444]","[261, 509, 763, 843, 871, 901]",SLDB.tsv,S0041,S0086
that's normal,2,950,"[2, 314]",[950],SLDB.tsv,S0041,S0086
psycho,1,4,"[4, 6]",[3],SLDB.tsv,S0041,S0086
see,1,6,"[6, 96, 221, 276, 282, 338, 366, 392, 444, 456, 462, 472, 498, 502, 674, 814, 834, 836]","[3, 67, 273, 315, 367, 391, 393, 465, 725, 753, 771, 783, 797, 811, 813, 815, 835]",SLDB.tsv,S0041,S0086
be a,2,7,"[6, 16, 36, 147, 167, 456, 568, 706, 838]","[7, 11, 15, 146, 359, 451, 465, 532, 635, 643, 659, 725, 729, 134, 166]",SLDB.tsv,S0041,S0086
he be,2,9,"[6, 36, 84, 100, 124, 320, 352, 390, 392, 462, 838]","[9, 162, 315, 319, 363, 503, 563, 621, 623, 657, 659, 675, 681, 685, 705, 723, 359, 134, 166]",SLDB.tsv,S0041,S0086
can't,1,13,"[6, 28, 98, 236, 318, 384, 646, 770, 894]","[13, 15, 17, 67, 162, 285, 583, 657, 659, 759, 799, 899, 901, 944]",SLDB.tsv,S0041,S0086
he be a,3,134,"[6, 36]","[134, 166]",SLDB.tsv,S0041,S0086
so he,2,162,"[6, 414]","[162, 621, 681]",SLDB.tsv,S0041,S0086
because he be,3,359,[6],"[359, 657]",SLDB.tsv,S0041,S0086
because he,2,359,"[6, 622]","[359, 723, 881, 657]",SLDB.tsv,S0041,S0086
think because,2,621,[6],[621],SLDB.tsv,S0041,S0086
must be,2,9,"[8, 915]","[9, 188, 729, 809, 879]",SLDB.tsv,S0041,S0086
be honest,2,231,[8],[231],SLDB.tsv,S0041,S0086
let's,1,311,"[8, 32, 830]","[311, 657, 879, 671]",SLDB.tsv,S0041,S0086
let's be honest,3,671,[8],[671],SLDB.tsv,S0041,S0086
must,1,705,"[8, 915]","[705, 881, 725]",SLDB.tsv,S0041,S0086
she must,2,725,[8],[725],SLDB.tsv,S0041,S0086
she must be,3,879,[8],[879],SLDB.tsv,S0041,S0086
meet,1,19,"[10, 20, 442]","[19, 745, 753, 777, 121, 134]",SLDB.tsv,S0041,S0086
meet him,2,121,[10],"[121, 134]",SLDB.tsv,S0041,S0086
only just,2,449,[10],[449],SLDB.tsv,S0041,S0086
